Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
31-Aug-1998,Manaus 25K,3,Hard,R32,,366,0,WC,4,Adria Engel,Gisele Miro,6-1 6-2,,,,,,,,,,,,,,
25-Oct-1993,Curitiba,3,Clay,R32,,99,0,WC,5,Katerina Kroupova,Gisele Miro,6-0 6-1,,,,,,,,,,,,,,
26-Nov-1990,Sao Paulo,3,Clay,R16,220,118,0,,8,Florencia Labat,Gisele Miro,7-5 6-3,,,,,,,,,,,,,,
26-Nov-1990,Sao Paulo,3,Clay,R32,220,152,1,,,Gisele Miro,Pilar Vasquez,6-0 6-1,,,,,,,,,,,,,,
12-Nov-1990,ITF Porto Alegre,3,Clay,R16,220,425,0,2,,Karim Strohmeier Merino,Gisele Miro,7-6(4) 6-2,,,,,,,,,,,,,,
12-Nov-1990,ITF Porto Alegre,3,Clay,R32,220,,1,2,,Gisele Miro,Viviana Valdovinos,6-2 6-1,,,,,,,,,,,,,,
13-Aug-1990,ITF Brasilia,3,Clay,F,317,219,1,,7,Gisele Miro,Sabrina Giusto,6-1 6-0,,,,,,,,,,,,,,
13-Aug-1990,ITF Brasilia,3,Clay,SF,317,142,1,,2,Gisele Miro,Samantha Smith,7-6(6) 2-6 6-3,,,,,,,,,,,,,,
13-Aug-1990,ITF Brasilia,3,Clay,QF,317,205,1,,6,Gisele Miro,Luciana Tella,7-6(5) 6-4,,,,,,,,,,,,,,
13-Aug-1990,ITF Brasilia,3,Clay,R16,317,146,1,,3,Gisele Miro,Andrea Vieira,7-5 6-4,,,,,,,,,,,,,,
13-Aug-1990,ITF Brasilia,3,Clay,R32,317,,1,,,Gisele Miro,Caroline Schuck,6-2 6-1,,,,,,,,,,,,,,
28-May-1990,Roland Garros,5,Clay,Q1,198,228,0,,,Tracey Morton Rodgers,Gisele Miro,6-3 6-4,,,,,,,,,,,,,,
21-May-1990,Strasbourg,3,Clay,Q2,201,129,0,,1,Sophie Amiach,Gisele Miro,3-6 6-3 6-3,,,,,,,,,,,,,,
21-May-1990,Strasbourg,3,Clay,Q1,201,165,1,,,Gisele Miro,Kristine Kunce,W/O,,,,,,,,,,,,,,
14-May-1990,ITF Cascais 1,3,Clay,R16,203,140,0,,2,Federica Bonsignori,Gisele Miro,6-4 3-6 6-3,,,,,,,,,,,,,,
14-May-1990,ITF Cascais 1,3,Clay,R32,203,211,1,,,Gisele Miro,Katarzyna Nowak,7-6(3) 6-7(2) 6-1,,,,,,,,,,,,,,
26-Mar-1990,ITF Limoges,3,Carpet,R32,178,154,0,,7,Pascale Etchemendy,Gisele Miro,6-2 6-4,,,,,,,,,,,,,,
19-Mar-1990,ITF Moulins,3,Carpet,R16,181,405,0,,,Sylvie Sabas,Gisele Miro,6-0 6-1,,,,,,,,,,,,,,
19-Mar-1990,ITF Moulins,3,Carpet,R32,181,218,1,,,Gisele Miro,Lisa Oneill,6-1 6-7 6-3,,,,,,,,,,,,,,
11-Dec-1989,Guaruja,3,Hard,R32,179,198,0,8,,Andrea Tiezzi,Gisele Miro,4-6 7-5 6-4,,,,,,,,,,,,,,
4-Dec-1989,ITF Sao Paulo 2,3,Clay,R16,179,391,0,,,Sofie Albinus,Gisele Miro,7-5 3-6 6-2,,,,,,,,,,,,,,
4-Dec-1989,ITF Sao Paulo 2,3,Clay,R32,179,497,1,,,Gisele Miro,Patricia Miller,6-2 1-6 6-2,,,,,,,,,,,,,,
6-Nov-1989,Nashville,3,Hard,Q1,157,211,0,5,,Maureen Drake,Gisele Miro,7-6(2) 6-3,,,,,,,,,,,,,,
30-Oct-1989,Indianapolis,3,Hard,R32,155,34,0,,6,Larisa Savchenko,Gisele Miro,6-4 6-0,,,,,,,,,,,,,,
23-Oct-1989,San Juan,3,Hard,R32,155,110,0,,,Natalia Medvedeva,Gisele Miro,6-1 6-0,,,,,,,,,,,,,,
9-Oct-1989,Moscow,3,Carpet,R32,144,91,0,,,Katrina Adams,Gisele Miro,6-3 5-7 6-4,,,,,,,,,,,,,,
