Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
14-Sep-1992,ITF Sofia,3,Clay,Q1,643,423,0,,4,Galia Angelova,Helma Leeuwen,6-3 3-6 6-4,,,,,,,,,,,,,,
7-Sep-1992,ITF Varna,3,Clay,R32,672,,0,,,Ingrid Kurta,Helma Leeuwen,6-1 6-1,,,,,,,,,,,,,,
31-Aug-1992,ITF Bourgas,3,Clay,R16,672,542,0,,8,Isabela Martin,Helma Leeuwen,6-3 6-1,,,,,,,,,,,,,,
31-Aug-1992,ITF Bourgas,3,Clay,R32,672,,1,,,Helma Leeuwen,Anne Kremer,6-3 6-3,,,,,,,,,,,,,,
24-Aug-1992,ITF Gryfino,3,Clay,R32,669,,0,,,Petra Winzenholler,Helma Leeuwen,6-2 6-0,,,,,,,,,,,,,,
24-Feb-1992,ITF Valencia,3,Clay,Q1,,,0,,,Esther Ruiz De Ona Plaza,Helma Leeuwen,6-3 6-2,,,,,,,,,,,,,,
17-Feb-1992,ITF Hebron,3,Clay,Q2,,497,0,,,Amy Van Buuren,Helma Leeuwen,6-1 6-0,,,,,,,,,,,,,,
17-Feb-1992,ITF Hebron,3,Clay,Q1,,,1,,,Helma Leeuwen,Eva Erbova,6-1 7-5,,,,,,,,,,,,,,
25-Nov-1991,ITF Bachdjara,3,Hard,SF,,618,0,7,4,Lea Ghirardi,Helma Leeuwen,6-3 6-3,,,,,,,,,,,,,,
25-Nov-1991,ITF Bachdjara,3,Hard,QF,,646,1,7,2,Helma Leeuwen,Karina Kuregian,6-2 6-4,,,,,,,,,,,,,,
25-Nov-1991,ITF Bachdjara,3,Hard,R16,,,1,7,,Helma Leeuwen,Natalja Vojinovic,6-1 6-0,,,,,,,,,,,,,,
25-Nov-1991,ITF Bachdjara,3,Hard,R32,,,1,7,,Helma Leeuwen,Ratiba Ramdani,6-0 6-0,,,,,,,,,,,,,,
18-Nov-1991,ITF Ben Aknoun,3,Hard,QF,,558,0,7,3,Cecile Dorey,Helma Leeuwen,4-6 6-1 6-4,,,,,,,,,,,,,,
18-Nov-1991,ITF Ben Aknoun,3,Hard,R16,,,1,7,,Helma Leeuwen,Dally Randriantefy,6-4 6-7(3) 6-2,,,,,,,,,,,,,,
18-Nov-1991,ITF Ben Aknoun,3,Hard,R32,,,1,7,,Helma Leeuwen,Hadda Mahmoudi,6-0 6-1,,,,,,,,,,,,,,
21-Oct-1991,ITF Lyss,3,Hard,R16,,569,0,,,Catalina Cristea,Helma Leeuwen,6-2 6-2,,,,,,,,,,,,,,
21-Oct-1991,ITF Lyss,3,Hard,R32,,,1,,,Helma Leeuwen,Emily Bond,6-2 6-4,,,,,,,,,,,,,,
25-Feb-1991,ITF Norwich,3,Carpet,R32,,,0,,,Katja Kokko,Helma Leeuwen,6-0 6-1,,,,,,,,,,,,,,
18-Feb-1991,ITF Croydon,3,Carpet,R32,,,0,,,Anke Marchl,Helma Leeuwen,6-1 6-3,,,,,,,,,,,,,,
26-Nov-1990,ITF Bachdjara,3,Clay,R16,,,0,,,Karina Kuregian,Helma Leeuwen,0-6 6-1 7-6(6),,,,,,,,,,,,,,
26-Nov-1990,ITF Bachdjara,3,Clay,R32,,,1,,,Helma Leeuwen,Anna Kuregian,6-1 6-3,,,,,,,,,,,,,,
19-Nov-1990,ITF Ben Aknoun,3,Clay,R32,,,0,,,Aafje Evers,Helma Leeuwen,7-5 6-4,,,,,,,,,,,,,,
5-Nov-1990,ITF Fez,3,Clay,R16,,,0,,1,Olivia Graveraux,Helma Leeuwen,6-4 6-2,,,,,,,,,,,,,,
5-Nov-1990,ITF Fez,3,Clay,R32,,,1,,,Helma Leeuwen,Amina Ben Nacer,6-4 6-1,,,,,,,,,,,,,,
29-Oct-1990,ITF Meknes,3,Clay,R16,,,0,,1,Olivia Graveraux,Helma Leeuwen,6-1 6-2,,,,,,,,,,,,,,
29-Oct-1990,ITF Meknes,3,Clay,R32,,,1,,,Helma Leeuwen,Pascalle Druyts,7-6 5-7 RET,,,,,,,,,,,,,,
