Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
7-Aug-1932,Hamburg,3,Clay,R32,,,0,,,Madzy Rollin Couquerque,Hete Kaeber,6-2 6-2,,,,,,,,,,,,,,
10-May-1932,Berlin,3,Clay,Q1,,,0,,,Marie Louise Horn,Hete Kaeber,6-2 6-3,,,,,,,,,,,,,,
2-Aug-1931,Hamburg,3,Clay,Q1,,,0,,,Hilde Sperling,Hete Kaeber,6-2 6-2,,,,,,,,,,,,,,
2-Jun-1931,Berlin Chps,3,Clay,R32,,,0,,,Ida Adamoff,Hete Kaeber,W/O,,,,,,,,,,,,,,
4-Aug-1930,Saint Moritz Engadine,3,Clay,F,,,0,,,Germaine Golding,Hete Kaeber,3-6 6-3 6-1,,,,,,,,,,,,,,
3-Jun-1930,Berlin,3,Clay,R16,,,0,,,Toni Schomburgk,Hete Kaeber,6-1 6-1,,,,,,,,,,,,,,
3-Jun-1930,Berlin,3,Clay,R32,,,1,,,Hete Kaeber,Annemarie Buss,6-3 6-3,,,,,,,,,,,,,,
4-Aug-1929,Hamburg,3,Clay,R32,,,0,,,Arlette Halff,Hete Kaeber,7-5 6-4,,,,,,,,,,,,,,
17-May-1929,Berlin Chps,3,Clay,Q1,,,0,,,Anne Peitz,Hete Kaeber,6-2 1-6 6-2,,,,,,,,,,,,,,
5-Aug-1928,Hamburg Intl,3,Clay,Q1,,,0,,,Ilona Varady,Hete Kaeber,W/O,,,,,,,,,,,,,,
20-Jun-1928,Berlin Borussia,3,Clay,F,,,0,,,Nelly Neppach,Hete Kaeber,6-2 6-3,,,,,,,,,,,,,,
16-Jun-1926,Berlin Borussia,3,Clay,F,,,1,,,Hete Kaeber,Daisy Littmann,6-4 6-1,,,,,,,,,,,,,,
16-Sep-1925,Berlin Rot-Weiss,3,Clay,F,,,0,,,Daisy Uhl,Hete Kaeber,W/O,,,,,,,,,,,,,,
30-Jul-1925,Braunschweig,3,Clay,SF,,,0,,,Nelly Neppach,Hete Kaeber,6-0 6-2,,,,,,,,,,,,,,
30-Jul-1925,Braunschweig,3,Clay,QF,,,1,,,Hete Kaeber, Balhorn,6-1 6-3,,,,,,,,,,,,,,
10-Jun-1925,Leipzig,3,Clay,F,,,0,,,Ilona Varady,Hete Kaeber,6-2 7-5,,,,,,,,,,,,,,
4-Jun-1925,Berlin Gelb-Weiss,3,Clay,F,,,0,,,Nelly Neppach,Hete Kaeber,6-0 6-3,,,,,,,,,,,,,,
14-Aug-1924,Hamburg,3,Clay,R16,,,0,,,Toni Schomburgk,Hete Kaeber,W/O,,,,,,,,,,,,,,
14-Aug-1924,Hamburg,3,Clay,R32,,,1,,,Hete Kaeber, Baumann,6-1 6-1,,,,,,,,,,,,,,
6-Aug-1924,Noordwijk,3,Clay,F,,,0,,,Friedel Jacobiny,Hete Kaeber,6-2 6-2,,,,,,,,,,,,,,
9-Jul-1924,Berlin Zehlendorf,3,Clay,F,,,0,,,Nelly Neppach,Hete Kaeber,11-9 6-3,,,,,,,,,,,,,,
27-Jun-1924,Leipzig,3,Clay,F,,,1,,,Hete Kaeber,Toni Schomburgk,6-1 6-2,,,,,,,,,,,,,,
4-Jun-1924,Berlin,3,Clay,SF,,,0,,,Nelly Neppach,Hete Kaeber,6-3 2-6 6-3,,,,,,,,,,,,,,
4-Jun-1924,Berlin,3,Clay,QF,,,1,,,Hete Kaeber,Toni Richter,6-4 7-5,,,,,,,,,,,,,,
4-Jun-1924,Berlin,3,Clay,R16,,,1,,,Hete Kaeber,Elly Hoecker,6-1 6-1,,,,,,,,,,,,,,
4-Jun-1924,Berlin,3,Clay,R32,,,1,,,Hete Kaeber, Mueller,6-2 6-0,,,,,,,,,,,,,,
30-May-1924,Berlin Blau-Weiss,3,Clay,F,,,1,,,Hete Kaeber,Elsebeth Brehm,8-6 6-3,,,,,,,,,,,,,,
24-May-1924,Berlin Schlittschuh,3,Clay,F,,,0,,,Irma Bartels,Hete Kaeber,W/O,,,,,,,,,,,,,,
25-Jun-1923,Berlin Schlittschuh,3,Clay,F,,,0,,,Lili De Alvarez,Hete Kaeber,6-0 6-1,,,,,,,,,,,,,,
26-May-1923,Prague German Club,3,Clay,F,,,0,,,Ilse Friedleben,Hete Kaeber,6-2 8-6,,,,,,,,,,,,,,
5-Sep-1922,Berlin Borussia,3,Clay,SF,,,0,,,Lili De Alvarez,Hete Kaeber,6-4 6-3,,,,,,,,,,,,,,
25-Aug-1922,Bad Homburg,3,Clay,F,,,0,,,Ilse Friedleben,Hete Kaeber,6-3 6-2,,,,,,,,,,,,,,
25-Aug-1922,Bad Homburg,3,Clay,SF,,,1,,,Hete Kaeber,Ilona Varady,1-6 8-6 6-0,,,,,,,,,,,,,,
1-Jul-1922,Frankfurt,3,Clay,F,,,0,,,Ilse Friedleben,Hete Kaeber,6-1 6-2,,,,,,,,,,,,,,
19-Jun-1922,Berlin German Games,3,Clay,SF,,,0,,,Nelly Neppach,Hete Kaeber,6-0 6-3,,,,,,,,,,,,,,
2-Jun-1922,Berlin,3,Clay,SF,,,0,,,Ilse Friedleben,Hete Kaeber,6-2 6-3,,,,,,,,,,,,,,
21-Jun-1920,Schierke,3,Clay,SF,,,0,,,Daisy Uhl,Hete Kaeber,6-2 6-0,,,,,,,,,,,,,,
21-May-1920,Berlin,3,Clay,F,,,0,,,Clara Von Schulenberg,Hete Kaeber,3-6 6-2 6-4,,,,,,,,,,,,,,
11-Sep-1919,Berlin Rot-Weiss Autumn,3,Clay,F,,,0,,,Daisy Uhl,Hete Kaeber,6-4 4-6 6-4,,,,,,,,,,,,,,
26-Jun-1919,Berlin Blau-Weiss,3,Clay,SF,,,0,,,Daisy Uhl,Hete Kaeber,8-6 6-3,,,,,,,,,,,,,,
7-Jun-1919,Berlin,3,Clay,F,,,1,,,Hete Kaeber,Daisy Uhl,6-4 7-5,,,,,,,,,,,,,,
