Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
24-Oct-2016,Pune $10K,3,Hard,R32,1103,656,0,,5,Kyra Shroff,Hsin Yuan Shih,6-4 6-7(6) 6-4,,,,,,,,,,,,,,
10-Oct-2016,Jakarta $10K,3,Hard,R16,1133,,0,,,Deria Nur Haliza,Hsin Yuan Shih,2-6 6-2 6-0,,,,,,,,,,,,,,
10-Oct-2016,Jakarta $10K,3,Hard,R32,1133,,1,,Q,Hsin Yuan Shih,Tomoko Dokei,6-4 6-4,,,,,,,,,,,,,,
3-Oct-2016,Tarakan $10K,3,Hard,R32,1134,,0,,,Kaitlyn Christian,Hsin Yuan Shih,6-2 6-3,,,,,,,,,,,,,,
20-Jun-2016,Kaohsiung $10K,3,Hard,R32,1078,,0,,Q,Yanni Liu,Hsin Yuan Shih,6-4 6-4,,,,,,,,,,,,,,
9-May-2016,Antalya $10K,3,Hard,R32,1081,789,0,Q,,Andreea Ghitescu,Hsin Yuan Shih,6-4 6-1,,,,,,,,,,,,,,
2-May-2016,Antalya $10K,3,Hard,R32,1083,,0,,Q,Almudena Sanz Llaneza Fernandez,Hsin Yuan Shih,2-6 6-3 7-5,,,,,,,,,,,,,,
8-Feb-2016,Kaohsiung Q,3,Hard,Q1,1155,214,0,WC,6,Chang Liu,Hsin Yuan Shih,6-2 6-0,0.54,2.7%,10.8%,48.6%,38.9%,26.3%,33.3% (3/9),34.9%,36.7%,2.0%,29.6%,45.5%,14.3% (1/7),0:51
26-Oct-2015,Raipur $10K,3,Hard,QF,,757,0,Q,,Eetee Maheta,Hsin Yuan Shih,6-3 6-3,,,,,,,,,,,,,,
26-Oct-2015,Raipur $10K,3,Hard,R16,,696,1,Q,8,Hsin Yuan Shih,Nidhi Chilumula,6-1 7-6(5),,,,,,,,,,,,,,
26-Oct-2015,Raipur $10K,3,Hard,R32,,,1,Q,Q,Hsin Yuan Shih,Pareen Shivekar,6-1 7-5,,,,,,,,,,,,,,
19-Oct-2015,Lucknow $10K,3,Grass,QF,,578,0,Q,5,Dhruthi Tatachar Venugopal,Hsin Yuan Shih,6-3 6-3,,,,,,,,,,,,,,
19-Oct-2015,Lucknow $10K,3,Grass,R16,,1127,1,Q,,Hsin Yuan Shih,Shivika Burman,6-0 6-2,,,,,,,,,,,,,,
19-Oct-2015,Lucknow $10K,3,Grass,R32,,573,1,Q,4,Hsin Yuan Shih,Natasha Palha,7-6(4) 4-6 7-5,,,,,,,,,,,,,,
28-Sep-2015,Jakarta $10K,3,Hard,R32,,,0,Q,Q,Kanika Vaidya,Hsin Yuan Shih,6-1 6-4,,,,,,,,,,,,,,
21-Sep-2015,Solo $10K,3,Hard,R16,,689,0,Q,5,Yurina Koshino,Hsin Yuan Shih,6-2 6-1,,,,,,,,,,,,,,
21-Sep-2015,Solo $10K,3,Hard,R32,,1082,1,Q,,Hsin Yuan Shih,Ina Kaufinger,6-3 6-4,,,,,,,,,,,,,,
