Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
11-Mar-2024,W35 Indore,3,Hard,R16,963,683,0,9,4,Akiko Omae,Humera Baharmus,6-3 6-3,,,,,,,,,,,,,,
11-Mar-2024,W35 Indore,3,Hard,R32,963,,1,9,WC,Humera Baharmus,Aditi Rawat,6-0 6-4,,,,,,,,,,,,,,
4-Mar-2024,W35 Nagpur,3,Clay,R32,963,1015,0,Q,Q,Rinon Okuwaki,Humera Baharmus,6-2 6-3,,,,,,,,,,,,,,
4-Mar-2024,W35 Nagpur,3,Clay,Q2,963,,1,6,,Humera Baharmus,Kavya Khirwar,6-2 6-2,,,,,,,,,,,,,,
4-Mar-2024,W35 Nagpur,3,Clay,Q1,963,,1,6,,Humera Baharmus,Sahira Singh,6-2 0-6 15-13,,,,,,,,,,,,,,
26-Feb-2024,W35 Gurugram,3,Hard,R32,951,493,0,WC,,Zhibek Kulambayeva,Humera Baharmus,6-1 6-0,,,,,,,,,,,,,,
29-Jan-2024,W50 Indore,3,Hard,Q2,918,827,0,10,7,Michika Ozeki,Humera Baharmus,6-4 5-7 7-5,,,,,,,,,,,,,,
29-Jan-2024,W50 Indore,3,Hard,Q1,918,,1,10,,Humera Baharmus,Vanshita Pathania,6-0 6-0,,,,,,,,,,,,,,
22-Jan-2024,W50 Pune,3,Hard,Q2,890,441,0,16,4,Naho Sato,Humera Baharmus,6-3 6-1,,,,,,,,,,,,,,
22-Jan-2024,W50 Pune,3,Hard,Q1,890,1323,1,16,,Humera Baharmus,Akanksha Dileep Nitture,2-6 7-6(7) 6-3,,,,,,,,,,,,,,
15-Jan-2024,W50 Bengaluru,3,Hard,Q1,890,355,0,,2,Anna Siskova,Humera Baharmus,6-2 6-1,,,,,,,,,,,,,,
25-Dec-2023,W40 Navi Mumbai,3,Hard,R16,881,1291,1,7,15,Humera Baharmus,Jennifer Luikham,3-6 6-2 6-4,,,,,,,,,,,,,,
25-Dec-2023,W40 Navi Mumbai,3,Hard,R32,881,620,0,Q,,Daria Kudashova,Humera Baharmus,6-4 4-1 RET,,,,,,,,,,,,,,
25-Dec-2023,W40 Navi Mumbai,3,Hard,R32,881,,1,7,,Humera Baharmus,Alexandra Azarko,6-1 6-3,,,,,,,,,,,,,,
18-Dec-2023,W25 Solapur,3,Hard,R32,882,141,0,Q,1,Maria Timofeeva,Humera Baharmus,6-4 6-1,,,,,,,,,,,,,,
18-Dec-2023,W25 Solapur,3,Hard,Q2,882,,1,1,,Humera Baharmus,Prathyusha Rachapudi,6-1 6-3,,,,,,,,,,,,,,
18-Dec-2023,W25 Solapur,3,Hard,Q1,882,,1,1,,Humera Baharmus,Bela Tamhankar,6-0 7-5,,,,,,,,,,,,,,
27-Nov-2023,W15 Ahmedabad,3,Hard,QF,901,714,0,7,4,Shrivalli Rashmikaa Bhamidipaty,Humera Baharmus,6-1 6-2,,,,,,,,,,,,,,
27-Nov-2023,W15 Ahmedabad,3,Hard,R16,901,,1,7,Q,Humera Baharmus,Suhitha Maruri,6-3 2-1 RET,,,,,,,,,,,,,,
27-Nov-2023,W15 Ahmedabad,3,Hard,R32,901,1109,1,7,,Humera Baharmus,Elena Jamshidi,7-5 6-4,,,,,,,,,,,,,,
20-Nov-2023,W25 Bengaluru,3,Clay,R32,901,706,0,,,Shrivalli Rashmikaa Bhamidipaty,Humera Baharmus,6-1 7-5,,,,,,,,,,,,,,
6-Nov-2023,W15 Sharm ElSheikh,3,Hard,R32,898,1193,0,6,Q,Alisa Kummel,Humera Baharmus,6-3 6-1,,,,,,,,,,,,,,
30-Oct-2023,W15 Sharm ElSheikh,3,Hard,R32,888,1167,0,7,,Darja Suvirdjonkova,Humera Baharmus,3-6 7-6(6) 6-3,,,,,,,,,,,,,,
23-Oct-2023,W25 Sharm ElSheikh,3,Hard,R32,888,,0,5,,Ekaterina Kuznetsova,Humera Baharmus,6-1 6-0,,,,,,,,,,,,,,
