Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
2-Jun-1938,Roland Garros,5,Clay,R32,,,0,,,Simone Kleinadel,Ida Adamoff,6-1 4-6 6-2,,,,,,,,,,,,,,
20-May-1935,Roland Garros,5,Clay,R16,,,0,,1,Peggy Scriven Vivian,Ida Adamoff,6-1 6-3,,,,,,,,,,,,,,
20-May-1935,Roland Garros,5,Clay,R32,,,1,,,Ida Adamoff,Leela Row,W/O,,,,,,,,,,,,,,
15-Apr-1935,Rome,3,Clay,QF,,,0,,,Lucia Valerio,Ida Adamoff,9-7 6-4,,,,,,,,,,,,,,
15-Apr-1935,Rome,3,Clay,R16,,,1,,,Ida Adamoff,Nelly Landry,6-1 7-5,,,,,,,,,,,,,,
15-Apr-1935,Rome,3,Clay,R32,,,1,,,Ida Adamoff,Vittoria Tonolli,6-4 7-5,,,,,,,,,,,,,,
4-Feb-1935,Paris Indoors,3,Carpet,F,,,0,,,Lolette Payot,Ida Adamoff,1-6 6-3 6-4,,,,,,,,,,,,,,
4-Feb-1935,Paris Indoors,3,Carpet,SF,,,1,,,Ida Adamoff,Jacqueline Goldschmidt,6-3 6-3,,,,,,,,,,,,,,
4-Feb-1935,Paris Indoors,3,Carpet,QF,,,1,,,Ida Adamoff,Renee Olivieri,6-2 6-3,,,,,,,,,,,,,,
4-Feb-1935,Paris Indoors,3,Carpet,R16,,,1,,,Ida Adamoff,Gisele Personnat,6-1 7-5,,,,,,,,,,,,,,
6-Jan-1935,Saint Moritz Palace Indoors,3,Carpet,F,,,1,,,Ida Adamoff,Alex Mcostrich,7-5 6-2,,,,,,,,,,,,,,
19-Nov-1934,Zurich Indoors,3,Carpet,F,,,0,,,Lolette Payot,Ida Adamoff,6-2 5-7 6-2,,,,,,,,,,,,,,
19-Nov-1934,Zurich Indoors,3,Carpet,SF,,,1,,,Ida Adamoff,Paula Von Reznicek,6-3 6-0,,,,,,,,,,,,,,
12-Nov-1934,Geneva Indoors,3,Carpet,F,,,0,,,Lolette Payot,Ida Adamoff,6-2 7-5,,,,,,,,,,,,,,
25-Sep-1934,Merano Lenz Cup,3,Clay,QF,,,1,,,Ida Adamoff,Ilse Friedleben,1-6 10-8 7-5,,,,,,,,,,,,,,
25-Sep-1934,Merano Lenz Cup,3,Clay,R16,,,1,,,Ida Adamoff,Anna Maria Frisacco,6-2 7-5,,,,,,,,,,,,,,
25-Sep-1934,Merano Lenz Cup,3,Clay,RR,,,0,,,Ivana Orlandini,Ida Adamoff,2-4 RET,,,,,,,,,,,,,,
25-Sep-1934,Merano Lenz Cup,3,Clay,RR,,,0,,,Hilde Sperling,Ida Adamoff,6-2 6-1,,,,,,,,,,,,,,
25-Sep-1934,Merano Lenz Cup,3,Clay,RR,,,0,,,Marie Louise Horn,Ida Adamoff,6-3 6-3,,,,,,,,,,,,,,
20-Sep-1934,Cernobbio,3,Clay,QF,,,0,,,Grete Deutschova,Ida Adamoff,6-8 6-0 7-5,,,,,,,,,,,,,,
20-Sep-1934,Cernobbio,3,Clay,R16,,,1,,,Ida Adamoff,Vittoria Tonolli,4-6 7-5 6-3,,,,,,,,,,,,,,
3-Sep-1934,Venice,3,Clay,SF,,,0,,,Peggy Scriven Vivian,Ida Adamoff,3-6 6-0 6-2,,,,,,,,,,,,,,
3-Sep-1934,Venice,3,Clay,QF,,,1,,,Ida Adamoff,Colette Rosambert,6-3 6-2,,,,,,,,,,,,,,
3-Sep-1934,Venice,3,Clay,R16,,,1,,,Ida Adamoff,Effie Hemmant,6-3 6-1,,,,,,,,,,,,,,
3-Sep-1934,Venice,3,Clay,R32,,,1,,,Ida Adamoff,Ucci Manzutto,6-3 6-4,,,,,,,,,,,,,,
3-Sep-1934,Venice,3,Clay,R64,,,1,,,Ida Adamoff,E Stefanelli,6-2 6-1,,,,,,,,,,,,,,
22-Aug-1934,Aix-les-Bains,3,Clay,F,,,1,,,Ida Adamoff,Aimee Charpenel,6-1 6-1,,,,,,,,,,,,,,
20-Aug-1934,Geneva,3,Clay,F,,,0,,,Lolette Payot,Ida Adamoff,6-2 7-5,,,,,,,,,,,,,,
5-Aug-1934,Hamburg,3,Clay,R16,,,0,,,Annalisa Bossi,Ida Adamoff,6-1 3-6 6-4,,,,,,,,,,,,,,
5-Aug-1934,Hamburg,3,Clay,R32,,,1,,,Ida Adamoff,Else Bohn,6-1 6-2,,,,,,,,,,,,,,
23-Jul-1934,Dieppe,3,Clay,F,,,0,,,Sylvia Henrotin,Ida Adamoff,6-3 6-2,,,,,,,,,,,,,,
23-Jul-1934,Dieppe,3,Clay,SF,,,1,,,Ida Adamoff,Simone Barbier,0-6 6-1 6-1,,,,,,,,,,,,,,
25-Jun-1934,Wimbledon,5,Grass,R32,,,0,,,Joan Hartigan,Ida Adamoff,7-5 6-4,,,,,,,,,,,,,,
25-Jun-1934,Wimbledon,5,Grass,R64,,,1,,,Ida Adamoff,Leela Row,6-3 5-7 6-4,,,,,,,,,,,,,,
18-Jun-1934,Queen's Club,3,Grass,QF,,,0,,,Mall Molesworth,Ida Adamoff,8-6 6-4,,,,,,,,,,,,,,
18-Jun-1934,Queen's Club,3,Grass,R16,,,1,,,Ida Adamoff,Leonie Brighton,6-3 6-0,,,,,,,,,,,,,,
18-Jun-1934,Queen's Club,3,Grass,R32,,,1,,,Ida Adamoff,E L Watson,6-1 6-0,,,,,,,,,,,,,,
10-Jun-1934,Bordeaux,3,Clay,F,,,0,,,Simonne Mathieu,Ida Adamoff,7-5 6-3,,,,,,,,,,,,,,
24-May-1934,Paris USA vs FRA,3,Clay,RR,,,1,,,Ida Adamoff,Josephine Cruickshank,3-6 6-4 6-3,,,,,,,,,,,,,,
23-May-1934,Roland Garros,5,Clay,R64,,,0,,6,Kay Stammers,Ida Adamoff,6-3 4-6 6-2,,,,,,,,,,,,,,
9-May-1934,Milan,3,Clay,SF,,,0,,,Helen Jacobs,Ida Adamoff,6-1 4-6 6-1,,,,,,,,,,,,,,
9-May-1934,Milan,3,Clay,QF,,,1,,,Ida Adamoff,Madzy Rollin Couquerque,6-3 6-2,,,,,,,,,,,,,,
9-May-1934,Milan,3,Clay,R16,,,1,,,Ida Adamoff,Olga Haycraft,6-1 6-2,,,,,,,,,,,,,,
9-May-1934,Milan,3,Clay,R32,,,1,,,Ida Adamoff,Helen Andrus,6-0 6-1,,,,,,,,,,,,,,
