Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
11-Oct-2004,Herceg Novi 10K,3,Clay,R16,1106,486,0,Q,3,Dragana Zaric,Ildiko Stadler,6-2 6-0,,,,,,,,,,,,,,
11-Oct-2004,Herceg Novi 10K,3,Clay,R32,1106,,1,Q,WC,Ildiko Stadler,Natasa Vuckovic,6-1 6-2,,,,,,,,,,,,,,
4-Oct-2004,Podgorica 10K,3,Clay,R16,1098,1057,0,Q,LL,Ljiljana Nanusevic,Ildiko Stadler,6-3 7-6(3),,,,,,,,,,,,,,
4-Oct-2004,Podgorica 10K,3,Clay,R32,1098,,1,Q,WC,Ildiko Stadler,Suncica Strkic,6-1 6-0,,,,,,,,,,,,,,
16-Aug-2004,Iasi 10K,3,Clay,R32,,368,0,Q,1,Simona Iulia Matei,Ildiko Stadler,6-2 6-1,,,,,,,,,,,,,,
2-Aug-2004,Gdynia 2 10K,3,Clay,R32,,,0,Q,WC,Karolina Filipiak,Ildiko Stadler,4-6 6-4 6-4,,,,,,,,,,,,,,
31-May-2004,Palic 10K,3,Clay,R16,,,0,Q,Q,Ana Cetnik,Ildiko Stadler,6-3 2-6 6-4,,,,,,,,,,,,,,
31-May-2004,Palic 10K,3,Clay,R32,,552,1,Q,2,Ildiko Stadler,Borka Majstorovic,7-6(4) 6-1,,,,,,,,,,,,,,
15-Oct-2001,Makarska 10K,3,Clay,R32,,481,0,Q,5,Jelena Pandzic,Ildiko Stadler,6-3 6-2,,,,,,,,,,,,,,
8-Oct-2001,Makarska 10K,3,Clay,R32,,494,0,Q,8,Gabriela Chmelinova,Ildiko Stadler,6-2 6-1,,,,,,,,,,,,,,
2-Nov-1998,Rungsted 10K,3,Carpet,R32,766,867,0,,,Caroline Ann Basu,Ildiko Stadler,6-2 6-1,,,,,,,,,,,,,,
8-Sep-1998,Povoa De Varzim 10K,3,Hard,QF,863,682,0,,,Ana Gaspar,Ildiko Stadler,6-4 6-3,,,,,,,,,,,,,,
8-Sep-1998,Povoa De Varzim 10K,3,Hard,R16,863,,1,,Q,Ildiko Stadler,Denise Hofer,6-2 6-2 7-6,,,,,,,,,,,,,,
8-Sep-1998,Povoa De Varzim 10K,3,Hard,R32,863,576,1,,7,Ildiko Stadler,Tamara Aranda Nunez,6-2 6-4,,,,,,,,,,,,,,
1-Sep-1998,Vila Do Conde 10K,3,Hard,R32,863,656,0,,,Susi Bensch,Ildiko Stadler,6-0 6-2,,,,,,,,,,,,,,
12-Aug-1998,Istanbul 10K,3,Hard,R32,904,527,0,Q,8,Nicole Melch,Ildiko Stadler,6-2 4-6 6-4,,,,,,,,,,,,,,
1-Jun-1998,Hungary 25K,3,Clay,R32,897,194,0,WC,6,Rita Kuti Kis,Ildiko Stadler,6-0 6-0,,,,,,,,,,,,,,
20-Apr-1998,Budapest Q,3,Clay,Q1,,161,0,WC,7,Sandra Nacuk,Ildiko Stadler,6-1 6-4,,,,,,,,,,,,,,
25-Mar-1998,Ashkelon 10K,3,Hard,R16,,297,0,Q,1,Tzipi Obziler,Ildiko Stadler,6-2 6-0,,,,,,,,,,,,,,
25-Mar-1998,Ashkelon 10K,3,Hard,R32,,670,1,Q,,Ildiko Stadler,Anne Stueckle,6-1 6-3,,,,,,,,,,,,,,
9-Jun-1997,Budapest 50K,3,Clay,R32,,352,0,WC,,Claudia Porwik,Ildiko Stadler,6-3 6-4,,,,,,,,,,,,,,
9-Dec-1996,Sao Paulo 10K,3,Hard,R32,,431,0,LL,,Maria Florencia Cianfagna,Ildiko Stadler,6-2 6-3,,,,,,,,,,,,,,
