Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
5-Aug-1991,ITF Vigo,3,Clay,Q1,,,0,,8,Ninoska Souto,Ines Canadell,6-0 6-3,,,,,,,,,,,,,,
22-Jul-1991,ITF Sezze,3,Clay,Q2,,,0,,7,Sabina Pellas,Ines Canadell,7-5 6-2,,,,,,,,,,,,,,
22-Jul-1991,ITF Sezze,3,Clay,Q1,,,1,,,Ines Canadell,Elena Cecco,6-3 6-2,,,,,,,,,,,,,,
20-May-1991,ITF Tortosa,3,Clay,R16,,,0,,,Ana Laso,Ines Canadell,6-3 7-5,,,,,,,,,,,,,,
20-May-1991,ITF Tortosa,3,Clay,R32,,,1,,3,Ines Canadell,Cora Linneman,3-6 6-0 7-6(2),,,,,,,,,,,,,,
30-Jul-1990,ITF Vigo,3,Clay,Q2,,,0,4,,Susana Aguna,Ines Canadell,0-1 RET,,,,,,,,,,,,,,
23-Jul-1990,ITF La Coruna,3,Clay,R32,,489,0,,,Barbara Navarro,Ines Canadell,6-3 3-6 6-1,,,,,,,,,,,,,,
21-May-1990,ITF Katowice,3,Clay,Q1,,497,0,,,Sylvia Stefkova,Ines Canadell,6-2 6-7 6-2,,,,,,,,,,,,,,
19-Mar-1990,ITF Granada,3,Hard,R32,,357,0,,,Zuzana Witzova,Ines Canadell,6-0 6-4,,,,,,,,,,,,,,
12-Mar-1990,ITF Murcia,3,Clay,R32,,314,0,,3,Sabrina Lucchi,Ines Canadell,6-1 6-4,,,,,,,,,,,,,,
5-Mar-1990,ITF Valencia,3,Clay,R16,,482,0,,,Ginevra Mugniani,Ines Canadell,6-3 6-2,,,,,,,,,,,,,,
5-Mar-1990,ITF Valencia,3,Clay,R32,,,1,,,Ines Canadell,Sofia Prazeres,6-2 1-6 7-5,,,,,,,,,,,,,,
31-Jul-1989,ITF Vigo,3,Clay,Q2,,,0,,,Virginia Ruano Pascual,Ines Canadell,7-6(1) 6-0,,,,,,,,,,,,,,
31-Jul-1989,ITF Vigo,3,Clay,Q1,,,1,,,Ines Canadell,Maria Dolores Altur,6-4 6-4,,,,,,,,,,,,,,
