Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
18-Feb-2013,Macon 10K,3,Hard,R32,,,0,WC,Q,Marie Klocker,Ines Fontanarosa,6-3 6-2,,,,,,,,,,,,,,
22-Oct-2012,Monastir 10K,3,Hard,R32,,865,0,,,Diana Isaeva,Ines Fontanarosa,7-5 7-5,,,,,,,,,,,,,,
23-Apr-2012,San Severo 10K,3,Clay,R32,1235,874,0,Q,,Costanza Mecchi,Ines Fontanarosa,6-2 6-1,,,,,,,,,,,,,,
9-Apr-2012,Tlemcen 10K,3,Clay,R16,,664,0,,3,Yvonne Neuwirth,Ines Fontanarosa,4-6 6-2 6-3,,,,,,,,,,,,,,
9-Apr-2012,Tlemcen 10K,3,Clay,R32,,,1,,WC,Ines Fontanarosa,Assia Halo,6-4 5-7 6-2,,,,,,,,,,,,,,
2-Apr-2012,Alger 10K,3,Clay,R16,,,0,,Q,Mai El Kamash,Ines Fontanarosa,4-6 6-3 6-2,,,,,,,,,,,,,,
2-Apr-2012,Alger 10K,3,Clay,R32,,885,1,,8,Ines Fontanarosa,Costanza Mecchi,6-2 2-6 6-3,,,,,,,,,,,,,,
5-Mar-2012,Dijon 10K,3,Hard,R32,,338,0,WC,3,Isabella Shinikova,Ines Fontanarosa,6-1 6-4,,,,,,,,,,,,,,
13-Feb-2012,Antalya-Kaya Belek 10K,3,Clay,R32,,671,0,Q,,Ran Tian,Ines Fontanarosa,6-4 7-6(3),,,,,,,,,,,,,,
9-Jan-2012,Antalya-Kaya Belek 10K,3,Clay,R32,,782,0,Q,,Dunja Sunkic,Ines Fontanarosa,2-6 6-3 6-3,,,,,,,,,,,,,,
10-Oct-2011,Bol 10K,3,Clay,R16,,571,0,Q,4,Morgane Pons,Ines Fontanarosa,6-4 6-1,,,,,,,,,,,,,,
10-Oct-2011,Bol 10K,3,Clay,R32,,968,1,Q,,Ines Fontanarosa,Tena Lukas,3-6 7-6(4) 7-6(5),,,,,,,,,,,,,,
