Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
15-May-2023,Florence 125,3,Clay,Q1,,428,0,WC,8,Deborah Chiesa,Ingrid Neel,6-3 6-4,0.81,1.3%,6.3%,54.4%,46.5%,47.2%,53.8% (7/13),45.3%,42.9%,8.2%,33.3%,57.9%,50.0% (3/6),1:39
26-Sep-2022,Tallinn,3,Hard,Q1,,145,0,WC,11,Katie Boulter,Ingrid Neel,6-0 6-2,0.68,3.3%,5.0%,61.7%,45.9%,34.8%,45.5% (5/11),40.7%,39.7%,1.6%,32.4%,50.0%,12.5% (1/8),1:20
30-May-2022,W100 Surbiton,3,Grass,Q1,1063,,0,,16,Talia Neilson Gatenby,Ingrid Neel,6-1 7-6(7),,,,,,,,,,,,,,
16-May-2022,Rabat,3,Clay,Q1,,295,0,WC,5,Xiaodi You,Ingrid Neel,7-6(4) 7-5,0.89,1.1%,6.8%,69.3%,62.3%,37.0%,73.3% (11/15),47.5%,40.7%,1.1%,40.0%,42.3%,21.4% (3/14),2:04
2-May-2022,Saint Malo 125,3,Clay,Q1,1061,265,0,,5,Carole Monnet,Ingrid Neel,6-0 6-4,0.69,1.9%,7.5%,71.7%,50.0%,13.3%,33.3% (3/9),40.5%,41.4%,3.4%,24.2%,64.0%,28.6% (2/7),1:12
25-Apr-2022,W60 Istanbul,3,Clay,Q1,1061,368,0,,10,Vlada Koval,Ingrid Neel,6-4 6-3,,,,,,,,,,,,,,
27-Sep-2021,Chicago 2,3,Hard,Q1,851,164,0,WC,10,Katarzyna Kawa,Ingrid Neel,6-3 6-4,0.57,1.5%,4.5%,54.5%,55.6%,50.0%,62.5% (5/8),41.0%,26.8%,0.0%,26.5%,27.3%,100.0% (1/1),1:16
14-Jun-2021,Birmingham,3,Grass,Q1,820,291,0,ALT,,Naiktha Bains,Ingrid Neel,6-4 7-6(3),0.74,1.3%,6.5%,67.5%,59.6%,44.0%,20.0% (1/5),44.8%,33.8%,11.8%,22.7%,54.2%,42.9% (3/7),1:32
14-Sep-2020,W80 Cagnes-sur-Mer,3,Clay,Q1,693,,0,,11,Daria Saville,Ingrid Neel,6-2 6-3,,,,,,,,,,,,,,
9-Mar-2020,W25+H Irapuato,3,Hard,R32,695,150,0,Q,3,Giulia Gatto Monticone,Ingrid Neel,3-6 6-4 6-1,,,,,,,,,,,,,,
9-Mar-2020,W25+H Irapuato,3,Hard,Q2,695,,1,8,15,Ingrid Neel,Jamilah Snells,6-0 7-6(5),,,,,,,,,,,,,,
3-Feb-2020,W100 Midland MI,3,Hard,Q1,689,411,0,,13,Emina Bektas,Ingrid Neel,4-6 6-3 10-6,,,,,,,,,,,,,,
13-Jan-2020,W25 Daytona Beach FL,3,Clay,Q1,676,392,0,,4,Sophie Chang,Ingrid Neel,4-6 7-5 11-9,,,,,,,,,,,,,,
21-Oct-2019,W80 Macon GA,3,Hard,R32,698,533,0,Q,,Sanaz Marand,Ingrid Neel,6-3 6-3,,,,,,,,,,,,,,
21-Oct-2019,W80 Macon GA,3,Hard,Q2,698,1161,1,,15,Ingrid Neel,Andie K Daniell,6-2 3-6 [10-6],,,,,,,,,,,,,,
21-Oct-2019,W80 Macon GA,3,Hard,Q1,698,,1,,,Ingrid Neel,Carly Briggs,6-2 2-6 [10-5],,,,,,,,,,,,,,
30-Sep-2019,W60 Charleston SC,3,Clay,Q1,687,643,0,,16,Anastasia Sukhotina,Ingrid Neel,4-6 6-1 [10-8],,,,,,,,,,,,,,
23-Sep-2019,W60 Templeton CA,3,Hard,Q2,716,849,0,,,Elysia Bolton,Ingrid Neel,6-1 6-3,,,,,,,,,,,,,,
23-Sep-2019,W60 Templeton CA,3,Hard,Q1,716,525,1,,10,Ingrid Neel,Anastasia Evgenyevna Nefedova,6-4 6-4,,,,,,,,,,,,,,
12-Aug-2019,W60 Concord MA,3,Hard,Q1,698,202,0,,10,Olga Govortsova,Ingrid Neel,6-2 6-3,,,,,,,,,,,,,,
15-Jul-2019,W25 Gatineau,3,Hard,Q1,608,,0,,,Isabelle Kouzmanov,Ingrid Neel,6-4 3-6 [10-7],,,,,,,,,,,,,,
8-Jul-2019,W25 Saskatoon,3,Hard,R32,605,438,0,,,Hanna Chang,Ingrid Neel,5-7 6-2 6-1,,,,,,,,,,,,,,
8-Jul-2019,W25 Saskatoon,3,Hard,Q2,605,,1,,10,Ingrid Neel,Victoria Emma,6-2 6-1,,,,,,,,,,,,,,
10-Jun-2019,W100 Manchester,3,Grass,R32,638,128,0,,,Xiyu Wang,Ingrid Neel,6-3 6-2,,,,,,,,,,,,,,
10-Jun-2019,W100 Manchester,3,Grass,Q2,638,298,1,12,,Ingrid Neel,Maria Sanchez,4-6 7-6(3) [10-4],,,,,,,,,,,,,,
