Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
6-May-2024,W75 Trnava,3,Clay,Q1,880,464,0,WC,10,Nina Vargova,Irina Balus,6-3 4-6 6-2,,,,,,,,,,,,,,
8-Apr-2024,W15 Antalya,3,Clay,QF,933,,0,,Q,Karolina Mrazikova,Irina Balus,6-3 6-4,,,,,,,,,,,,,,
8-Apr-2024,W15 Antalya,3,Clay,R16,933,925,1,,,Irina Balus,Alisa Baranovska,6-2 6-1,,,,,,,,,,,,,,
8-Apr-2024,W15 Antalya,3,Clay,R32,933,,1,,Q,Irina Balus,Victoria Pohle,6-1 6-0,,,,,,,,,,,,,,
26-Feb-2024,W15 Sharm ElSheikh,3,Hard,QF,981,1000,0,,,Arlinda Rushiti,Irina Balus,1-0 RET,,,,,,,,,,,,,,
26-Feb-2024,W15 Sharm ElSheikh,3,Hard,R16,981,554,1,,1,Irina Balus,Karola Patricia Bejenaru,3-6 6-4 6-4,,,,,,,,,,,,,,
26-Feb-2024,W15 Sharm ElSheikh,3,Hard,R32,981,,1,,Q,Irina Balus,Maaya Rajeshwaran Revathi,6-0 6-3,,,,,,,,,,,,,,
19-Feb-2024,W15 Sharm ElSheikh,3,Hard,QF,975,1037,0,Q,Q,Sarah Van Emst,Irina Balus,3-6 6-3 6-2,,,,,,,,,,,,,,
19-Feb-2024,W15 Sharm ElSheikh,3,Hard,R16,975,,1,Q,,Irina Balus,Tiantsoa Sarah Rakotomanga Rajaonah,6-3 4-6 6-3,,,,,,,,,,,,,,
19-Feb-2024,W15 Sharm ElSheikh,3,Hard,R16,975,1357,1,3,11,Irina Balus,Ayline Esina Samardzic,6-2 6-1,,,,,,,,,,,,,,
19-Feb-2024,W15 Sharm ElSheikh,3,Hard,R32,975,730,1,Q,7,Irina Balus,Sina Herrmann,6-3 6-2,,,,,,,,,,,,,,
19-Feb-2024,W15 Sharm ElSheikh,3,Hard,R32,975,,1,3,,Irina Balus,Prathyusha Rachapudi,6-2 6-3,,,,,,,,,,,,,,
29-Jan-2024,W15 Monastir,3,Hard,R16,973,,1,4,,Irina Balus,Caroline Uebelhoer,7-5 4-6 12-10,,,,,,,,,,,,,,
29-Jan-2024,W15 Monastir,3,Hard,R32,973,865,0,Q,,Ruth Roura Llaverias,Irina Balus,7-5 7-6(2),,,,,,,,,,,,,,
29-Jan-2024,W15 Monastir,3,Hard,R32,973,1285,1,4,,Irina Balus,Solymar Colling,6-1 6-3,,,,,,,,,,,,,,
22-Jan-2024,W35 Monastir,3,Hard,R16,975,902,0,,,Carson Branstine,Irina Balus,6-4 6-2,,,,,,,,,,,,,,
22-Jan-2024,W35 Monastir,3,Hard,R32,975,682,1,,12,Irina Balus,Nagi Hanatani,6-2 6-4,,,,,,,,,,,,,,
22-Jan-2024,W35 Monastir,3,Hard,R64,975,,1,,WC,Irina Balus,Ema Kovacevic,6-0 1-1 RET,,,,,,,,,,,,,,
15-Jan-2024,W35 Monastir,3,Hard,R32,975,918,0,,12,Flavie Brugnone,Irina Balus,6-2 1-6 10-6,,,,,,,,,,,,,,
15-Jan-2024,W35 Monastir,3,Hard,R64,975,,1,,,Irina Balus,Jiale Zhang,6-2 6-4,,,,,,,,,,,,,,
4-Dec-2023,W15 Antalya,3,Clay,R16,985,550,0,WC,2,Ksenia Laskutova,Irina Balus,6-2 7-5,,,,,,,,,,,,,,
4-Dec-2023,W15 Antalya,3,Clay,R32,985,,1,WC,WC,Irina Balus,Elena Grekul,6-2 6-7(10) 6-3,,,,,,,,,,,,,,
27-Nov-2023,W15 Heraklion,3,Clay,R32,983,1250,0,5,,Iveta Dapkute,Irina Balus,6-3 6-3,,,,,,,,,,,,,,
13-Nov-2023,W15 Antalya,3,Clay,SF,1188,1010,0,SE,,Valeriya Yushchenko,Irina Balus,6-2 3-6 6-0,,,,,,,,,,,,,,
13-Nov-2023,W15 Antalya,3,Clay,QF,1188,653,1,SE,1,Irina Balus,Anika Jaskova,6-2 6-1,,,,,,,,,,,,,,
13-Nov-2023,W15 Antalya,3,Clay,R16,1188,880,1,SE,5,Irina Balus,Giorgia Pinto,6-1 6-0,,,,,,,,,,,,,,
13-Nov-2023,W15 Antalya,3,Clay,R32,1188,,1,SE,Q,Irina Balus,Zoziya Kardava,6-1 6-4,,,,,,,,,,,,,,
6-Nov-2023,W15 Antalya,3,Clay,F,1162,1009,0,,8,Valeriya Yushchenko,Irina Balus,6-4 6-2,,,,,,,,,,,,,,
6-Nov-2023,W15 Antalya,3,Clay,SF,1162,911,1,,7,Irina Balus,Giulia Carbonaro,7-5 6-0,,,,,,,,,,,,,,
6-Nov-2023,W15 Antalya,3,Clay,QF,1162,1050,1,,,Irina Balus,Andjela Lazarevic,2-6 6-2 6-2,,,,,,,,,,,,,,
6-Nov-2023,W15 Antalya,3,Clay,R16,1162,1141,1,,,Irina Balus,Maria Kalyakina,6-3 6-0,,,,,,,,,,,,,,
6-Nov-2023,W15 Antalya,3,Clay,R32,1162,1064,1,,,Irina Balus,Eva Garkusha,6-2 6-2,,,,,,,,,,,,,,
30-Oct-2023,W60 Bratislava,3,Hard,Q1,1164,656,0,,12,Stephanie Wagner,Irina Balus,6-4 3-6 6-1,,,,,,,,,,,,,,
16-Oct-2023,W15 Monastir,3,Hard,R32,1170,800,0,,5,Anja Wildgruber,Irina Balus,4-6 6-1 2-0 RET,,,,,,,,,,,,,,
2-Oct-2023,W15 Bad Waltersdorf,3,Clay,R32,1174,,0,Q,Q,Emma Slavikova,Irina Balus,6-2 7-5,,,,,,,,,,,,,,
