Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
15-Jul-1939,Hamburg Intl,3,Clay,R32,,,0,,,Rosemary Thomas,Irmgard Rost,6-3 6-2,,,,,,,,,,,,,,
15-Jul-1939,Hamburg Intl,3,Clay,R64,,,1,,,Irmgard Rost,Zora Nechilova,6-4 4-6 6-4,,,,,,,,,,,,,,
22-Jun-1939,Berlin Zehlendorfer,3,Clay,F,,,1,,,Irmgard Rost,Dagmar Schilf,8-6 6-1,,,,,,,,,,,,,,
16-May-1939,Berlin,3,Clay,F,,,1,,,Irmgard Rost,Gertrude Rosenthal,6-3 6-1,,,,,,,,,,,,,,
21-Jul-1938,Munich,3,Clay,F,,,0,,,Trude Wolf,Irmgard Rost,6-4 6-4,,,,,,,,,,,,,,
3-Jan-1938,Saint Moritz,3,Carpet,F,,,1,,,Irmgard Rost,Paula Von Reznicek,7-5 6-2,,,,,,,,,,,,,,
18-Oct-1937,Dulwich,3,Carpet,SF,,,0,,,Valerie Scott,Irmgard Rost,6-1 6-1,,,,,,,,,,,,,,
18-Oct-1937,Dulwich,3,Carpet,QF,,,1,,,Irmgard Rost,Patience Thomson,7-5 5-7 6-4,,,,,,,,,,,,,,
18-Oct-1937,Dulwich,3,Carpet,R16,,,1,,,Irmgard Rost,Muriel Harris,3-6 6-1 6-3,,,,,,,,,,,,,,
18-Oct-1937,Dulwich,3,Carpet,R32,,,1,,,Irmgard Rost,D M Flood,6-1 6-0,,,,,,,,,,,,,,
11-Oct-1937,London Indoors 2,3,Carpet,SF,,,0,,,Phyllis Mudford,Irmgard Rost,6-1 6-1,,,,,,,,,,,,,,
11-Oct-1937,London Indoors 2,3,Carpet,QF,,,1,,,Irmgard Rost,Joy Cox,6-0 6-3,,,,,,,,,,,,,,
11-Oct-1937,London Indoors 2,3,Carpet,R16,,,1,,,Irmgard Rost,Pat Oconnell,7-5 6-1,,,,,,,,,,,,,,
11-Oct-1937,London Indoors 2,3,Carpet,R32,,,1,,,Irmgard Rost,Mary Whitmarsh,6-4 6-4,,,,,,,,,,,,,,
4-Oct-1937,Felixstowe,3,Clay,F,,,1,,,Irmgard Rost,Nancy Edwards,7-5 6-4,,,,,,,,,,,,,,
4-Oct-1937,Felixstowe,3,Clay,SF,,,1,,,Irmgard Rost,Rita Jarvis,6-0 6-0,,,,,,,,,,,,,,
4-Oct-1937,Felixstowe,3,Clay,QF,,,1,,,Irmgard Rost,E M Devereux,6-2 6-2,,,,,,,,,,,,,,
27-Sep-1937,Godalming,3,Clay,F,,,1,,,Irmgard Rost,Mollie Trouncer,6-2 6-1,,,,,,,,,,,,,,
2-Sep-1937,Baden Baden,3,Clay,F,,,1,,,Irmgard Rost,Gisela Enger,6-4 6-3,,,,,,,,,,,,,,
12-Aug-1937,Bad Neuenahr,3,Clay,F,,,0,,,Margarethe Kappel,Irmgard Rost,6-3 6-0,,,,,,,,,,,,,,
26-Jul-1937,Torquay,3,Grass,F,,,1,,,Irmgard Rost,Billie Yorke,8-6 6-3,,,,,,,,,,,,,,
26-Jul-1937,Torquay,3,Grass,SF,,,1,,,Irmgard Rost,Nina Brown Hamilton,3-6 6-1 6-4,,,,,,,,,,,,,,
26-Jul-1937,Torquay,3,Grass,QF,,,1,,,Irmgard Rost,D B Marriott,6-0 6-0,,,,,,,,,,,,,,
26-Jul-1937,Torquay,3,Grass,R16,,,1,,,Irmgard Rost,Joan Curry,6-2 6-1,,,,,,,,,,,,,,
21-Jul-1937,Sheffield,3,,F,,,0,,,Simonne Mathieu,Irmgard Rost,6-4 6-2,,,,,,,,,,,,,,
21-Jul-1937,Sheffield,3,,SF,,,1,,,Irmgard Rost,Gem Hoahing,6-2 6-2,,,,,,,,,,,,,,
21-Jul-1937,Sheffield,3,,QF,,,1,,,Irmgard Rost,Mrs F C Fowkes,6-0 6-1,,,,,,,,,,,,,,
21-Jul-1937,Sheffield,3,,R16,,,1,,,Irmgard Rost,A Potter,6-2 6-0,,,,,,,,,,,,,,
12-Jul-1937,Newport Wales,3,,F,,,0,,,Simonne Mathieu,Irmgard Rost,6-3 6-4,,,,,,,,,,,,,,
12-Jul-1937,Newport Wales,3,,SF,,,1,,,Irmgard Rost,Susan Noel,6-3 6-1,,,,,,,,,,,,,,
12-Jul-1937,Newport Wales,3,,QF,,,1,,,Irmgard Rost,P Stratton,6-0 6-0,,,,,,,,,,,,,,
12-Jul-1937,Newport Wales,3,,R16,,,1,,,Irmgard Rost,B Callaghan,6-1 6-2,,,,,,,,,,,,,,
12-Jul-1937,Newport Wales,3,,R32,,,1,,,Irmgard Rost,J S Stratton,6-1 6-1,,,,,,,,,,,,,,
5-Jul-1937,Edgbaston Midland Counties,3,Grass,SF,,,0,,,Anita Lizana,Irmgard Rost,6-3 6-3,,,,,,,,,,,,,,
5-Jul-1937,Edgbaston Midland Counties,3,Grass,QF,,,1,,,Irmgard Rost,Jean Saunders,1-6 6-4 RET,,,,,,,,,,,,,,
5-Jul-1937,Edgbaston Midland Counties,3,Grass,R16,,,1,,,Irmgard Rost,J Darby,6-0 6-1,,,,,,,,,,,,,,
4-Apr-1937,Alexandria,3,,SF,,,0,,,Simonne Mathieu,Irmgard Rost,6-0 7-5,,,,,,,,,,,,,,
4-Apr-1937,Alexandria,3,,QF,,,1,,,Irmgard Rost,Nancy Lyle,5-7 6-0 6-2,,,,,,,,,,,,,,
4-Apr-1937,Alexandria,3,,R16,,,1,,,Irmgard Rost,I Lenos,6-1 6-1,,,,,,,,,,,,,,
15-Mar-1937,Cairo,3,,SF,,,0,,,Simonne Mathieu,Irmgard Rost,6-2 6-2,,,,,,,,,,,,,,
15-Mar-1937,Cairo,3,,QF,,,1,,,Irmgard Rost,Nancy Lyle,6-2 5-7 6-1,,,,,,,,,,,,,,
26-Oct-1936,Carlyon Bay,3,Carpet,F,,,0,,,Dorothy Round,Irmgard Rost,8-6 9-7,,,,,,,,,,,,,,
26-Oct-1936,Carlyon Bay,3,Carpet,SF,,,1,,,Irmgard Rost,Billie Yorke,6-4 6-4,,,,,,,,,,,,,,
26-Oct-1936,Carlyon Bay,3,Carpet,QF,,,1,,,Irmgard Rost,Vere King,8-6 4-6 7-5,,,,,,,,,,,,,,
20-Oct-1936,Dulwich,3,Carpet,F,,,0,,,Freda James,Irmgard Rost,6-4 6-3,,,,,,,,,,,,,,
20-Oct-1936,Dulwich,3,Carpet,SF,,,1,,,Irmgard Rost,Nancy Dickin,6-1 6-2,,,,,,,,,,,,,,
20-Oct-1936,Dulwich,3,Carpet,QF,,,1,,,Irmgard Rost,Betty Batt,5-7 6-4 6-4,,,,,,,,,,,,,,
20-Oct-1936,Dulwich,3,Carpet,R16,,,1,,,Irmgard Rost,Pam Morrison,7-5 6-4,,,,,,,,,,,,,,
20-Oct-1936,Dulwich,3,Carpet,R32,,,1,,,Irmgard Rost,M C Rayner,6-0 6-1,,,,,,,,,,,,,,
10-Sep-1936,Zagreb,3,,F,,,0,,,Hella Kovac,Irmgard Rost,8-10 6-3 6-4,,,,,,,,,,,,,,
