Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
2-Sep-2013,Alphen A D Rijn 25K,3,Clay,R32,788,197,0,Q,3,Richel Hogenkamp,Iryna Bremond,4-6 6-0 6-1,,,,,,,,,,,,,,
4-Feb-2013,Grenoble 25K,3,Hard,R32,386,710,0,Q,WC,Oceane Dodin,Iryna Bremond,6-3 6-4,,,,,,,,,,,,,,
29-Oct-2012,Nantes 50K,3,Hard,R32,295,57,0,WC,1,Petra Cetkovska,Iryna Bremond,6-3 6-4,,,,,,,,,,,,,,
15-Oct-2012,Limoges 50K,3,Hard,R32,280,211,0,,,Maryna Zanevska,Iryna Bremond,6-2 6-4,,,,,,,,,,,,,,
8-Oct-2012,Joue-Les-Tours 50K,3,Hard,R32,246,95,0,,2,Kristina Mladenovic,Iryna Bremond,6-4 7-6(3),,,,,,,,,,,,,,
24-Sep-2012,Clermond-Ferrand 25K,3,Hard,R16,231,169,0,WC,,Vesna Dolonc,Iryna Bremond,6-2 6-3,,,,,,,,,,,,,,
24-Sep-2012,Clermond-Ferrand 25K,3,Hard,R32,231,109,1,WC,2,Iryna Bremond,Karolina Pliskova,1-6 6-2 7-5,,,,,,,,,,,,,,
10-Sep-2012,Mont-De-Marsan 25K,3,Clay,R32,222,678,0,5,Q,Natalia Orlova,Iryna Bremond,3-6 6-4 6-4,,,,,,,,,,,,,,
3-Sep-2012,Alphen A D Rijn 25K,3,Clay,R32,220,278,0,7,,Arantxa Parra Santonja,Iryna Bremond,6-3 6-2,,,,,,,,,,,,,,
27-Aug-2012,Rotterdam 10K,3,Clay,R32,220,730,0,1,WC,Bernice Van De Velde,Iryna Bremond,7-6(8) 7-5,,,,,,,,,,,,,,
20-Aug-2012,Enschede 10K,3,Clay,QF,229,582,0,1,7,Elyne Boeykens,Iryna Bremond,4-6 7-5 6-2,,,,,,,,,,,,,,
20-Aug-2012,Enschede 10K,3,Clay,R16,229,,1,1,Q,Iryna Bremond,Jade Schoelink,6-2 1-0 RET,,,,,,,,,,,,,,
20-Aug-2012,Enschede 10K,3,Clay,R32,229,600,1,1,,Iryna Bremond,Sviatlana Pirazhenka,7-5 7-6(4),,,,,,,,,,,,,,
13-Aug-2012,Brcko 10K,3,Clay,SF,226,,0,1,,Jelena Pandzic,Iryna Bremond,6-3 6-3,,,,,,,,,,,,,,
13-Aug-2012,Brcko 10K,3,Clay,QF,226,696,1,1,,Iryna Bremond,Tereza Malikova,6-0 6-3,,,,,,,,,,,,,,
13-Aug-2012,Brcko 10K,3,Clay,R16,226,842,1,1,,Iryna Bremond,Dunja Sunkic,6-3 6-2,,,,,,,,,,,,,,
