Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
13-Sep-2010,Zagreb 25K,3,Clay,R32,,911,0,SR,Q,Klaudia Boczova,Ivana Abramovic,6-2 6-2,,,,,,,,,,,,,,
26-Oct-2009,Istanbul-Ted 25K,3,Hard,R32,,215,0,SR,,Naomi Cavaday,Ivana Abramovic,7-6(6) 6-4,,,,,,,,,,,,,,
22-Oct-2007,Mexico City 25K,3,Hard,QF,275,148,0,,1,Olivia Sanchez,Ivana Abramovic,6-7(5) 6-1 6-4,,,,,,,,,,,,,,
22-Oct-2007,Mexico City 25K,3,Hard,R16,275,388,1,,,Ivana Abramovic,Maria Vanina Garcia Sokol,7-5 6-1,,,,,,,,,,,,,,
22-Oct-2007,Mexico City 25K,3,Hard,R32,275,255,1,,6,Ivana Abramovic,Estefania Craciun,6-4 7-6(6),,,,,,,,,,,,,,
15-Oct-2007,San Luis Potosi 25K,3,Hard,QF,272,400,0,,Q,Claire Feuerstein,Ivana Abramovic,6-2 6-1,,,,,,,,,,,,,,
15-Oct-2007,San Luis Potosi 25K,3,Hard,R16,272,216,1,,3,Ivana Abramovic,Chanelle Scheepers,4-6 7-6(5) 6-1,,,,,,,,,,,,,,
15-Oct-2007,San Luis Potosi 25K,3,Hard,R32,272,411,1,,JE,Ivana Abramovic,Julia Cohen,6-1 6-1,,,,,,,,,,,,,,
8-Oct-2007,Saltillo 25K,3,Hard,R32,263,225,0,,3,Chanelle Scheepers,Ivana Abramovic,7-6(6) 6-3,,,,,,,,,,,,,,
24-Sep-2007,Podgorica 25K,3,Clay,QF,255,259,0,5,4,Dia Evtimova,Ivana Abramovic,5-7 6-0 6-1,,,,,,,,,,,,,,
24-Sep-2007,Podgorica 25K,3,Clay,R16,255,473,1,5,,Ivana Abramovic,Cristina Celani,6-1 6-0,,,,,,,,,,,,,,
24-Sep-2007,Podgorica 25K,3,Clay,R32,255,384,1,5,,Ivana Abramovic,Maria Belen Corbalan,6-0 6-3,,,,,,,,,,,,,,
3-Sep-2007,Mestre 50K,3,Clay,R16,243,137,0,,2,Kyra Nagy,Ivana Abramovic,6-3 6-4,,,,,,,,,,,,,,
3-Sep-2007,Mestre 50K,3,Clay,R32,243,261,1,,WC,Ivana Abramovic,Sandra Martinovic,6-2 6-3,,,,,,,,,,,,,,
27-Aug-2007,US Open Q,3,Hard,Q1,243,137,0,,29,Kyra Nagy,Ivana Abramovic,3-6 6-2 6-4,,,,,,,,,,,,,,
16-Jul-2007,Dnepropetrovsk 50K,3,Clay,R32,240,488,0,,LL,Irina Kuzmina,Ivana Abramovic,6-2 2-6 6-4,,,,,,,,,,,,,,
9-Jul-2007,Torun 25K,3,Clay,QF,249,314,0,1,7,Stefanie Voegele,Ivana Abramovic,4-6 6-3 6-1,,,,,,,,,,,,,,
9-Jul-2007,Torun 25K,3,Clay,R16,249,1304,1,1,LL,Ivana Abramovic,Edyta Cieplucha,6-2 7-5,,,,,,,,,,,,,,
9-Jul-2007,Torun 25K,3,Clay,R32,249,342,1,1,,Ivana Abramovic,Maria Abramovic,3-0 RET,,,,,,,,,,,,,,
2-Jul-2007,Bastad 25K,3,Clay,QF,210,340,0,3,,Johanna Larsson,Ivana Abramovic,6-2 6-2,,,,,,,,,,,,,,
2-Jul-2007,Bastad 25K,3,Clay,R16,210,338,1,3,,Ivana Abramovic,Xinyun Han,6-4 6-0,,,,,,,,,,,,,,
2-Jul-2007,Bastad 25K,3,Clay,R32,210,639,1,3,WC,Ivana Abramovic,Hanna Nooni,7-6(3) 3-6 7-5,,,,,,,,,,,,,,
25-Jun-2007,Wimbledon Q,3,Grass,Q1,210,194,0,,,Masa Zec Peskiric,Ivana Abramovic,6-1 6-2,,,,,,,,,,,,,,
4-Jun-2007,Zagreb 50K,3,Clay,R32,212,887,0,,WC,Indire Akiki,Ivana Abramovic,3-6 7-6(1) 7-5,,,,,,,,,,,,,,
28-May-2007,French Open Q,3,Clay,Q1,212,171,0,,,Maret Ani,Ivana Abramovic,6-1 6-3,,,,,,,,,,,,,,
14-May-2007,Zagreb 75K,3,Clay,R32,180,129,0,,6,Agnes Szavay,Ivana Abramovic,6-4 6-1,,,,,,,,,,,,,,
7-May-2007,RomeTiro A Volo 100K,3,Clay,R32,184,309,0,,Q,Oxana Lyubtsova,Ivana Abramovic,6-1 6-3,,,,,,,,,,,,,,
30-Apr-2007,Makarska 25K,3,Clay,SF,181,217,0,2,4,Masa Zec Peskiric,Ivana Abramovic,6-4 6-2,,,,,,,,,,,,,,
30-Apr-2007,Makarska 25K,3,Clay,QF,181,577,1,2,WC,Ivana Abramovic,Ana Savic,6-1 3-6 6-3,,,,,,,,,,,,,,
30-Apr-2007,Makarska 25K,3,Clay,R16,181,275,1,2,,Ivana Abramovic,Eugenia Grebenyuk,5-7 6-2 6-2,,,,,,,,,,,,,,
30-Apr-2007,Makarska 25K,3,Clay,R32,181,552,1,2,Q,Ivana Abramovic,Ana Jovanovic,6-1 3-6 6-3,,,,,,,,,,,,,,
16-Apr-2007,Bari 25K,3,Clay,R32,178,456,0,3,Q,Mariya Koryttseva,Ivana Abramovic,3-6 6-0 6-3,,,,,,,,,,,,,,
2-Apr-2007,Putignano 25K,3,Hard,R32,177,289,0,5,Q,Antonella Serra Zanetti,Ivana Abramovic,4-6 6-2 6-3,,,,,,,,,,,,,,
26-Mar-2007,Latina 50K,3,Clay,R16,183,110,0,,2,Yvonne Meusburger,Ivana Abramovic,6-3 6-2,,,,,,,,,,,,,,
26-Mar-2007,Latina 50K,3,Clay,R32,183,372,1,,LL,Ivana Abramovic,Korina Perkovic,7-6(6) 6-2,,,,,,,,,,,,,,
5-Mar-2007,Indian Wells Q,3,Hard,Q1,184,153,0,,23,Maret Ani,Ivana Abramovic,6-4 6-2,,,,,,,,,,,,,,
19-Feb-2007,Bogota,3,Clay,R32,166,177,0,,,Pauline Parmentier,Ivana Abramovic,6-3 7-6(5),,,,,,,,,,,,,,
12-Feb-2007,St Paul MN 50K,3,Hard,R32,165,193,0,5,,Rosana De Los Rios,Ivana Abramovic,1-6 6-2 6-2,,,,,,,,,,,,,,
5-Feb-2007,Midland MI 75K,3,Hard,R32,165,244,0,,,Greta Arn,Ivana Abramovic,6-4 6-1,,,,,,,,,,,,,,
29-Jan-2007,Palm Desert CA 25K,3,Hard,R32,165,388,0,2,Q,Maria Abramovic,Ivana Abramovic,6-1 6-4,,,,,,,,,,,,,,
22-Jan-2007,Waikoloa HI 50K,3,Hard,R16,146,269,0,3,,Angelika Bachmann,Ivana Abramovic,6-2 6-4,,,,,,,,,,,,,,
22-Jan-2007,Waikoloa HI 50K,3,Hard,R32,146,212,1,3,,Ivana Abramovic,Andreja Klepac,6-4 6-2,,,,,,,,,,,,,,
15-Jan-2007,Australian Open Q,3,Hard,Q1,146,179,0,,,Selima Sfar,Ivana Abramovic,2-6 7-5 6-2,,,,,,,,,,,,,,
27-Nov-2006,San Diego CA 50K,3,Hard,F,165,263,0,6,,Rosana De Los Rios,Ivana Abramovic,6-0 6-2,,,,,,,,,,,,,,
27-Nov-2006,San Diego CA 50K,3,Hard,SF,165,99,1,6,1,Ivana Abramovic,Aleksandra Wozniak,1-6 7-5 7-5,,,,,,,,,,,,,,
27-Nov-2006,San Diego CA 50K,3,Hard,QF,165,248,1,6,,Ivana Abramovic,Marie Eve Pelletier,5-7 6-2 6-3,,,,,,,,,,,,,,
27-Nov-2006,San Diego CA 50K,3,Hard,R16,165,347,1,6,,Ivana Abramovic,Liga Dekmeijere,6-2 6-3,,,,,,,,,,,,,,
27-Nov-2006,San Diego CA 50K,3,Hard,R32,165,435,1,6,Q,Ivana Abramovic,Ekaterina Shulaeva,2-6 6-2 6-0,,,,,,,,,,,,,,
20-Nov-2006,Puebla 25K,3,Hard,R16,164,248,0,2,,Marie Eve Pelletier,Ivana Abramovic,6-2 6-2,,,,,,,,,,,,,,
20-Nov-2006,Puebla 25K,3,Hard,R32,164,440,1,2,Q,Ivana Abramovic,Andrea Benitez,1-6 6-3 6-4,,,,,,,,,,,,,,
13-Nov-2006,Mexico City 25K,3,Clay,R16,152,314,0,2,Q,Betina Jozami,Ivana Abramovic,6-2 3-6 7-5,,,,,,,,,,,,,,
13-Nov-2006,Mexico City 25K,3,Clay,R32,152,436,1,2,LL,Ivana Abramovic,Maria Abramovic,6-2 6-4,,,,,,,,,,,,,,
16-Oct-2006,Saint Raphael 50K,3,Hard,R32,147,148,0,,,Yulia Fedossova,Ivana Abramovic,6-1 6-0,,,,,,,,,,,,,,
9-Oct-2006,Joue-Les-Tours 50K,3,Hard,R16,151,122,0,,,Yaroslava Shvedova,Ivana Abramovic,6-3 6-3,,,,,,,,,,,,,,
9-Oct-2006,Joue-Les-Tours 50K,3,Hard,R32,151,214,1,,Q,Ivana Abramovic,Andreja Klepac,3-6 6-1 6-3,,,,,,,,,,,,,,
2-Oct-2006,Barcelona 75K,3,Clay,R16,159,120,0,,9,Laura Pous Tio,Ivana Abramovic,6-3 6-4,,,,,,,,,,,,,,
2-Oct-2006,Barcelona 75K,3,Clay,R32,159,410,1,,LL,Ivana Abramovic,Lenka Wienerova,6-2 6-2,,,,,,,,,,,,,,
25-Sep-2006,Biella 50K,3,Clay,R16,161,135,0,,,Edina Gallovits Hall,Ivana Abramovic,6-2 7-5,,,,,,,,,,,,,,
25-Sep-2006,Biella 50K,3,Clay,R32,161,94,1,,4,Ivana Abramovic,Maret Ani,6-1 7-5,,,,,,,,,,,,,,
4-Sep-2006,Mestre 50K,3,Clay,R16,184,199,0,7,,Simona Iulia Matei,Ivana Abramovic,6-2 6-2,,,,,,,,,,,,,,
4-Sep-2006,Mestre 50K,3,Clay,R32,184,213,1,7,,Ivana Abramovic,Dominika Nociarova,6-0 6-1,,,,,,,,,,,,,,
28-Aug-2006,US Open Q,3,Hard,Q2,184,117,0,,11,Tatiana Poutchek,Ivana Abramovic,6-4 2-6 6-0,,,,,,,,,,,,,,
28-Aug-2006,US Open Q,3,Hard,Q1,184,242,1,,,Ivana Abramovic,Florence Haring,6-0 2-6 7-6(3),,,,,,,,,,,,,,
31-Jul-2006,Martina Franca 50K,3,Clay,R32,182,297,0,3,,Nika Ozegovic,Ivana Abramovic,5-7 7-5 6-2,,,,,,,,,,,,,,
17-Jul-2006,Palermo,3,Clay,R32,183,41,0,Q,4,Lucie Safarova,Ivana Abramovic,6-3 RET,,,,,,,,,,,,,,
17-Jul-2006,Palermo Q,3,Clay,Q3,183,218,1,5,,Ivana Abramovic,Zsofia Gubacsi,7-6(4) 6-4,,,,,,,,,,,,,,
17-Jul-2006,Palermo Q,3,Clay,Q2,183,286,1,5,,Ivana Abramovic,Karolina Kosinska,1-6 6-0 7-5,,,,,,,,,,,,,,
26-Jun-2006,Wimbledon,5,Grass,R128,192,1,0,Q,1,Amelie Mauresmo,Ivana Abramovic,6-0 6-0,,,,,,,,,,,,,,
26-Jun-2006,Wimbledon Q,3,Grass,Q3,192,161,1,WC,,Ivana Abramovic,Stephanie Cohen Aloro,6-2 2-6 7-5,,,,,,,,,,,,,,
26-Jun-2006,Wimbledon Q,3,Grass,Q2,192,165,1,WC,,Ivana Abramovic,Petra Cetkovska,6-3 3-6 6-2,,,,,,,,,,,,,,
26-Jun-2006,Wimbledon Q,3,Grass,Q1,192,148,1,WC,,Ivana Abramovic,Stephanie Dubois,6-3 6-3,,,,,,,,,,,,,,
12-Jun-2006,Zagreb 50K,3,Clay,R32,187,144,0,,7,Henrieta Nagyova,Ivana Abramovic,7-6(3) 6-3,,,,,,,,,,,,,,
29-May-2006,Galatina 25K,3,Clay,R16,195,454,0,6,WC,Silvia Disderi,Ivana Abramovic,6-3 7-6(7),,,,,,,,,,,,,,
29-May-2006,Galatina 25K,3,Clay,R32,195,403,1,6,WC,Ivana Abramovic,Verdiana Verardi,7-6(1) 6-2,,,,,,,,,,,,,,
29-May-2006,French Open Q,3,Clay,Q1,195,136,0,,18,Milagros Sequera,Ivana Abramovic,2-6 6-0 6-1,,,,,,,,,,,,,,
15-May-2006,Saint Gaudens 50K,3,Clay,F,194,269,0,,Q,Timea Bacsinszky,Ivana Abramovic,7-5 6-4,,,,,,,,,,,,,,
15-May-2006,Saint Gaudens 50K,3,Clay,SF,194,176,1,,,Ivana Abramovic,Mathilde Johansson,4-6 7-5 6-2,,,,,,,,,,,,,,
15-May-2006,Saint Gaudens 50K,3,Clay,QF,194,631,1,,Q,Ivana Abramovic,Olivia Sanchez,7-6(2) 7-5,,,,,,,,,,,,,,
15-May-2006,Saint Gaudens 50K,3,Clay,R16,194,186,1,,,Ivana Abramovic,Natalie Grandin,7-6(5) 6-1,,,,,,,,,,,,,,
15-May-2006,Saint Gaudens 50K,3,Clay,R32,194,650,1,,WC,Ivana Abramovic,Louise Doutrelant,6-2 6-4,,,,,,,,,,,,,,
8-May-2006,Jounieh 75K,3,Clay,R32,189,133,0,,WC,Aravane Rezai,Ivana Abramovic,6-3 7-6(2),,,,,,,,,,,,,,
1-May-2006,Catania 25K,3,Clay,SF,180,291,0,1,,Karin Knapp,Ivana Abramovic,3-6 6-2 7-5,,,,,,,,,,,,,,
1-May-2006,Catania 25K,3,Clay,QF,180,555,1,1,WC,Ivana Abramovic,Silvia Disderi,6-7(3) 6-1 6-4,,,,,,,,,,,,,,
1-May-2006,Catania 25K,3,Clay,R16,180,327,1,1,,Ivana Abramovic,Masa Zec Peskiric,6-3 6-4,,,,,,,,,,,,,,
1-May-2006,Catania 25K,3,Clay,R32,180,,1,1,WC,Ivana Abramovic,Sina Hartmann,6-0 6-0,,,,,,,,,,,,,,
17-Apr-2006,Bari 25K,3,Clay,R32,171,314,0,6,Q,Karin Knapp,Ivana Abramovic,6-3 4-6 6-2,,,,,,,,,,,,,,
10-Apr-2006,Civitavecchia 25K,3,Clay,R32,169,459,0,8,,Caroline Wozniacki,Ivana Abramovic,6-3 6-1,,,,,,,,,,,,,,
3-Apr-2006,Putignano 25K,3,Hard,R32,167,409,0,2,Q,Maria Abramovic,Ivana Abramovic,6-5 RET,,,,,,,,,,,,,,
20-Feb-2006,Bogota,3,Clay,R16,177,18,0,,1,Flavia Pennetta,Ivana Abramovic,6-0 7-5,,,,,,,,,,,,,,
20-Feb-2006,Bogota,3,Clay,R32,177,105,1,,,Ivana Abramovic,Conchita Martinez Granados,7-6(5) 7-5,,,,,,,,,,,,,,
13-Feb-2006,Bangalore Q,3,Hard,Q1,179,207,0,7,,Nika Ozegovic,Ivana Abramovic,6-1 7-5,,,,,,,,,,,,,,
6-Feb-2006,Pattaya Q,3,Hard,Q1,175,154,0,,,Ryoko Fuda,Ivana Abramovic,6-3 6-1,,,,,,,,,,,,,,
16-Jan-2006,Australian Open Q,3,Hard,Q3,201,116,0,,4,Tzipi Obziler,Ivana Abramovic,6-2 6-2,,,,,,,,,,,,,,
16-Jan-2006,Australian Open Q,3,Hard,Q2,201,196,1,,,Ivana Abramovic,Miho Saeki,3-6 6-4 6-1,,,,,,,,,,,,,,
16-Jan-2006,Australian Open Q,3,Hard,Q1,201,345,1,,WC,Ivana Abramovic,Monique Adamczak,6-1 7-6(14),,,,,,,,,,,,,,
