Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
1-Jan-2024,Auckland,3,Hard,Q1,961,196,0,WC,9,Carole Monnet,Jade Otway,6-3 6-3,0.80,0.0%,4.4%,72.1%,44.9%,42.1%,50.0% (6/12),44.4%,44.8%,0.0%,34.1%,70.6%,37.5% (3/8),1:33
18-Dec-2023,W25 Papamoa,3,Hard,QF,933,270,0,,2,Talia Gibson,Jade Otway,7-5 6-3,,,,,,,,,,,,,,
18-Dec-2023,W25 Papamoa,3,Hard,R16,933,983,1,,,Jade Otway,Nanari Katsumi,7-5 6-4,,,,,,,,,,,,,,
18-Dec-2023,W25 Papamoa,3,Hard,R32,933,574,1,,5,Jade Otway,Alana Parnaby,2-6 6-4 6-4,,,,,,,,,,,,,,
11-Dec-2023,W15 Wellington,3,Hard,R32,932,901,0,,8,Alicia Smith,Jade Otway,0-6 7-6(2) 6-4,,,,,,,,,,,,,,
13-Nov-2023,W25 Austin TX,3,Hard,R16,934,,1,13,,Jade Otway,Taylor Gruber,6-3 7-5,,,,,,,,,,,,,,
13-Nov-2023,W25 Austin TX,3,Hard,R32,934,320,0,Q,6,Hanna Chang,Jade Otway,6-0 6-2,,,,,,,,,,,,,,
13-Nov-2023,W25 Austin TX,3,Hard,R32,934,,1,13,,Jade Otway,Lauren Friedman,6-4 6-2,,,,,,,,,,,,,,
23-Oct-2023,W80 Tyler TX,3,Hard,Q2,968,534,0,,1,Maria Kozyreva,Jade Otway,6-1 6-1,,,,,,,,,,,,,,
23-Oct-2023,W80 Tyler TX,3,Hard,Q1,968,764,1,,12,Jade Otway,Chelsea Fontenel,6-2 6-3,,,,,,,,,,,,,,
12-Jun-2023,W15 San Diego CA,3,Hard,R32,960,,0,7,Q,Leyla Fiorella Britez Risso,Jade Otway,4-6 6-3 6-4,,,,,,,,,,,,,,
5-Jun-2023,W15 San Diego,3,Hard,R32,961,1133,0,,LL,Anita Sahdiieva,Jade Otway,6-4 6-2,,,,,,,,,,,,,,
29-May-2023,W15 Rancho Santa Fe CA,3,Hard,R16,961,,0,6,Q,Emily Gelber,Jade Otway,6-4 6-3,,,,,,,,,,,,,,
29-May-2023,W15 Rancho Santa Fe CA,3,Hard,R32,961,1190,1,6,,Jade Otway,Alina Shcherbinina,6-2 6-4,,,,,,,,,,,,,,
27-Feb-2023,W25 Spring TX,3,Hard,R16,1050,534,0,Q,7,Tiphanie Fiquet,Jade Otway,6-3 6-2,,,,,,,,,,,,,,
27-Feb-2023,W25 Spring TX,3,Hard,R32,1050,568,1,Q,,Jade Otway,Amy Zhu,4-1 RET,,,,,,,,,,,,,,
27-Feb-2023,W25 Spring TX,3,Hard,Q2,1050,,1,5,13,Jade Otway,Aspen Schuman,6-4 6-2,,,,,,,,,,,,,,
27-Feb-2023,W25 Spring TX,3,Hard,Q1,1050,,1,5,WC,Jade Otway,Marta Pacuraru,6-2 6-0,,,,,,,,,,,,,,
19-Dec-2022,W25 Tauranga,3,Hard,R16,,673,0,SE,4,Zuzana Zlochova,Jade Otway,5-7 6-3 4-0 RET,,,,,,,,,,,,,,
19-Dec-2022,W25 Tauranga,3,Hard,R32,,1086,1,SE,,Jade Otway,Ashmitha Easwaramurthi,6-1 6-1,,,,,,,,,,,,,,
12-Dec-2022,W15 Wellington,3,Hard,F,,957,0,,5,Vivian Yang,Jade Otway,6-3 6-3,,,,,,,,,,,,,,
12-Dec-2022,W15 Wellington,3,Hard,SF,,1196,1,,,Jade Otway,Mia Repac,6-3 6-1,,,,,,,,,,,,,,
12-Dec-2022,W15 Wellington,3,Hard,QF,,948,1,,4,Jade Otway,Alicia Smith,7-6(2) 6-2,,,,,,,,,,,,,,
12-Dec-2022,W15 Wellington,3,Hard,R16,,999,1,,6,Jade Otway,Yuka Hosoki,6-0 7-5,,,,,,,,,,,,,,
12-Dec-2022,W15 Wellington,3,Hard,R32,,,1,,Q,Jade Otway,Abigail Gunawan,6-0 6-0,,,,,,,,,,,,,,
14-Nov-2022,W15 Waco TX,3,Hard,Q1,,1229,0,,9,Alina Shcherbinina,Jade Otway,2-6 6-2 10-7,,,,,,,,,,,,,,
17-Oct-2022,W25 Fort Worth TX,3,Hard,Q2,,,0,,3,Carson Branstine,Jade Otway,6-3 6-4,,,,,,,,,,,,,,
17-Oct-2022,W25 Fort Worth TX,3,Hard,Q1,,1180,1,,14,Jade Otway,Ivana Corley,2-6 6-3 10-6,,,,,,,,,,,,,,
10-Feb-2020,W15 Hamilton,3,Hard,R32,,966,0,WC,8,Sabastiani Leon,Jade Otway,6-3 3-6 6-0,,,,,,,,,,,,,,
