Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
24-Oct-1936,Tokyo 2 Exho,3,,RR,,,1,,,Jane Sharp,Sanae Okada,UNK,,,,,,,,,,,,,,
24-Oct-1936,Tokyo 2 Exho,3,,RR,,,1,,,Jane Sharp,Sanae Okada,UNK,,,,,,,,,,,,,,
16-Oct-1936,Osaka Exho,3,,RR,,,0,,,Sanae Okada,Jane Sharp,UNK,,,,,,,,,,,,,,
16-Oct-1936,Osaka Exho,3,,RR,,,0,,,Sanae Okada,Jane Sharp,UNK,,,,,,,,,,,,,,
16-Oct-1936,Osaka Exho,3,,RR,,,0,,,Sanae Okada,Jane Sharp,UNK,,,,,,,,,,,,,,
9-Oct-1936,Tokyo Exho,3,,RR,,,1,,,Jane Sharp,Sanae Okada,?-? ?-? ?-?,,,,,,,,,,,,,,
9-Oct-1936,Tokyo Exho,3,,RR,,,1,,,Jane Sharp,Sanae Okada,UNK,,,,,,,,,,,,,,
17-Apr-1936,South Bend Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-3 6-2,,,,,,,,,,,,,,
15-Apr-1936,La Porte Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,UNK,,,,,,,,,,,,,,
13-Apr-1936,DeKalb Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-1 6-4,,,,,,,,,,,,,,
11-Apr-1936,Des Moines Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-3 6-2,,,,,,,,,,,,,,
9-Apr-1936,Moline Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,5-7 6-3 6-4,,,,,,,,,,,,,,
8-Apr-1936,Madison Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-4,,,,,,,,,,,,,,
7-Apr-1936,St. Paul Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-1 6-0,,,,,,,,,,,,,,
6-Apr-1936,La Crosse Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-2 6-3,,,,,,,,,,,,,,
5-Apr-1936,Sioux Falls Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-2 6-2,,,,,,,,,,,,,,
4-Apr-1936,Sioux City Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-1 4-6 ABD,,,,,,,,,,,,,,
2-Apr-1936,Lincoln Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-2 7-5,,,,,,,,,,,,,,
30-Mar-1936,Kansas City Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,7-5 6-3,,,,,,,,,,,,,,
28-Mar-1936,Norman Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-1 6-1,,,,,,,,,,,,,,
27-Mar-1936,Wichita Falls Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-2 6-2,,,,,,,,,,,,,,
25-Mar-1936,El Paso Pro,3,,RR,,,1,,,Jane Sharp,Ethel Burkhardt,6-3 2-6 6-3,,,,,,,,,,,,,,
24-Mar-1936,Tucson Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-1 4-6 6-1,,,,,,,,,,,,,,
23-Mar-1936,Phoenix Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-3 7-5,,,,,,,,,,,,,,
22-Mar-1936,Long Beach Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-1 6-2,,,,,,,,,,,,,,
18-Mar-1936,Los Angeles Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-1 6-4,,,,,,,,,,,,,,
16-Mar-1936,Del Monte Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-3 6-3,,,,,,,,,,,,,,
15-Mar-1936,Oakland Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-2 6-3,,,,,,,,,,,,,,
14-Mar-1936,Sacramento Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,2-6 6-2 6-3,,,,,,,,,,,,,,
13-Mar-1936,Stockton Pro,3,,RR,,,1,,,Jane Sharp,Ethel Burkhardt,6-3 3-6 6-3,,,,,,,,,,,,,,
12-Mar-1936,San Francisco Pro,3,,RR,,,1,,,Jane Sharp,Ethel Burkhardt,6-4 6-3,,,,,,,,,,,,,,
11-Mar-1936,Fresno Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-2 6-4,,,,,,,,,,,,,,
9-Mar-1936,San Bernardino Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,11-9 6-3,,,,,,,,,,,,,,
7-Mar-1936,Coronado Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-0 6-3,,,,,,,,,,,,,,
5-Mar-1936,Pasadena Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-1 6-4,,,,,,,,,,,,,,
2-Mar-1936,El Paso Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-2 6-2,,,,,,,,,,,,,,
29-Feb-1936,Dallas Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-1 6-2,,,,,,,,,,,,,,
27-Feb-1936,New Orleans Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-1 6-2,,,,,,,,,,,,,,
26-Feb-1936,Houston Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-2 6-2,,,,,,,,,,,,,,
23-Feb-1936,Pensacola Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-3 6-4,,,,,,,,,,,,,,
20-Feb-1936,Memphis Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,UNK,,,,,,,,,,,,,,
17-Feb-1936,Cincinnati Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-8 8-6 6-4,,,,,,,,,,,,,,
16-Feb-1936,Columbus Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,7-5 5-7 6-2,,,,,,,,,,,,,,
15-Feb-1936,Mansfield Pro,3,,RR,,,1,,,Jane Sharp,Ethel Burkhardt,UNK,,,,,,,,,,,,,,
13-Feb-1936,Sandusky Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-3 6-4,,,,,,,,,,,,,,
11-Feb-1936,Detroit Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-1 6-1,,,,,,,,,,,,,,
10-Feb-1936,Lansing Pro,3,,RR,,,1,,,Jane Sharp,Ethel Burkhardt,10-8 6-4,,,,,,,,,,,,,,
8-Feb-1936,Cleveland Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-4 6-2,,,,,,,,,,,,,,
7-Feb-1936,Youngstown Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-0 6-4,,,,,,,,,,,,,,
5-Feb-1936,Hamilton Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-4 8-6,,,,,,,,,,,,,,
3-Feb-1936,Rochester Pro,3,,RR,,,1,,,Jane Sharp,Ethel Burkhardt,6-2 3-6 7-5,,,,,,,,,,,,,,
1-Feb-1936,Buffalo Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-3 6-1,,,,,,,,,,,,,,
30-Jan-1936,Baltimore Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,7-5 8-6,,,,,,,,,,,,,,
27-Jan-1936,Albany Pro,3,,RR,,,1,,,Jane Sharp,Ethel Burkhardt,2-6 6-4 6-3,,,,,,,,,,,,,,
24-Jan-1936,Washington Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-3 6-2,,,,,,,,,,,,,,
21-Jan-1936,Philadelphia Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-1 6-4,,,,,,,,,,,,,,
20-Jan-1936,Boston Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-3 6-1,,,,,,,,,,,,,,
17-Jan-1936,Pittsburgh Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-4 6-3,,,,,,,,,,,,,,
15-Jan-1936,Chicago Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-2 6-4,,,,,,,,,,,,,,
11-Jan-1936,New York Pro,3,,RR,,,0,,,Ethel Burkhardt,Jane Sharp,6-4 6-4,,,,,,,,,,,,,,
13-Sep-1935,Los Angeles Pac Southwest,3,Hard,R16,,,0,,,Gracyn Wheeler Kelleher,Jane Sharp,6-4 6-3,,,,,,,,,,,,,,
13-Sep-1935,Los Angeles Pac Southwest,3,Hard,R32,,,1,,,Jane Sharp,Peggy Kerr,6-3 4-6 6-1,,,,,,,,,,,,,,
13-Sep-1935,Los Angeles Pac Southwest,3,Hard,R64,,,1,,,Jane Sharp,Florence Renshaw,6-1 6-1,,,,,,,,,,,,,,
19-Aug-1935,US National Championships,3,Grass,R32,,,0,,5,Gracyn Wheeler Kelleher,Jane Sharp,6-4 6-1,,,,,,,,,,,,,,
19-Aug-1935,US National Championships,3,Grass,R64,,,1,,,Jane Sharp,Penelope Anderson,6-4 6-4,,,,,,,,,,,,,,
5-Aug-1935,Rye,3,Grass,R16,,,0,,,Agnes Lamme,Jane Sharp,6-0 0-6 6-3,,,,,,,,,,,,,,
