Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
22-May-1972,Roland Garros,5,Clay,Q2,,,0,,,Michele Gurdal,Janine Mauroy Toffier,6-3 6-3,,,,,,,,,,,,,,
30-Sep-1968,French Nationals,3,,R16,,,0,,,Rosy Darmon,Janine Mauroy Toffier,6-2 4-6 6-4,,,,,,,,,,,,,,
27-May-1968,Roland Garros,5,Clay,R32,,,0,,4,Rosie Casals,Janine Mauroy Toffier,W/O,,,,,,,,,,,,,,
27-May-1968,Roland Garros,5,Clay,R64,,,1,,,Janine Mauroy Toffier,Maria Chakarova,W/O,,,,,,,,,,,,,,
27-May-1968,Roland Garros,5,Clay,R128,,,1,,,Janine Mauroy Toffier,Alenka Pipan,W/O,,,,,,,,,,,,,,
22-Apr-1968,Paris International,3,Clay,QF,,,0,,,Gail Benedetti,Janine Mauroy Toffier,6-2 6-1,,,,,,,,,,,,,,
22-Apr-1968,Paris International,3,Clay,R16,,,1,,,Janine Mauroy Toffier,Francoise Forgerit,6-1 6-4,,,,,,,,,,,,,,
13-Sep-1965,Versailles,3,Clay,SF,,,0,,,Michelle Rodriguez,Janine Mauroy Toffier,6-3 6-0,,,,,,,,,,,,,,
21-Sep-1964,Paris Coupe Poree,3,Clay,R16,,,0,,,Daniele Bouteleux,Janine Mauroy Toffier,6-2 6-1,,,,,,,,,,,,,,
16-Jul-1964,Le Touquet,3,Clay,F,,,0,,,Donna Floyd,Janine Mauroy Toffier,6-3 6-2,,,,,,,,,,,,,,
25-Dec-1961,Paris Bivort,3,Carpet,QF,,,0,,,Monique Di Maso,Janine Mauroy Toffier,6-4 6-3,,,,,,,,,,,,,,
22-Dec-1960,Paris Bivort,3,Carpet,QF,,,0,,,Francoise Courteix,Janine Mauroy Toffier,6-3 6-4,,,,,,,,,,,,,,
