Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
1-Jul-1963,Wimbledon Plate,3,Grass,R32,,,0,,,Charleen Rigby,Jeanne Barnes,UNK,,,,,,,,,,,,,,
26-Jun-1963,Wimbledon,5,Grass,R64,,,0,Q,,Robyn Ebbern,Jeanne Barnes,6-0 6-2,,,,,,,,,,,,,,
26-Jun-1963,Wimbledon,5,Grass,R128,,,1,Q,,Jeanne Barnes,Klara Bardoczy,6-1 6-4,,,,,,,,,,,,,,
27-May-1963,Surbiton,3,Grass,R16,,,0,,,Pat Hird,Jeanne Barnes,6-4 6-2,,,,,,,,,,,,,,
13-May-1963,Guildford,3,Clay,R16,,,0,,,Shirley Bloomer,Jeanne Barnes,6-2 7-9 6-1,,,,,,,,,,,,,,
13-May-1963,Guildford,3,Clay,R32,,,1,,,Jeanne Barnes,Sandra Okin,6-2 7-5,,,,,,,,,,,,,,
29-Apr-1963,Hurlingham,3,Clay,R32,,,0,,,Pat Stewart,Jeanne Barnes,6-4 2-6 6-4,,,,,,,,,,,,,,
29-Apr-1963,Hurlingham,3,Clay,R64,,,1,,,Jeanne Barnes,Shirley Hannah,6-2 6-2,,,,,,,,,,,,,,
22-Apr-1963,Bournemouth,3,Clay,R64,,,0,,,Vera Roberts,Jeanne Barnes,6-3 6-1,,,,,,,,,,,,,,
15-Apr-1963,Sutton,3,Clay,R64,,,1,,,Jeanne Barnes,Vicky Coombs,6-3 6-0,,,,,,,,,,,,,,
8-Apr-1963,Hampstead,3,Clay,R32,,,0,,,Joyce Williams,Jeanne Barnes,6-3 6-1,,,,,,,,,,,,,,
8-Apr-1963,Hampstead,3,Clay,R64,,,1,,,Jeanne Barnes,Barbara Horton,7-5 6-4,,,,,,,,,,,,,,
6-Aug-1962,Adelboden,3,Clay,SF,,,0,,,Gerda Hauslein,Jeanne Barnes,6-2 6-3,,,,,,,,,,,,,,
