Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
28-Oct-2002,Stockholm 10K,3,Hard,R32,815,653,0,WC,,Ivana Visic,Jennie Loow,7-6(7) 6-4,,,,,,,,,,,,,,
26-Aug-2002,Alphen A D Rijn 10K,3,Clay,R32,850,,0,Q,Q,Celine Francois,Jennie Loow,7-5 2-6 6-4,,,,,,,,,,,,,,
19-Aug-2002,Enschede 10K,3,Clay,R32,,340,0,LL,1,Camilla Kremer,Jennie Loow,6-3 4-6 6-3,,,,,,,,,,,,,,
5-Aug-2002,Vigo 10K,3,Hard,R32,,,0,,WC,Marina Chaves Moledo,Jennie Loow,6-7(3) 6-1 7-5,,,,,,,,,,,,,,
20-May-2002,Olecko 10K,3,Clay,R32,,,0,LL,Q,Ekaterina Dzehalevich,Jennie Loow,6-3 7-5,,,,,,,,,,,,,,
6-May-2002,Tortosa 10K,3,Clay,R32,,496,0,Q,8,Mariona Gallifa Puig Desens,Jennie Loow,7-5 6-4,,,,,,,,,,,,,,
21-Jan-2002,Bastad 10K,3,Hard,R32,,513,0,WC,7,Karina Ildor Jacobsgaard,Jennie Loow,7-6(6) 6-4,,,,,,,,,,,,,,
29-Oct-2001,Stockholm 10K,3,Hard,R16,,,0,Q,WC,Hanna Nooni,Jennie Loow,6-1 6-1,,,,,,,,,,,,,,
29-Oct-2001,Stockholm 10K,3,Hard,R32,,,1,Q,8,Jennie Loow,Monica Mastan,6-2 7-5,,,,,,,,,,,,,,
22-Jan-2001,Bastad 10K,3,Hard,R32,,442,0,Q,6,Petra Puheloinen,Jennie Loow,5-7 6-1 6-0,,,,,,,,,,,,,,
