Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
21-May-2007,Cordoba 10K,3,Clay,R32,583,991,0,,Q,Luciana Sarmenti,Jessica Orselli,6-4 6-2,,,,,,,,,,,,,,
14-May-2007,Cordoba 10K,3,Clay,R16,590,945,0,6,Q,Luciana Sarmenti,Jessica Orselli,2-6 6-1 6-2,,,,,,,,,,,,,,
14-May-2007,Cordoba 10K,3,Clay,R32,590,,1,6,WC,Jessica Orselli,Maria Tania Abraham,6-3 6-2,,,,,,,,,,,,,,
7-May-2007,Cordoba 10K,3,Clay,R16,587,861,0,6,,Emilia Yorio,Jessica Orselli,6-3 6-1,,,,,,,,,,,,,,
7-May-2007,Cordoba 10K,3,Clay,R32,587,784,1,6,,Jessica Orselli,Yasmin Enrich,4-6 6-1 7-6(5),,,,,,,,,,,,,,
30-Apr-2007,Buenos Aires 10K,3,Clay,R32,583,1257,0,7,Q,Lucia Jara Lozano,Jessica Orselli,1-6 7-5 6-0,,,,,,,,,,,,,,
20-Nov-2006,Cordoba 10K,3,Clay,QF,573,521,0,5,3,Florencia Molinero,Jessica Orselli,6-2 6-4,,,,,,,,,,,,,,
20-Nov-2006,Cordoba 10K,3,Clay,R16,573,,1,5,Q,Jessica Orselli,Yasmin Enrich,6-2 6-4,,,,,,,,,,,,,,
20-Nov-2006,Cordoba 10K,3,Clay,R32,573,1448,1,5,Q,Jessica Orselli,Micaela Acosta,6-1 6-1,,,,,,,,,,,,,,
13-Nov-2006,Florianopolis 10K,3,Clay,SF,574,291,0,3,1,Estefania Craciun,Jessica Orselli,6-4 6-1,,,,,,,,,,,,,,
13-Nov-2006,Florianopolis 10K,3,Clay,QF,574,,1,3,,Jessica Orselli,Flavia Borges,2-6 6-2 7-6(1),,,,,,,,,,,,,,
13-Nov-2006,Florianopolis 10K,3,Clay,R16,574,1321,1,3,Q,Jessica Orselli,Guillermina Zukerman,6-3 6-0,,,,,,,,,,,,,,
13-Nov-2006,Florianopolis 10K,3,Clay,R32,574,,1,3,WC,Jessica Orselli,Gabriela Vieira,6-3 7-6(0),,,,,,,,,,,,,,
6-Nov-2006,Itajai 10K,3,Clay,R32,587,1027,0,,WC,Flavia Borges,Jessica Orselli,6-2 3-6 6-0,,,,,,,,,,,,,,
30-Oct-2006,Santa Cruz 25K,3,Clay,R32,597,118,0,,1,Hana Sromova,Jessica Orselli,6-3 6-4,,,,,,,,,,,,,,
23-Oct-2006,Luque 10K,3,Clay,R16,617,,0,,Q,Natalia Guitler,Jessica Orselli,5-7 6-1 6-1,,,,,,,,,,,,,,
23-Oct-2006,Luque 10K,3,Clay,R32,617,,1,,Q,Jessica Orselli,Isaura Enrique Aguilar,6-1 6-4,,,,,,,,,,,,,,
16-Oct-2006,Santiago 10K,3,Clay,SF,595,,0,,Q,Mailen Auroux,Jessica Orselli,4-6 6-2 6-1,,,,,,,,,,,,,,
16-Oct-2006,Santiago 10K,3,Clay,QF,595,,1,,Q,Jessica Orselli,Jessica Lehnhoff,5-3 RET,,,,,,,,,,,,,,
16-Oct-2006,Santiago 10K,3,Clay,R16,595,961,1,,,Jessica Orselli,Maria Eugenia Roca Recarey,6-0 6-2,,,,,,,,,,,,,,
16-Oct-2006,Santiago 10K,3,Clay,R32,595,,1,,Q,Jessica Orselli,Natalia Guitler,6-3 6-2,,,,,,,,,,,,,,
9-Oct-2006,Cordoba 10K,3,Clay,R32,575,,0,3,Q,Maria Sol Rotondo,Jessica Orselli,3-6 6-1 6-4,,,,,,,,,,,,,,
2-Oct-2006,Tucuman 10K,3,Clay,QF,577,961,0,2,,Teliana Pereira,Jessica Orselli,6-1 6-0,,,,,,,,,,,,,,
2-Oct-2006,Tucuman 10K,3,Clay,R16,577,794,1,2,,Jessica Orselli,Karen Castiblanco,4-6 6-4 6-3,,,,,,,,,,,,,,
2-Oct-2006,Tucuman 10K,3,Clay,R32,577,962,1,2,,Jessica Orselli,Salome Llaguno,6-2 3-6 6-2,,,,,,,,,,,,,,
4-Sep-2006,Caracas 10K,3,Hard,R32,606,1148,0,5,,Yanet Nunez Mojarena,Jessica Orselli,3-6 7-6(3) 6-4,,,,,,,,,,,,,,
28-Aug-2006,Bogota 10K,3,Clay,F,606,461,1,6,3,Jessica Orselli,Mariana Duque Marino,7-5 6-3,,,,,,,,,,,,,,
28-Aug-2006,Bogota 10K,3,Clay,SF,606,743,1,6,,Jessica Orselli,Viky Nunez Fuentes,6-4 6-7(4) 6-2,,,,,,,,,,,,,,
28-Aug-2006,Bogota 10K,3,Clay,QF,606,484,1,6,4,Jessica Orselli,Andrea Koch Benvenuto,6-1 6-3,,,,,,,,,,,,,,
28-Aug-2006,Bogota 10K,3,Clay,R16,606,,1,6,Q,Jessica Orselli,Ana Clara Duarte,6-2 5-7 6-0,,,,,,,,,,,,,,
28-Aug-2006,Bogota 10K,3,Clay,R32,606,,1,6,WC,Jessica Orselli,Karen Johanna Ramirez Rivera,6-3 6-0,,,,,,,,,,,,,,
21-Aug-2006,Bogota 10K,3,Clay,SF,604,743,0,6,8,Viky Nunez Fuentes,Jessica Orselli,7-5 6-3,,,,,,,,,,,,,,
21-Aug-2006,Bogota 10K,3,Clay,QF,604,461,1,6,2,Jessica Orselli,Maria Irigoyen,6-3 6-3,,,,,,,,,,,,,,
21-Aug-2006,Bogota 10K,3,Clay,R16,604,698,1,6,,Jessica Orselli,Roxane Vaisemberg,6-1 6-4,,,,,,,,,,,,,,
21-Aug-2006,Bogota 10K,3,Clay,R32,604,948,1,6,,Jessica Orselli,Luciana Sarmenti,7-5 6-1,,,,,,,,,,,,,,
14-Aug-2006,Guayaquil 10K,3,Hard,R32,682,969,0,6,,Fabiana Mak,Jessica Orselli,6-3 4-6 6-1,,,,,,,,,,,,,,
7-Aug-2006,Quito 10K,3,Clay,F,673,722,0,4,5,Roxane Vaisemberg,Jessica Orselli,7-6(9) 6-2,,,,,,,,,,,,,,
7-Aug-2006,Quito 10K,3,Clay,SF,673,398,1,4,1,Jessica Orselli,Flavia Mignola,7-5 5-7 6-4,,,,,,,,,,,,,,
7-Aug-2006,Quito 10K,3,Clay,QF,673,844,1,4,8,Jessica Orselli,Karen Castiblanco,6-2 6-4,,,,,,,,,,,,,,
7-Aug-2006,Quito 10K,3,Clay,R16,673,,1,4,WC,Jessica Orselli,Tania Varela Alvarado,6-1 7-6(6),,,,,,,,,,,,,,
7-Aug-2006,Quito 10K,3,Clay,R32,673,,1,4,Q,Jessica Orselli,Maria Alexandra Maldonado,6-0 6-0,,,,,,,,,,,,,,
26-Jun-2006,Cordoba 10K,3,Clay,QF,695,496,0,7,3,Andrea Koch Benvenuto,Jessica Orselli,6-7(2) 6-3 7-5,,,,,,,,,,,,,,
26-Jun-2006,Cordoba 10K,3,Clay,R16,695,,1,7,,Jessica Orselli,Mailen Auroux,6-1 6-4,,,,,,,,,,,,,,
26-Jun-2006,Cordoba 10K,3,Clay,R32,695,,1,7,WC,Jessica Orselli,Guadalupe Moreno,6-1 4-6 6-1,,,,,,,,,,,,,,
27-Mar-2006,RomeTiro a Volo 10K,3,Clay,R32,726,472,0,Q,,Stefanie Haidner,Jessica Orselli,4-6 6-2 6-4,,,,,,,,,,,,,,
20-Mar-2006,RomeParioli 10K,3,Clay,R32,726,589,0,Q,,Anamaria Alexandra Sere,Jessica Orselli,4-6 6-1 6-4,,,,,,,,,,,,,,
5-Dec-2005,Raanana 10K,3,Hard,R32,765,1122,0,,WC,Keren Shlomo,Jessica Orselli,7-5 6-3,,,,,,,,,,,,,,
28-Nov-2005,Ramat Hasharon 2 10K,3,Hard,R32,826,531,0,SE,5,Antonia Xenia Tout,Jessica Orselli,6-2 0-6 6-3,,,,,,,,,,,,,,
21-Nov-2005,Ashkelon 10K,3,Hard,SF,823,991,0,,Q,Sharon Fichman,Jessica Orselli,6-2 7-5,,,,,,,,,,,,,,
21-Nov-2005,Ashkelon 10K,3,Hard,QF,823,580,1,,5,Jessica Orselli,Liana Gabriela Ungur,3-6 6-2 6-3,,,,,,,,,,,,,,
21-Nov-2005,Ashkelon 10K,3,Hard,R16,823,501,1,,1,Jessica Orselli,Diana Vranceanu,6-3 6-3,,,,,,,,,,,,,,
21-Nov-2005,Ashkelon 10K,3,Hard,R32,823,1012,1,,,Jessica Orselli,Danielle Harmsen,5-7 6-3 6-0,,,,,,,,,,,,,,
17-Oct-2005,Asuncion 10K,3,Clay,R32,892,996,0,Q,,Bibiane Schoofs,Jessica Orselli,6-4 3-6 6-1,,,,,,,,,,,,,,
10-Oct-2005,Tucuman 10K,3,Clay,QF,1023,549,0,SE,3,Estefania Craciun,Jessica Orselli,6-3 4-3 RET,,,,,,,,,,,,,,
10-Oct-2005,Tucuman 10K,3,Clay,R16,1023,764,1,SE,6,Jessica Orselli,Sheila Guerberg,6-3 6-4,,,,,,,,,,,,,,
10-Oct-2005,Tucuman 10K,3,Clay,R32,1023,1079,1,SE,,Jessica Orselli,Vanesa Furlanetto,6-0 6-2,,,,,,,,,,,,,,
3-Oct-2005,Cordoba 10K,3,Clay,SF,1018,548,0,Q,2,Estefania Craciun,Jessica Orselli,1-6 6-4 6-2,,,,,,,,,,,,,,
3-Oct-2005,Cordoba 10K,3,Clay,QF,1018,786,1,Q,6,Jessica Orselli,Fernanda Hermenegildo,6-3 7-5,,,,,,,,,,,,,,
3-Oct-2005,Cordoba 10K,3,Clay,R16,1018,669,1,Q,4,Jessica Orselli,Patricia Holzman,6-4 6-2,,,,,,,,,,,,,,
3-Oct-2005,Cordoba 10K,3,Clay,R32,1018,,1,Q,WC,Jessica Orselli,Emilia Yorio,7-5 6-4,,,,,,,,,,,,,,
19-Sep-2005,Buenos Aires 10K,3,Clay,SF,,600,0,Q,8,Estefania Craciun,Jessica Orselli,6-3 6-4,,,,,,,,,,,,,,
19-Sep-2005,Buenos Aires 10K,3,Clay,QF,,542,1,Q,5,Jessica Orselli,Micaela Moran,6-3 1-6 7-6(6),,,,,,,,,,,,,,
19-Sep-2005,Buenos Aires 10K,3,Clay,R16,,1079,1,Q,,Jessica Orselli,Sarah Tami Masi,6-4 2-6 6-4,,,,,,,,,,,,,,
19-Sep-2005,Buenos Aires 10K,3,Clay,R32,,1037,1,Q,,Jessica Orselli,Melisa Miranda Otarola,6-1 6-1,,,,,,,,,,,,,,
5-Sep-2005,Santiago 10K,3,Clay,R16,,1305,0,Q,Q,Maria Sol Rotondo,Jessica Orselli,6-2 7-6(3),,,,,,,,,,,,,,
5-Sep-2005,Santiago 10K,3,Clay,R32,,736,1,Q,,Jessica Orselli,Chrissie Seredni,6-1 7-6(4),,,,,,,,,,,,,,
29-Aug-2005,Santa Cruz De La Sierra 10K,3,Clay,R16,,1223,0,Q,Q,Maria Irigoyen,Jessica Orselli,7-5 6-0,,,,,,,,,,,,,,
29-Aug-2005,Santa Cruz De La Sierra 10K,3,Clay,R32,,553,1,Q,7,Jessica Orselli,Andrea Koch Benvenuto,6-3 6-0,,,,,,,,,,,,,,
