Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
11-Apr-2011,Incheon 25K,3,Hard,R32,,782,0,WC,LL,Yumi Miyazaki,Joohyoung Kim,6-4 6-1,,,,,,,,,,,,,,
17-May-2010,Sunchang 10K,3,Hard,R32,,,0,Q,Q,Hye Mi Byun,Joohyoung Kim,7-6(4) 6-1,,,,,,,,,,,,,,
3-Aug-2009,Solo 10K,3,Hard,R32,811,,0,,Q,Natchanok Saenyaukhot,Joohyoung Kim,6-0 6-1,,,,,,,,,,,,,,
27-Jul-2009,Jakarta 10K,3,Hard,R32,815,1049,0,,,Ting Fei Juan,Joohyoung Kim,6-3 4-6 7-5,,,,,,,,,,,,,,
6-Jul-2009,Sunchang 10K,3,Hard,R32,831,671,0,,6,Ji Young Kim,Joohyoung Kim,6-1 6-1,,,,,,,,,,,,,,
29-Jun-2009,Gimcheon 10K,3,Hard,R32,922,1012,0,,,Mi Rae Ham,Joohyoung Kim,6-1 1-0 RET,,,,,,,,,,,,,,
22-Jun-2009,Gimcheon 10K,3,Hard,SF,922,381,0,,1,Kyung Mi Chang,Joohyoung Kim,6-3 6-4,,,,,,,,,,,,,,
22-Jun-2009,Gimcheon 10K,3,Hard,QF,922,909,1,,,Joohyoung Kim,Jung Yoon Shin,1-6 7-6(0) 6-3,,,,,,,,,,,,,,
22-Jun-2009,Gimcheon 10K,3,Hard,R16,922,773,1,,,Joohyoung Kim,Min Hwa Yu,6-4 3-6 6-3,,,,,,,,,,,,,,
22-Jun-2009,Gimcheon 10K,3,Hard,R32,922,515,1,,3,Joohyoung Kim,Mari Tanaka,6-1 6-2,,,,,,,,,,,,,,
22-Sep-2008,Seoul Q,3,Hard,Q1,809,154,0,WC,6,Rika Fujiwara,Joohyoung Kim,6-0 6-0,,,,,,,,,,,,,,
8-Sep-2008,Go Yang 10K,3,Hard,QF,992,565,0,,4,Sun Jung Kim,Joohyoung Kim,6-4 6-1,,,,,,,,,,,,,,
8-Sep-2008,Go Yang 10K,3,Hard,R16,992,749,1,,6,Joohyoung Kim,Etsuko Kitazaki,6-3 6-3,,,,,,,,,,,,,,
8-Sep-2008,Go Yang 10K,3,Hard,R32,992,940,1,,,Joohyoung Kim,Seo Kyung Kang,3-6 6-4 6-4,,,,,,,,,,,,,,
1-Sep-2008,Go Yang 10K,3,Hard,F,984,490,0,,4,Ayaka Maekawa,Joohyoung Kim,6-4 6-3,,,,,,,,,,,,,,
1-Sep-2008,Go Yang 10K,3,Hard,SF,984,605,1,,5,Joohyoung Kim,Sun Jung Kim,3-6 6-4 6-4,,,,,,,,,,,,,,
1-Sep-2008,Go Yang 10K,3,Hard,QF,984,,1,,Q,Joohyoung Kim,Na Lae Han,W/O,,,,,,,,,,,,,,
1-Sep-2008,Go Yang 10K,3,Hard,R16,984,,1,,Q,Joohyoung Kim,Xin Wen,6-2 6-1,,,,,,,,,,,,,,
1-Sep-2008,Go Yang 10K,3,Hard,R32,984,921,1,,,Joohyoung Kim,Yoon Young Jeong,6-3 6-4,,,,,,,,,,,,,,
25-Aug-2008,Gimhae 10K,3,Hard,R32,984,,0,,Q,Chang Liu,Joohyoung Kim,6-4 6-0,,,,,,,,,,,,,,
18-Aug-2008,Gimhae 10K,3,Hard,R32,987,485,0,,4,Ayaka Maekawa,Joohyoung Kim,6-2 6-2,,,,,,,,,,,,,,
26-May-2008,Bangkok 10K,3,Hard,SF,941,613,0,Q,8,Sun Jung Kim,Joohyoung Kim,1-6 6-4 6-3,,,,,,,,,,,,,,
26-May-2008,Bangkok 10K,3,Hard,QF,941,1061,1,Q,WC,Joohyoung Kim,Kanyapat Narattana,7-6(2) 6-4,,,,,,,,,,,,,,
26-May-2008,Bangkok 10K,3,Hard,R16,941,575,1,Q,2,Joohyoung Kim,Sanaa Bhambri,6-2 6-1,,,,,,,,,,,,,,
26-May-2008,Bangkok 10K,3,Hard,R32,941,948,1,Q,,Joohyoung Kim,Kumari Sweta Solanki,6-1 6-2,,,,,,,,,,,,,,
12-May-2008,Bangkok 10K,3,Hard,R32,944,,0,,WC,Nicha Lertpitaksinchai,Joohyoung Kim,7-5 6-2,,,,,,,,,,,,,,
12-Nov-2007,Manila 10K,3,Clay,R32,881,992,0,,Q,Jung Eun Kim,Joohyoung Kim,6-3 6-3,,,,,,,,,,,,,,
29-Oct-2007,Kofu 10K,3,Hard,R16,919,869,0,Q,,Kyung Yee Chae,Joohyoung Kim,6-0 6-4,,,,,,,,,,,,,,
29-Oct-2007,Kofu 10K,3,Hard,R32,919,772,1,Q,,Joohyoung Kim,Kasumi Aiko,6-4 6-2,,,,,,,,,,,,,,
15-Oct-2007,Makinohara 25K,3,Carpet,R32,961,202,0,Q,2,Elena Baltacha,Joohyoung Kim,6-2 6-1,,,,,,,,,,,,,,
9-Jul-2007,Khonkan 10K,3,Hard,R32,915,503,0,Q,4,Ankita Bhambri,Joohyoung Kim,6-2 4-6 6-1,,,,,,,,,,,,,,
28-May-2007,Gimhae 10K,3,Clay,R16,,435,0,WC,1,Jin A Lee,Joohyoung Kim,6-2 7-5,,,,,,,,,,,,,,
28-May-2007,Gimhae 10K,3,Clay,R32,,,1,WC,Q,Joohyoung Kim,Mi Ran Shin,6-2 7-6(5),,,,,,,,,,,,,,
21-May-2007,Gimhae 10K,3,Clay,SF,,908,0,LL,WC,Cho Won Lee,Joohyoung Kim,6-1 6-4,,,,,,,,,,,,,,
21-May-2007,Gimhae 10K,3,Clay,QF,,619,1,LL,6,Joohyoung Kim,Sung Hee Han,2-6 7-5 6-1,,,,,,,,,,,,,,
21-May-2007,Gimhae 10K,3,Clay,R16,,,1,LL,Q,Joohyoung Kim,Lizaan Du Plessis,6-3 6-3,,,,,,,,,,,,,,
21-May-2007,Gimhae 10K,3,Clay,R32,,,1,LL,WC,Joohyoung Kim,Ji Ae Kim,6-4 5-7 6-0,,,,,,,,,,,,,,
13-Nov-2006,Manila 10K,3,Hard,R16,1293,694,0,Q,5,Shao Yuan Kao,Joohyoung Kim,6-7(2) 6-2 6-3,,,,,,,,,,,,,,
13-Nov-2006,Manila 10K,3,Hard,R32,1293,,1,Q,LL,Joohyoung Kim,Chiao Fang Lo,6-1 6-0,,,,,,,,,,,,,,
6-Nov-2006,Manila 10K,3,Hard,R32,1294,677,0,,6,Elizabeth Kaufman,Joohyoung Kim,4-6 6-3 6-3,,,,,,,,,,,,,,
25-Sep-2006,Seoul Q,3,Hard,Q2,1341,257,0,WC,5,Natalie Grandin,Joohyoung Kim,6-0 6-1,,,,,,,,,,,,,,
25-Sep-2006,Seoul Q,3,Hard,Q1,1341,,1,WC,WC,Joohyoung Kim,Ji Young Lee,6-1 7-6(4),,,,,,,,,,,,,,
22-May-2006,Seogwipo 10K,3,Hard,R32,1236,702,0,LL,6,Yoo Mi Jung,Joohyoung Kim,6-4 6-3,,,,,,,,,,,,,,
6-Feb-2006,Wellington 10K,3,Hard,R32,1315,415,0,Q,3,Emily Hewson,Joohyoung Kim,6-0 6-2,,,,,,,,,,,,,,
26-Sep-2005,Balikpapan 10K,3,Hard,R32,,812,0,,5,Pichittra Thongdach,Joohyoung Kim,6-2 6-1,,,,,,,,,,,,,,
19-Sep-2005,Jakarta 2 10K,3,Hard,R32,,868,0,Q,5,Julia Dziedzic,Joohyoung Kim,6-1 4-6 6-4,,,,,,,,,,,,,,
