Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
2-Jul-1962,Cincinnati,3,Clay,R32,,,0,,,Stephanie Defina,Joyce Pniewski,6-1 6-1,,,,,,,,,,,,,,
10-Jul-1961,Milwaukee,3,Clay,R16,,,0,,,Mary Habicht,Joyce Pniewski,6-1 6-1,,,,,,,,,,,,,,
3-Jul-1961,Cincinnati,3,Clay,QF,,,0,,,Virginia Brown,Joyce Pniewski,6-3 6-2,,,,,,,,,,,,,,
3-Jul-1961,Cincinnati,3,Clay,R16,,,1,,,Joyce Pniewski,Lynn Haines,6-3 5-7 6-2,,,,,,,,,,,,,,
15-Aug-1960,Louisville National Parks,3,,QF,,,0,,,Jean Gelner,Joyce Pniewski,6-1 6-2,,,,,,,,,,,,,,
15-Aug-1960,Louisville National Parks,3,,R16,,,1,,,Joyce Pniewski,Louise Owen,5-7 6-4 6-4,,,,,,,,,,,,,,
6-Sep-1959,US National Championships,3,Grass,R32,,,0,,,Nancy Richey,Joyce Pniewski,7-5 6-3,,,,,,,,,,,,,,
6-Sep-1959,US National Championships,3,Grass,R64,,,1,,,Joyce Pniewski,Doris Delord,7-5 6-2,,,,,,,,,,,,,,
17-Aug-1959,Pittsburgh,3,,F,,,1,,,Joyce Pniewski,Mary Arnold,6-4 6-4,,,,,,,,,,,,,,
17-Aug-1959,Pittsburgh,3,,SF,,,1,,,Joyce Pniewski,Winnie Mccoy,6-3 6-3,,,,,,,,,,,,,,
17-Aug-1959,Pittsburgh,3,,QF,,,1,,,Joyce Pniewski,Pat Mosely,4-6 8-6 6-3,,,,,,,,,,,,,,
9-Jul-1959,Detroit,3,,SF,,,0,,,Virginia Dykes,Joyce Pniewski,UNK,,,,,,,,,,,,,,
18-Aug-1958,Los Angeles Natl Parks,3,,R16,,,0,,,Joan Johnson,Joyce Pniewski,6-3 6-2,,,,,,,,,,,,,,
27-Aug-1956,Toledo,3,,QF,,,0,,,Judy Hagan,Joyce Pniewski,7-5 8-6,,,,,,,,,,,,,,
20-Aug-1956,Cincinnati National Parks,3,,SF,,,0,,,Mary Arnold,Joyce Pniewski,6-3 6-1,,,,,,,,,,,,,,
2-Sep-1954,Toledo,3,,QF,,,0,,,Sara Mae Turber,Joyce Pniewski,6-4 3-6 7-5,,,,,,,,,,,,,,
