Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
26-Aug-2013,Belgrade 10K,3,Clay,R32,,467,0,Q,2,Tereza Malikova,Julija Lukac,5-7 6-3 6-1,,,,,,,,,,,,,,
29-Aug-2011,Sarajevo 25K,3,Clay,R32,,233,0,WC,4,Maria Joao Koehler,Julija Lukac,6-1 6-3,,,,,,,,,,,,,,
4-Jul-2011,Sarajevo 10K,3,Clay,R16,,,0,SE,Q,Bernarda Pera,Julija Lukac,6-3 6-0,,,,,,,,,,,,,,
4-Jul-2011,Sarajevo 10K,3,Clay,R32,,1070,1,SE,,Julija Lukac,Ekaterina Nikitina,6-1 6-0,,,,,,,,,,,,,,
27-Jun-2011,Prokuplje 10K,3,Clay,SF,,872,0,WC,,Nikola Vajdova,Julija Lukac,6-3 6-2,,,,,,,,,,,,,,
27-Jun-2011,Prokuplje 10K,3,Clay,QF,,692,1,WC,7,Julija Lukac,Martina Borecka,6-2 6-3,,,,,,,,,,,,,,
27-Jun-2011,Prokuplje 10K,3,Clay,R16,,658,1,WC,4,Julija Lukac,Janina Toljan,6-2 6-4,,,,,,,,,,,,,,
27-Jun-2011,Prokuplje 10K,3,Clay,R32,,,1,WC,WC,Julija Lukac,Andjela Novcic,6-0 6-1,,,,,,,,,,,,,,
7-Mar-2011,Madrid 10K,3,Clay,R32,,365,0,Q,5,Evelyn Mayr,Julija Lukac,6-2 6-2,,,,,,,,,,,,,,
11-Oct-2010,Bol 10K,3,Clay,R32,,1037,0,,LL,Ksenia Gospodinova,Julija Lukac,4-6 7-5 6-1,,,,,,,,,,,,,,
3-May-2010,Badalona 10K,3,Clay,R32,,1026,0,Q,LL,Nikol Hristova,Julija Lukac,6-3 7-5,,,,,,,,,,,,,,
7-Sep-2009,Sarajevo 10K,3,Clay,R32,,864,0,Q,,Zorica Petrov,Julija Lukac,6-1 6-2,,,,,,,,,,,,,,
6-Jul-2009,Prokuplje 10K,3,Clay,R32,,597,0,Q,6,Cristina Madalina Stancu,Julija Lukac,7-5 6-4,,,,,,,,,,,,,,
29-Jun-2009,Prokuplje 10K,3,Clay,R32,,,0,Q,WC,Jovana Jaksic,Julija Lukac,6-1 6-2,,,,,,,,,,,,,,
11-May-2009,Fuerteventura 10K,3,Carpet,R32,,913,0,Q,,Sarah Moundir,Julija Lukac,6-2 6-0,,,,,,,,,,,,,,
7-Jul-2008,Prokuplje 10K,3,Clay,R32,,955,0,Q,,Hulya Esen,Julija Lukac,6-2 6-4,,,,,,,,,,,,,,
