Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
26-Sep-2016,Iizuka $25K,3,Hard,R16,557,174,0,,1,Su Jeong Jang,Kanae Hisami,6-1 6-3,,,,,,,,,,,,,,
26-Sep-2016,Iizuka $25K,3,Hard,R32,557,,1,,WC,Kanae Hisami,Funa Kozaki,6-0 6-3,,,,,,,,,,,,,,
5-Sep-2016,Kyoto $10K,3,Hard,SF,588,,0,3,Q,Haruna Arakawa,Kanae Hisami,2-6 6-3 6-2,,,,,,,,,,,,,,
5-Sep-2016,Kyoto $10K,3,Hard,QF,588,1032,1,3,,Kanae Hisami,Rika Fujiwara,0-6 6-3 7-5,,,,,,,,,,,,,,
5-Sep-2016,Kyoto $10K,3,Hard,R16,588,907,1,3,,Kanae Hisami,Yukina Saigo,7-5 6-3,,,,,,,,,,,,,,
5-Sep-2016,Kyoto $10K,3,Hard,R32,588,,1,3,WC,Kanae Hisami,Megumi Nishimoto,6-1 5-7 6-1,,,,,,,,,,,,,,
29-Aug-2016,Noto $25K,3,Carpet,QF,588,371,0,Q,,Shiho Akita,Kanae Hisami,4-6 6-2 6-2,,,,,,,,,,,,,,
29-Aug-2016,Noto $25K,3,Carpet,R16,588,449,1,Q,,Kanae Hisami,Mana Ayukawa,3-6 6-1 6-3,,,,,,,,,,,,,,
29-Aug-2016,Noto $25K,3,Carpet,R32,588,773,1,Q,Q,Kanae Hisami,Nagi Hanatani,6-0 6-4,,,,,,,,,,,,,,
1-Aug-2016,Nanchang,3,Hard,Q1,589,279,0,,7,Storm Sanders,Kanae Hisami,6-0 6-3,0.66,1.7%,15.5%,55.2%,40.6%,26.9%,50.0% (7/14),39.2%,43.5%,3.2%,37.5%,50.0%,33.3% (2/6),1:16
6-Jun-2016,Tokyo $25K,3,Hard,R32,509,398,0,WC,,Nicha Lertpitaksinchai,Kanae Hisami,6-1 6-3,,,,,,,,,,,,,,
16-May-2016,Kurume $50K,3,Grass,R16,538,219,0,WC,2,Nigina Abduraimova,Kanae Hisami,4-6 6-3 6-1,,,,,,,,,,,,,,
16-May-2016,Kurume $50K,3,Grass,R32,538,378,1,WC,,Kanae Hisami,Junri Namigata,7-5 6-1,,,,,,,,,,,,,,
21-Mar-2016,Canberra $25K,3,Clay,R32,554,165,0,Q,1,Miyu Kato,Kanae Hisami,6-3 6-3,,,,,,,,,,,,,,
19-Oct-2015,Hamamatsu $25K,3,Grass,R16,566,667,0,,,Yuka Higuchi,Kanae Hisami,7-5 1-6 7-6(5),,,,,,,,,,,,,,
