Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
25-Mar-1996,Makarska 10K,3,Clay,R32,767,704,0,,,Maja Mise,Karin Lusnic,6-4 2-6 4-5 RET,,,,,,,,,,,,,,
11-Sep-1995,ITF Umag,3,Clay,R32,707,679,0,8,,Veronika Safarova,Karin Lusnic,7-6(5) 5-7 6-1,,,,,,,,,,,,,,
3-Jul-1995,ITF Vaihingen,3,Clay,Q2,463,427,0,,,Pavlina Nola,Karin Lusnic,6-1 6-7 6-4,,,,,,,,,,,,,,
3-Jul-1995,ITF Vaihingen,3,Clay,Q1,463,,1,,,Karin Lusnic,Greta Arn,6-7 6-3 6-3,,,,,,,,,,,,,,
12-Jun-1995,ITF Marina Di Mas 1,3,Clay,QF,471,752,0,3,5,Alice Canepa,Karin Lusnic,6-4 5-7 6-3,,,,,,,,,,,,,,
12-Jun-1995,ITF Marina Di Mas 1,3,Clay,R16,471,,1,3,,Karin Lusnic,Manuela Borzi,6-1 6-3,,,,,,,,,,,,,,
12-Jun-1995,ITF Marina Di Mas 1,3,Clay,R32,471,659,1,3,,Karin Lusnic,Monica Scartoni,6-3 1-6 6-2,,,,,,,,,,,,,,
15-May-1995,ITF Tortosa,3,Clay,Q2,449,546,0,,,Noelia Serra,Karin Lusnic,6-1 2-6 6-0,,,,,,,,,,,,,,
15-May-1995,ITF Tortosa,3,Clay,Q1,449,,1,,,Karin Lusnic,Cristina Rodriguez,7-5 6-3,,,,,,,,,,,,,,
24-Apr-1995,ITF Budapest 1,3,Clay,Q3,421,376,0,,,Kyra Nagy,Karin Lusnic,6-3 6-2,,,,,,,,,,,,,,
24-Apr-1995,ITF Budapest 1,3,Clay,Q2,421,533,1,,,Karin Lusnic,Agnes Gee,2-6 6-3 6-3,,,,,,,,,,,,,,
24-Apr-1995,ITF Budapest 1,3,Clay,Q1,421,302,1,,4,Karin Lusnic,Katarzyna Teodorowicz Lisowska,6-2 6-0,,,,,,,,,,,,,,
27-Mar-1995,ITF Reims,3,Clay,Q1,420,,0,,,Patty Van Acker,Karin Lusnic,6-3 6-3,,,,,,,,,,,,,,
27-Feb-1995,ITF Prostejov,3,Hard,R32,319,154,0,,4,Katerina Kroupova,Karin Lusnic,6-0 6-3,,,,,,,,,,,,,,
29-Aug-1994,ITF Maribor 2,3,Clay,R32,261,149,0,,4,Maja Palaversic Cooper Smith,Karin Lusnic,6-1 6-3,,,,,,,,,,,,,,
18-Jul-1994,ITF Rheda Weiderbruck,3,Clay,R16,279,,0,,,Petra Winzenholler,Karin Lusnic,6-4 6-2,,,,,,,,,,,,,,
18-Jul-1994,ITF Rheda Weiderbruck,3,Clay,R32,279,,1,,,Karin Lusnic,Heike Thoms,7-6(3) 6-2,,,,,,,,,,,,,,
11-Jul-1994,ITF Darmstadt,3,Clay,R16,,148,0,,4,Tina Krizan,Karin Lusnic,6-3 7-5,,,,,,,,,,,,,,
11-Jul-1994,ITF Darmstadt,3,Clay,R32,,353,1,,,Karin Lusnic,Julia Jehs,6-0 6-4,,,,,,,,,,,,,,
27-Jun-1994,ITF Vaihingen 25K,3,Clay,R32,,,0,,,Maria Strandlund Tomsvik,Karin Lusnic,6-4 6-4,,,,,,,,,,,,,,
30-May-1994,ITF Barcelona 2 25K,3,Clay,R32,,,0,,6,Katarzyna Teodorowicz Lisowska,Karin Lusnic,6-1 6-2,,,,,,,,,,,,,,
30-May-1994,ITF Hebron,3,Hard,R32,,,0,,6,Katarzyna Teodorowicz Lisowska,Karin Lusnic,6-1 6-2,,,,,,,,,,,,,,
23-May-1994,ITF Barcelona 1 25K,3,Clay,R32,,350,0,8,LL,Gala Leon Garcia,Karin Lusnic,6-2 6-1,,,,,,,,,,,,,,
9-May-1994,ITF Budapest 25K,3,Clay,R16,,,0,8,,Melanie Schnell,Karin Lusnic,6-0 7-5,,,,,,,,,,,,,,
9-May-1994,ITF Budapest 25K,3,Clay,R32,,381,1,8,Q,Karin Lusnic,Zdenka Malkova,6-2 3-0 RET,,,,,,,,,,,,,,
21-Mar-1994,ITF Brest 25K,3,Hard,QF,,,0,,,Li Ling Chen,Karin Lusnic,6-1 6-2,,,,,,,,,,,,,,
21-Mar-1994,ITF Brest 25K,3,Hard,R16,,103,1,,1,Karin Lusnic,Karine Quentrec,6-1 6-1,,,,,,,,,,,,,,
21-Mar-1994,ITF Brest 25K,3,Hard,R32,,,1,,,Karin Lusnic,Federica Fortuni,6-2 3-6 6-4,,,,,,,,,,,,,,
14-Mar-1994,ITF Reims 25K,3,Clay,R32,,,0,5,,Darija Deskovic,Karin Lusnic,6-1 6-1,,,,,,,,,,,,,,
28-Feb-1994,ITF Madrid,3,Clay,R32,,312,0,,,Tatjana Jecmenica,Karin Lusnic,6-0 6-2,,,,,,,,,,,,,,
7-Feb-1994,Linz,3,Carpet,Q1,,391,0,,,Sylvia Stefkova,Karin Lusnic,6-4 6-4,,,,,,,,,,,,,,
6-Dec-1993,ITF Val D'Ois,3,Hard,Q1,,,0,6,,Axelle Thomas,Karin Lusnic,7-5 6-4,,,,,,,,,,,,,,
27-Sep-1993,ITF Kirchheim,3,Clay,SF,328,187,0,,6,Laurence Courtois,Karin Lusnic,6-1 3-6 6-1,,,,,,,,,,,,,,
27-Sep-1993,ITF Kirchheim,3,Clay,QF,328,168,1,,3,Karin Lusnic,Barbara Mulej,6-3 6-1,,,,,,,,,,,,,,
27-Sep-1993,ITF Kirchheim,3,Clay,R16,328,,1,,,Karin Lusnic,Eva Melicharova,7-5 6-2,,,,,,,,,,,,,,
27-Sep-1993,ITF Kirchheim,3,Clay,R32,328,,1,,8,Karin Lusnic,Claudia Chabalgoity,4-6 6-3 6-3,,,,,,,,,,,,,,
20-Sep-1993,ITF Capua,3,Clay,R16,309,,0,,,Gabriela Mach,Karin Lusnic,6-3 6-4,,,,,,,,,,,,,,
20-Sep-1993,ITF Capua,3,Clay,R32,309,162,1,,3,Karin Lusnic,Francesca Romano,6-3 6-1,,,,,,,,,,,,,,
6-Sep-1993,ITF Klagenfurt,3,Clay,R32,,280,0,,,Maja Palaversic Cooper Smith,Karin Lusnic,6-3 7-5,,,,,,,,,,,,,,
28-Jun-1993,ITF Supetar,3,Clay,SF,384,,0,1,3,Laura Montalvo,Karin Lusnic,7-5 7-6(6),,,,,,,,,,,,,,
28-Jun-1993,ITF Supetar,3,Clay,QF,384,,1,1,5,Karin Lusnic,Katarzyna Malec,6-1 7-5,,,,,,,,,,,,,,
28-Jun-1993,ITF Supetar,3,Clay,R16,384,,1,1,,Karin Lusnic,Valentina Solari,6-3 6-3,,,,,,,,,,,,,,
28-Jun-1993,ITF Supetar,3,Clay,R32,384,,1,1,,Karin Lusnic,Natalia Biletskaia,6-2 6-0,,,,,,,,,,,,,,
14-Jun-1993,ITF Brindisi,3,Clay,SF,,327,0,,,Petra Kamstra,Karin Lusnic,7-5 6-1,,,,,,,,,,,,,,
14-Jun-1993,ITF Brindisi,3,Clay,QF,,,1,,,Karin Lusnic,Adriana Serra Zanetti,6-1 7-5,,,,,,,,,,,,,,
14-Jun-1993,ITF Brindisi,3,Clay,R16,,,1,,,Karin Lusnic,Emanuela Sangiorgi,6-4 6-2,,,,,,,,,,,,,,
14-Jun-1993,ITF Brindisi,3,Clay,R32,,306,1,,,Karin Lusnic,Lihini Weerasuriya,6-2 6-2,,,,,,,,,,,,,,
14-Jun-1993,ITF Brindisi,3,Clay,Q3,,,1,,,Karin Lusnic,Emanuela Sangiorgi,6-3 6-1,,,,,,,,,,,,,,
14-Jun-1993,ITF Brindisi,3,Clay,Q2,,,1,,,Karin Lusnic,Daniela Agostinone,6-1 6-1,,,,,,,,,,,,,,
14-Jun-1993,ITF Brindisi,3,Clay,Q1,,,1,,,Karin Lusnic,Manuela Bargis,6-1 6-4,,,,,,,,,,,,,,
7-Jun-1993,ITF Caserta,3,Clay,R16,392,275,0,,,Irina Spirlea,Karin Lusnic,6-2 6-2,,,,,,,,,,,,,,
7-Jun-1993,ITF Caserta,3,Clay,R32,392,154,1,,5,Karin Lusnic,Angelique Olivier,6-3 5-7 6-4,,,,,,,,,,,,,,
7-Jun-1993,ITF Caserta,3,Clay,Q3,392,,0,6,,Nina Murn,Karin Lusnic,6-1 6-3,,,,,,,,,,,,,,
7-Jun-1993,ITF Caserta,3,Clay,Q2,392,,1,6,,Karin Lusnic,Nicoletta Iaccarino,6-4 1-6 6-2,,,,,,,,,,,,,,
7-Jun-1993,ITF Caserta,3,Clay,Q1,392,,1,6,,Karin Lusnic,Marta Conean,6-2 6-2,,,,,,,,,,,,,,
15-May-1993,Fed Cup G1 QF: BEL vs SLO,3,Hard,RR,396,100,0,,,Dominique Monami,Karin Lusnic,6-1 6-2,,,,,,,,,,,,,,
13-May-1993,Fed Cup G1 RRE: SLO vs TUN,3,Hard,RR,396,,1,,,Karin Lusnic,Selima Sfar,3-6 7-5 6-0,,,,,,,,,,,,,,
12-Apr-1993,ITF Neudorfl,3,Clay,R16,408,490,0,6,,Ivana Havrlikova,Karin Lusnic,6-2 6-4,,,,,,,,,,,,,,
12-Apr-1993,ITF Neudorfl,3,Clay,R32,408,,1,6,,Karin Lusnic,Tonka Doric,4-6 6-3 6-1,,,,,,,,,,,,,,
5-Apr-1993,ITF Athens,3,Clay,QF,404,433,0,4,6,Claudia Chabalgoity,Karin Lusnic,6-2 7-6(5),,,,,,,,,,,,,,
5-Apr-1993,ITF Athens,3,Clay,R16,404,,1,4,,Karin Lusnic,Gabriela Netikova,6-2 6-4,,,,,,,,,,,,,,
5-Apr-1993,ITF Athens,3,Clay,R32,404,,1,4,,Karin Lusnic,Melanie Bernard,6-2 6-3,,,,,,,,,,,,,,
22-Feb-1993,ITF Olivier,3,Hard,QF,443,,0,5,,Maaike Koutstaal,Karin Lusnic,6-3 7-5,,,,,,,,,,,,,,
22-Feb-1993,ITF Olivier,3,Hard,R16,443,,1,5,,Karin Lusnic,Tina Vukasovic,6-1 6-7(1) 6-3,,,,,,,,,,,,,,
22-Feb-1993,ITF Olivier,3,Hard,R32,443,,1,5,,Karin Lusnic,Jasmine Angeli,6-4 3-6 6-1,,,,,,,,,,,,,,
15-Feb-1993,ITF Amadora,3,Hard,R16,435,,0,7,,Maaike Koutstaal,Karin Lusnic,6-3 6-0,,,,,,,,,,,,,,
15-Feb-1993,ITF Amadora,3,Hard,R32,435,,1,7,,Karin Lusnic,Chantal Reuter,6-0 7-6(6),,,,,,,,,,,,,,
