Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
28-Aug-1989,US Open,5,Hard,Q1,236,169,0,,,Andrea Leand,Kathrin Keil,6-1 4-6 6-4,,,,,,,,,,,,,,
14-Aug-1989,Albuquerque,3,Hard,R32,228,53,0,,,Jana Pospisilova,Kathrin Keil,6-1 6-1,,,,,,,,,,,,,,
7-Aug-1989,Los Angeles,3,Hard,Q1,189,151,0,,7,Leigh Anne Eldredge,Kathrin Keil,6-1 7-6(4),,,,,,,,,,,,,,
31-Jul-1989,San Diego,3,Hard,Q1,189,120,0,,5,Mary Lou Piatek,Kathrin Keil,6-3 6-2,,,,,,,,,,,,,,
24-Apr-1989,Taipei,3,Hard,R32,184,113,0,,7,Louise Field,Kathrin Keil,6-4 7-6,,,,,,,,,,,,,,
17-Apr-1989,Tokyo,3,Hard,Q1,178,251,0,7,,Ei Iida,Kathrin Keil,6-4 7-6(2),,,,,,,,,,,,,,
10-Apr-1989,Singapore,3,Hard,Q2,178,267,0,3,,Anne Grousbeck,Kathrin Keil,6-0 6-4,,,,,,,,,,,,,,
20-Mar-1989,Key Biscayne,3,Hard,Q2,177,207,0,14,,Marie Christine Calleja,Kathrin Keil,6-3 6-3,,,,,,,,,,,,,,
20-Mar-1989,Key Biscayne,3,Hard,Q1,177,192,1,14,,Kathrin Keil,Pam Casale,6-4 6-0,,,,,,,,,,,,,,
6-Mar-1989,Indian Wells,3,Hard,Q2,153,273,0,,,Vicki Nelson,Kathrin Keil,6-1 4-6 6-3,,,,,,,,,,,,,,
6-Feb-1989,Wellington,3,Hard,R32,146,153,0,,,Rachel Mcquillan,Kathrin Keil,6-2 7-5,,,,,,,,,,,,,,
30-Jan-1989,Auckland,3,Hard,Q2,146,211,0,8,,Patricia Hy Boulais,Kathrin Keil,6-2 6-4,,,,,,,,,,,,,,
30-Jan-1989,Auckland,3,Hard,Q1,146,214,1,8,,Kathrin Keil,Amanda Grunfeld,6-3 6-4,,,,,,,,,,,,,,
16-Jan-1989,Australian Open,5,Hard,R64,163,,0,,WC,Andrea Temesvari,Kathrin Keil,4-6 7-6(4) 6-4,,,,,,,,,,,,,,
16-Jan-1989,Australian Open,5,Hard,R128,163,83,1,,,Kathrin Keil,Kathy Horvath,6-0 6-7(4) 6-4,,,,,,,,,,,,,,
7-Nov-1988,Chicago,3,Carpet,Q1,158,58,0,,1,Amy Frazier,Kathrin Keil,6-1 6-3,,,,,,,,,,,,,,
10-Oct-1988,San Juan,3,Hard,R16,163,16,0,,1,Stephanie Rehe,Kathrin Keil,6-2 6-0,,,,,,,,,,,,,,
