Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
8-Apr-1985,Hilton Head,3,Clay,R32,,8,0,,4,Pam Shriver,Kerry Reid,6-1 6-1,,,,,,,,,,,,,,
8-Apr-1985,Hilton Head,3,Clay,R64,,,1,,,Kerry Reid,Lisa Spain Short,7-6 6-2,,,,,,,,,,,,,,
9-Apr-1984,Hilton Head,3,Clay,R64,,54,0,,,Catherine Suire,Kerry Reid,6-1 6-3,,,,,,,,,,,,,,
4-Apr-1983,Hilton Head,3,Clay,R32,,,0,,2,Andrea Jaeger,Kerry Reid,6-2 6-1,,,,,,,,,,,,,,
4-Apr-1983,Hilton Head,3,Clay,R64,,,1,,,Kerry Reid,Iva Budarova,6-2 4-6 6-2,,,,,,,,,,,,,,
2-Jan-1980,Landover,3,Carpet,RR,,,0,,,Dianne Fromholtz,Kerry Reid,W/O,,,,,,,,,,,,,,
2-Jan-1980,Landover,3,Carpet,RR,,,0,,,Regina Marsikova,Kerry Reid,W/O,,,,,,,,,,,,,,
2-Jan-1980,Landover,3,Carpet,R32,,,0,,2,Martina Navratilova,Kerry Reid,6-3 6-0,,,,,,,,,,,,,,
26-Nov-1979,Melbourne,3,Grass,R32,,,0,5,,Susan Leo,Kerry Reid,6-3 2-6 6-2,,,,,,,,,,,,,,
5-Nov-1979,Filderstadt,3,Carpet,QF,,,0,6,1,Martina Navratilova,Kerry Reid,W/O,,,,,,,,,,,,,,
5-Nov-1979,Filderstadt,3,Carpet,R16,,,1,6,,Kerry Reid,Ilana Kloss,6-1 6-1,,,,,,,,,,,,,,
5-Nov-1979,Filderstadt,3,Carpet,R32,,,1,6,,Kerry Reid,Pam Teeguarden,6-4 6-2,,,,,,,,,,,,,,
22-Oct-1979,Tampa,3,Hard,QF,,,0,7,2,Tracy Austin,Kerry Reid,6-2 6-3,,,,,,,,,,,,,,
22-Oct-1979,Tampa,3,Hard,R16,,,1,7,,Kerry Reid,Betty Ann Grubb,7-5 6-3,,,,,,,,,,,,,,
22-Oct-1979,Tampa,3,Hard,R32,,,1,7,,Kerry Reid,Bettina Bunge,4-6 6-4 6-2,,,,,,,,,,,,,,
10-Oct-1979,Phoenix,3,Hard,QF,,,0,5,,Kate Latham,Kerry Reid,7-6 6-3,,,,,,,,,,,,,,
10-Oct-1979,Phoenix,3,Hard,R16,,,1,5,,Kerry Reid,Renee Richards,6-1 7-6,,,,,,,,,,,,,,
10-Oct-1979,Phoenix,3,Hard,R32,,,1,5,,Kerry Reid,Rosie Casals,6-2 6-3,,,,,,,,,,,,,,
1-Oct-1979,Minneapolis,3,Carpet,QF,,,0,8,2,Tracy Austin,Kerry Reid,6-1 6-3,,,,,,,,,,,,,,
1-Oct-1979,Minneapolis,3,Carpet,R16,,,1,8,,Kerry Reid,Anne Smith,5-7 6-3 6-4,,,,,,,,,,,,,,
1-Oct-1979,Minneapolis,3,Carpet,R32,,,1,8,,Kerry Reid,Sylvia Hanika,6-4 6-2,,,,,,,,,,,,,,
23-Sep-1979,Atlanta,3,Carpet,R16,,,0,,7,Virginia Wade,Kerry Reid,7-5 6-0,,,,,,,,,,,,,,
23-Sep-1979,Atlanta,3,Carpet,R32,,,1,,,Kerry Reid,Carrie Meyer,6-2 0-6 6-3,,,,,,,,,,,,,,
10-Sep-1979,Tokyo Sillook,3,Hard,QF,,,0,5,3,Evonne Goolagong,Kerry Reid,6-3 6-1,,,,,,,,,,,,,,
10-Sep-1979,Tokyo Sillook,3,Hard,R16,,,1,5,,Kerry Reid,Kate Latham,6-3 6-3,,,,,,,,,,,,,,
10-Sep-1979,Tokyo Sillook,3,Hard,R32,,,1,5,,Kerry Reid,Diane Desfor,6-2 6-2,,,,,,,,,,,,,,
28-Aug-1979,US Open,5,Hard,QF,,,0,8,2,Martina Navratilova,Kerry Reid,6-4 6-1,,,,,,,,,,,,,,
28-Aug-1979,US Open,5,Hard,R16,,,1,8,,Kerry Reid,Anne Smith,4-6 7-5 7-6,,,,,,,,,,,,,,
28-Aug-1979,US Open,5,Hard,R32,,,1,8,,Kerry Reid,Mary Lou Piatek,4-6 6-3 6-4,,,,,,,,,,,,,,
28-Aug-1979,US Open,5,Hard,R64,,,1,8,,Kerry Reid,Anne Hobbs,6-4 6-0,,,,,,,,,,,,,,
28-Aug-1979,US Open,5,Hard,R128,,,1,8,,Kerry Reid,Rosie Casals,6-1 6-2,,,,,,,,,,,,,,
13-Aug-1979,Richmond,3,Carpet,QF,,,0,5,4,Wendy Turnbull,Kerry Reid,3-6 7-6 6-3,,,,,,,,,,,,,,
13-Aug-1979,Richmond,3,Carpet,R16,,,1,5,,Kerry Reid,Rosie Casals,6-1 7-5,,,,,,,,,,,,,,
13-Aug-1979,Richmond,3,Carpet,R32,,,1,5,,Kerry Reid,Jeanne Duvall,6-1 6-1,,,,,,,,,,,,,,
6-Aug-1979,Indianapolis,3,Clay,R16,,,0,2,,Jeanne Duvall,Kerry Reid,W/O,,,,,,,,,,,,,,
6-Aug-1979,Indianapolis,3,Clay,R32,,,1,2,,Kerry Reid,Diane Desfor,7-6 5-7 6-3,,,,,,,,,,,,,,
30-Jul-1979,San Diego,3,Hard,QF,,,0,5,3,Virginia Wade,Kerry Reid,6-4 6-1,,,,,,,,,,,,,,
30-Jul-1979,San Diego,3,Hard,R16,,,1,5,,Kerry Reid,Pam Teeguarden,6-4 6-1,,,,,,,,,,,,,,
30-Jul-1979,San Diego,3,Hard,R32,,,1,5,,Kerry Reid,Dana Gilbert,6-2 6-3,,,,,,,,,,,,,,
25-Jun-1979,Wimbledon,5,Grass,R16,,,0,9,8,Wendy Turnbull,Kerry Reid,6-3 4-6 6-3,,,,,,,,,,,,,,
25-Jun-1979,Wimbledon,5,Grass,R32,,,1,9,,Kerry Reid,Rayni Fox,6-3 6-1,,,,,,,,,,,,,,
25-Jun-1979,Wimbledon,5,Grass,R64,,,1,9,,Kerry Reid,Carrie Meyer,6-1 6-2,,,,,,,,,,,,,,
25-Jun-1979,Wimbledon,5,Grass,R128,,,1,9,,Kerry Reid,Rene Blount,6-1 6-0,,,,,,,,,,,,,,
18-Jun-1979,Eastbourne,3,Grass,QF,,,0,,2,Chris Evert,Kerry Reid,6-3 6-4,,,,,,,,,,,,,,
18-Jun-1979,Eastbourne,3,Grass,R16,,,1,,14,Kerry Reid,Billie Jean King,4-4 RET,,,,,,,,,,,,,,
18-Jun-1979,Eastbourne,3,Grass,R32,,,1,,,Kerry Reid,Hana Mandlikova,6-1 7-6,,,,,,,,,,,,,,
18-Jun-1979,Eastbourne,3,Grass,R64,,,1,,,Kerry Reid,Marita Redondo,6-3 6-7 6-2,,,,,,,,,,,,,,
21-May-1979,Berlin,3,Clay,QF,,,0,2,6,Regina Marsikova,Kerry Reid,7-5 6-7 6-2,,,,,,,,,,,,,,
21-May-1979,Berlin,3,Clay,R16,,,1,2,,Kerry Reid,Viviana Gonzalez,6-2 6-3,,,,,,,,,,,,,,
21-May-1979,Berlin,3,Clay,R32,,,1,2,Q,Kerry Reid,Iva Budarova,6-4 6-1,,,,,,,,,,,,,,
14-May-1979,Vienna,3,Clay,QF,,,0,4,6,Regina Marsikova,Kerry Reid,0-6 7-6 6-2,,,,,,,,,,,,,,
14-May-1979,Vienna,3,Clay,R16,,,1,4,,Kerry Reid,Renata Tomanova,6-2 6-2,,,,,,,,,,,,,,
14-May-1979,Vienna,3,Clay,R32,,,1,4,Q,Kerry Reid,Daniela Marzano,6-3 6-2,,,,,,,,,,,,,,
7-May-1979,Rome,3,Clay,R32,,,0,6,,Virginia Ruzici,Kerry Reid,7-5 6-0,,,,,,,,,,,,,,
30-Apr-1979,Fed Cup WG F: USA vs AUS,3,Clay,RR,,,0,,,Tracy Austin,Kerry Reid,6-3 6-0,,,,,,,,,,,,,,
30-Apr-1979,Fed Cup WG R2: YUG vs AUS,3,Clay,RR,,,1,,,Kerry Reid,Lea Degen,6-2 6-0,,,,,,,,,,,,,,
30-Apr-1979,Fed Cup WG SF: TCH vs AUS,3,Clay,RR,,,1,,,Kerry Reid,Hana Mandlikova,6-4 6-3,,,,,,,,,,,,,,
10-Apr-1979,Hilton Head,3,Clay,F,,,0,3,2,Tracy Austin,Kerry Reid,7-6 7-6,,,,,,,,,,,,,,
