Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
28-Apr-2003,Pula 10K,3,Clay,R32,585,480,0,,5,Zuzana Zemenova,Kim Kambic,6-0 6-1,,,,,,,,,,,,,,
24-Mar-2003,Athens 10K,3,Clay,R16,586,985,0,,Q,Katia Sabate Orera,Kim Kambic,1-6 6-1 6-4,,,,,,,,,,,,,,
24-Mar-2003,Athens 10K,3,Clay,R32,586,1009,1,,LL,Kim Kambic,Marina Lazarovska,6-3 6-0,,,,,,,,,,,,,,
21-Oct-2002,Al Mansoura 10K,3,Clay,R32,557,381,0,,6,Olena Antypina,Kim Kambic,4-6 6-0 6-4,,,,,,,,,,,,,,
14-Oct-2002,Giza 10K,3,Clay,R32,515,541,0,,,Ema Janaskova,Kim Kambic,6-0 6-1,,,,,,,,,,,,,,
7-Oct-2002,Ain Alsouknha 10K,3,Clay,R32,513,751,0,6,,Yomna Farid,Kim Kambic,6-1 6-4,,,,,,,,,,,,,,
9-Sep-2002,Cuneo 10K,3,Clay,R32,528,507,0,,7,Giorgia Mondani,Kim Kambic,6-4 6-3,,,,,,,,,,,,,,
2-Sep-2002,Chieti 10K,3,Clay,QF,520,635,0,4,8,Sanda Mamic,Kim Kambic,6-1 6-1,,,,,,,,,,,,,,
2-Sep-2002,Chieti 10K,3,Clay,R16,520,,1,4,WC,Kim Kambic,Nicole Clerico,6-3 6-7(7) 7-5,,,,,,,,,,,,,,
2-Sep-2002,Chieti 10K,3,Clay,R32,520,820,1,4,,Kim Kambic,Magdalena Marszalek,6-1 6-2,,,,,,,,,,,,,,
12-Aug-2002,London 10K,3,Hard,R16,505,,0,,LL,Susanne Aigner,Kim Kambic,5-7 6-1 6-4,,,,,,,,,,,,,,
12-Aug-2002,London 10K,3,Hard,R32,505,,1,,WC,Kim Kambic,Luisa Cowper,6-2 5-7 6-3,,,,,,,,,,,,,,
22-Jul-2002,Gardone Val Trombia 10K,3,Clay,R32,505,729,0,7,,Dominika Nociarova,Kim Kambic,6-4 6-1,,,,,,,,,,,,,,
1-Jul-2002,Monteroni 10K,3,Clay,F,587,445,0,,4,Lenka Tvaroskova,Kim Kambic,6-3 6-2,,,,,,,,,,,,,,
1-Jul-2002,Monteroni 10K,3,Clay,SF,587,,1,,Q,Kim Kambic,Valentina Bonacorsi,6-4 6-2,,,,,,,,,,,,,,
