Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
7-Sep-2009,Casale 10K,3,Clay,R32,1030,580,0,,,Elixane Lechemia,Kim Stierli,6-2 6-1,,,,,,,,,,,,,,
24-Aug-2009,Portschach 10K,3,Clay,R32,1029,446,0,,4,Natasa Zoric,Kim Stierli,6-4 6-2,,,,,,,,,,,,,,
3-Aug-2009,Savitaipale 10K,3,Clay,R32,1021,,0,,Q,Saana Saarteinen,Kim Stierli,6-3 6-0,,,,,,,,,,,,,,
27-Jul-2009,Tampere 10K,3,Clay,R32,983,869,0,,,Alize Lim,Kim Stierli,6-3 6-0,,,,,,,,,,,,,,
15-Jun-2009,Lenzerheide 10K,3,Clay,R32,960,,0,,Q,Beatris Simion,Kim Stierli,6-3 6-2,,,,,,,,,,,,,,
18-May-2009,TeldeLP De Gran Canaria 10K,3,Clay,R32,957,541,0,,3,Nicola Geuer,Kim Stierli,6-1 6-0,,,,,,,,,,,,,,
4-May-2009,Edinburgh 10K,3,Clay,QF,1049,520,0,,3,Natalie Piquion,Kim Stierli,6-2 6-1,,,,,,,,,,,,,,
4-May-2009,Edinburgh 10K,3,Clay,R16,1049,,1,,Q,Kim Stierli,Sabrina Bamburac,6-4 6-4,,,,,,,,,,,,,,
4-May-2009,Edinburgh 10K,3,Clay,R32,1049,,1,,Q,Kim Stierli,Michelle Jlilati,6-0 6-0,,,,,,,,,,,,,,
27-Oct-2008,Stockholm 10K,3,Hard,R32,1037,,0,,WC,Ellen Allgurin,Kim Stierli,6-0 6-1,,,,,,,,,,,,,,
6-Oct-2008,Thessaloniki 10K,3,Clay,R16,1065,676,0,,8,Franziska Klotz,Kim Stierli,6-3 6-2,,,,,,,,,,,,,,
6-Oct-2008,Thessaloniki 10K,3,Clay,R32,1065,,1,,Q,Kim Stierli,Tatiana Illova,6-1 7-5,,,,,,,,,,,,,,
25-Aug-2008,La Marsa 10K,3,Clay,R16,1072,585,0,,3,Stamatia Fafaliou,Kim Stierli,2-6 6-3 6-2,,,,,,,,,,,,,,
25-Aug-2008,La Marsa 10K,3,Clay,R32,1072,,1,,,Kim Stierli,Lina Bennani,6-2 7-5,,,,,,,,,,,,,,
18-Aug-2008,Enschede 10K,3,Clay,R32,1067,747,0,LL,,Appollonia Melzani,Kim Stierli,6-0 6-1,,,,,,,,,,,,,,
21-Jul-2008,Gausda 10K,3,Hard,R16,,,0,,,Karina Isayan,Kim Stierli,6-2 6-1,,,,,,,,,,,,,,
21-Jul-2008,Gausda 10K,3,Hard,R32,,,1,,,Kim Stierli,Mikaela Hockman,6-0 6-0,,,,,,,,,,,,,,
30-Jun-2008,Damascus 10K,3,Hard,R16,,726,0,,2,Magali De Lattre,Kim Stierli,6-1 6-3,,,,,,,,,,,,,,
30-Jun-2008,Damascus 10K,3,Hard,R32,,,1,,WC,Kim Stierli,Lara Alsamman,6-0 6-0,,,,,,,,,,,,,,
26-May-2008,Gaziantep 10K,3,Hard,R32,,585,0,,5,Petra Pajalic,Kim Stierli,6-1 6-1,,,,,,,,,,,,,,
19-May-2008,Managua 10K,3,Hard,R32,,,0,,Q,Alexa Wimes,Kim Stierli,&nbsp;,,,,,,,,,,,,,,
22-Oct-2007,Saint Denis Reunion 25K,3,Hard,R32,,372,0,,6,Lisa Sabino,Kim Stierli,6-2 6-1,,,,,,,,,,,,,,
23-Jul-2007,Gausdal 10K,3,Hard,R32,,,0,,LL,Rebecka Persson,Kim Stierli,3-6 6-1 6-4,,,,,,,,,,,,,,
18-Jun-2007,Davos 10K,3,Clay,R16,,640,0,Q,6,Nicole Riner,Kim Stierli,5-0 RET,,,,,,,,,,,,,,
18-Jun-2007,Davos 10K,3,Clay,R32,,,1,Q,Q,Kim Stierli,Tereza Malikova,7-6(5) 7-5,,,,,,,,,,,,,,
4-Jun-2007,Birkerod 10K,3,Clay,R32,,478,0,Q,1,Irina Kuzmina,Kim Stierli,6-0 6-0,,,,,,,,,,,,,,
10-Jul-2006,Birkerod 10K,3,Clay,R16,,690,0,Q,6,Karina Ildor Jacobsgaard,Kim Stierli,6-0 6-1,,,,,,,,,,,,,,
10-Jul-2006,Birkerod 10K,3,Clay,R32,,,1,Q,,Kim Stierli,Katrine Christensen,6-0 6-0,,,,,,,,,,,,,,
