Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
27-Aug-2007,Prague 10K,3,Clay,R32,,,0,WC,Q,Klara Vyskocilova,Klara Hladka,6-1 6-4,,,,,,,,,,,,,,
1-Mar-2004,Benin City 10K,3,Hard,R32,1105,762,0,,,Nikoleta Kipritidou,Klara Hladka,6-4 6-3,,,,,,,,,,,,,,
23-Feb-2004,Benin City 10K,3,Hard,R32,1109,758,0,,,Nikoleta Kipritidou,Klara Hladka,7-5 6-3,,,,,,,,,,,,,,
15-Dec-2003,Valasske Mezirici 25K,3,Hard,R32,,159,0,WC,,Selima Sfar,Klara Hladka,6-0 6-0,,,,,,,,,,,,,,
25-Nov-2002,Pruhonice 25K,3,Carpet,R32,,159,0,,,Stanislava Hrozenska,Klara Hladka,6-1 6-0,,,,,,,,,,,,,,
19-Aug-2002,Valasske Mezirici 10K,3,Clay,R32,,662,0,WC,,Andrea Masarykova,Klara Hladka,1-2 RET,,,,,,,,,,,,,,
3-Dec-2001,Prague 10K,3,Hard,R32,,469,0,WC,,Alena Paulenkova,Klara Hladka,6-0 6-2,,,,,,,,,,,,,,
12-Nov-2001,Stupava 10K,3,Hard,R32,,383,0,WC,7,Anna Bielen Zarska,Klara Hladka,6-1 6-2,,,,,,,,,,,,,,
11-Jun-2001,Raalte 10K,3,Clay,R32,,,0,Q,,Ilona Vichnevskaya,Klara Hladka,6-0 6-1,,,,,,,,,,,,,,
14-May-2001,Szczecin 10K,3,Clay,R32,,,0,LL,,Olga Borisova,Klara Hladka,6-1 6-2,,,,,,,,,,,,,,
11-Dec-2000,Czech Republic 3 Satellite,3,Hard,R32,,419,0,WC,,Dominika Luzarova,Klara Hladka,4-1 4-5(5) 4-1 4-1,,,,,,,,,,,,,,
13-Nov-2000,Stupava 10K,3,Hard,R32,,406,0,WC,,Magdelena Zdenovcova,Klara Hladka,4-0 4-1 4-1,,,,,,,,,,,,,,
