Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
10-Apr-2006,Jackson MS 25K,3,Clay,R32,408,190,0,WC,6,Angela Haynes,Kristen Schlukebir,6-1 6-0,,,,,,,,,,,,,,
20-Feb-2006,St Paul MN 50K,3,Hard,R32,402,170,0,,4,Olga Puchkova,Kristen Schlukebir,6-1 6-4,,,,,,,,,,,,,,
30-Jan-2006,Rockford IL 25K,3,Hard,R16,432,304,0,Q,WC,Abigail Spears,Kristen Schlukebir,6-3 6-2,,,,,,,,,,,,,,
30-Jan-2006,Rockford IL 25K,3,Hard,R32,432,,1,Q,WC,Kristen Schlukebir,Hilary Barte,6-3 2-6 7-5,,,,,,,,,,,,,,
7-Nov-2005,Toronto 25K,3,Hard,R16,444,196,0,Q,5,Olena Antypina,Kristen Schlukebir,6-3 6-3,,,,,,,,,,,,,,
7-Nov-2005,Toronto 25K,3,Hard,R32,444,386,1,Q,,Kristen Schlukebir,Emily Webley Smith,6-3 6-7(4) 7-5,,,,,,,,,,,,,,
24-Oct-2005,Mexico City 2 25K,3,Hard,R16,450,333,0,,,Maria Vanina Garcia Sokol,Kristen Schlukebir,6-4 6-3,,,,,,,,,,,,,,
24-Oct-2005,Mexico City 2 25K,3,Hard,R32,450,569,1,,Q,Kristen Schlukebir,Jennifer Elie,7-6(8) 6-4,,,,,,,,,,,,,,
17-Oct-2005,Mexico City 1 25K,3,Hard,R32,453,413,0,,Q,Rebecca Llewellyn,Kristen Schlukebir,6-4 4-6 7-5,,,,,,,,,,,,,,
26-Sep-2005,Pelham AL 25K,3,Clay,R32,372,274,0,,4,Soledad Esperon,Kristen Schlukebir,6-3 6-0,,,,,,,,,,,,,,
1-Aug-2005,Vancouver 25K,3,Hard,R16,353,390,0,,,Heidi El Tabakh,Kristen Schlukebir,6-2 4-6 6-1,,,,,,,,,,,,,,
1-Aug-2005,Vancouver 25K,3,Hard,R32,353,289,1,,2,Kristen Schlukebir,Antonia Matic,6-4 6-4,,,,,,,,,,,,,,
25-Jul-2005,Lexington KY 50K,3,Hard,R32,335,150,0,WC,3,Ashley Harkleroad,Kristen Schlukebir,6-2 6-3,,,,,,,,,,,,,,
27-Jun-2005,Los Gatos 50K,3,Hard,R16,325,112,0,,2,Camille Pin,Kristen Schlukebir,6-4 6-1,,,,,,,,,,,,,,
27-Jun-2005,Los Gatos 50K,3,Hard,R32,325,1119,1,,Q,Kristen Schlukebir,Anne Yelsey,7-6(2) 6-2,,,,,,,,,,,,,,
13-Jun-2005,Fort Worth TX 10K,3,Hard,SF,329,653,0,1,,Story Tweedie Yates,Kristen Schlukebir,6-2 1-6 7-6(2),,,,,,,,,,,,,,
13-Jun-2005,Fort Worth TX 10K,3,Hard,QF,329,,1,1,WC,Kristen Schlukebir,Kewa Nichols,6-1 6-1,,,,,,,,,,,,,,
13-Jun-2005,Fort Worth TX 10K,3,Hard,R16,329,1036,1,1,Q,Kristen Schlukebir,Nina Munch Soegaard,6-2 6-3,,,,,,,,,,,,,,
13-Jun-2005,Fort Worth TX 10K,3,Hard,R32,329,,1,1,Q,Kristen Schlukebir,Randi Schuler,6-2 6-0,,,,,,,,,,,,,,
6-Jun-2005,Allentown PA 25K,3,Hard,R32,311,586,0,8,WC,Christina Fusano,Kristen Schlukebir,5-7 6-4 6-2,,,,,,,,,,,,,,
9-May-2005,Charlottesville VA 50K,3,Clay,R32,312,315,0,,LL,Christina Wheeler,Kristen Schlukebir,6-3 6-2,,,,,,,,,,,,,,
25-Apr-2005,Lafayette LA 50K,3,Clay,R32,272,192,0,,,Olga Lazarchuk,Kristen Schlukebir,4-6 6-1 6-3,,,,,,,,,,,,,,
11-Apr-2005,Jackson MS 25K,3,Clay,R16,272,260,0,,,Lina Stanciute,Kristen Schlukebir,6-2 6-1,,,,,,,,,,,,,,
11-Apr-2005,Jackson MS 25K,3,Clay,R32,272,551,1,,WC,Kristen Schlukebir,Jennifer Elie,6-4 6-3,,,,,,,,,,,,,,
4-Apr-2005,Tunica Resorts MS 25K,3,Clay,R16,275,190,0,,7,Varvara Lepchenko,Kristen Schlukebir,6-0 6-1,,,,,,,,,,,,,,
4-Apr-2005,Tunica Resorts MS 25K,3,Clay,R32,275,1194,1,,WC,Kristen Schlukebir,Amanda Fink,6-2 7-6(3),,,,,,,,,,,,,,
28-Mar-2005,Augusta GA 25K,3,Hard,R32,279,264,0,Q,,Julie Ditty,Kristen Schlukebir,6-1 6-2,,,,,,,,,,,,,,
21-Feb-2005,Acapulco Q,3,Clay,Q1,274,302,0,,,Mathilde Johansson,Kristen Schlukebir,6-2 6-4,,,,,,,,,,,,,,
7-Feb-2005,Midland MI 75K,3,Hard,R32,253,186,0,,,Hana Sromova,Kristen Schlukebir,6-2 6-2,,,,,,,,,,,,,,
31-Jan-2005,Rockford IL 25K,3,Hard,R32,256,233,0,,,Jewel Peterson,Kristen Schlukebir,6-2 6-3,,,,,,,,,,,,,,
17-Jan-2005,Miami FL 10K,3,Hard,R16,249,410,0,1,,Svetlana Krivencheva,Kristen Schlukebir,6-7(3) 6-4 6-1,,,,,,,,,,,,,,
17-Jan-2005,Miami FL 10K,3,Hard,R32,249,477,1,1,,Kristen Schlukebir,Sarah Fansler,3-6 6-3 6-0,,,,,,,,,,,,,,
10-Jan-2005,Tampa FL 10K,3,Hard,R32,250,559,0,1,WC,Stacia Fonseca,Kristen Schlukebir,6-2 6-1,,,,,,,,,,,,,,
22-Nov-2004,Mount Gambier 25K,3,Hard,R16,246,288,0,7,,Chin Wei Chan,Kristen Schlukebir,6-4 6-7(5) 7-6(3),,,,,,,,,,,,,,
22-Nov-2004,Mount Gambier 25K,3,Hard,R32,246,366,1,7,,Kristen Schlukebir,Jaslyn Hewitt,6-4 6-2,,,,,,,,,,,,,,
