Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
6-Aug-2007,Moscow 10K,3,Clay,R32,803,,0,,Q,Julia Efremova,Kristina Movsesyan,6-2 6-0,,,,,,,,,,,,,,
28-May-2007,Moscow 25K,3,Clay,R32,768,1151,0,Q,Q,Tatiana Kotelnikova,Kristina Movsesyan,7-6(0) 6-2,,,,,,,,,,,,,,
21-May-2007,Cherkassy 10K,3,Clay,R32,741,,0,7,WC,Kateryna Byelcheva,Kristina Movsesyan,6-4 6-0,,,,,,,,,,,,,,
9-Apr-2007,Dubai 10K,3,Hard,R32,731,1266,0,,Q,Marina Khomenko,Kristina Movsesyan,6-0 2-6 6-3,,,,,,,,,,,,,,
5-Mar-2007,Minsk 25K,3,Carpet,R32,717,325,0,Q,,Olga Panova,Kristina Movsesyan,3-6 6-2 7-6(3),,,,,,,,,,,,,,
13-Nov-2006,Cairo 10K,3,Clay,R32,657,699,0,,,Liana Gabriela Ungur,Kristina Movsesyan,6-0 6-0,,,,,,,,,,,,,,
9-Oct-2006,Moscow Q,3,Carpet,Q1,680,198,0,A,,Alisa Kleybanova,Kristina Movsesyan,6-3 6-1,,,,,,,,,,,,,,
25-Sep-2006,Batumi 25K,3,Hard,R16,718,393,0,,,Marina Shamayko,Kristina Movsesyan,6-3 6-2,,,,,,,,,,,,,,
25-Sep-2006,Batumi 25K,3,Hard,R32,718,,1,,WC,Kristina Movsesyan,Sofia Kvatsabaia,3-6 6-3 6-3,,,,,,,,,,,,,,
18-Sep-2006,Tbilisi 10K,3,Hard,R16,741,399,0,,1,Anna Lapushchenkova,Kristina Movsesyan,3-6 6-4 6-1,,,,,,,,,,,,,,
18-Sep-2006,Tbilisi 10K,3,Hard,R32,741,1114,1,,Q,Kristina Movsesyan,Viktoriya Semyrodenko,6-7(0) 6-3 6-2,,,,,,,,,,,,,,
11-Sep-2006,Tbilisi 10K,3,Hard,QF,740,,0,3,WC,Ekaterine Gorgodze,Kristina Movsesyan,6-2 6-0,,,,,,,,,,,,,,
11-Sep-2006,Tbilisi 10K,3,Hard,R16,740,962,1,3,,Kristina Movsesyan,Farida Karaieva,6-4 6-4,,,,,,,,,,,,,,
11-Sep-2006,Tbilisi 10K,3,Hard,R32,740,1102,1,3,,Kristina Movsesyan,Irina Malashok,6-2 6-1,,,,,,,,,,,,,,
28-Aug-2006,Istanbul 10K,3,Hard,R16,753,1043,0,6,,Tara Iyer,Kristina Movsesyan,5-7 6-2 6-2,,,,,,,,,,,,,,
28-Aug-2006,Istanbul 10K,3,Hard,R32,753,858,1,6,,Kristina Movsesyan,Melissa Percy,6-2 6-3,,,,,,,,,,,,,,
17-Jul-2006,Dnepropetrovsk 25K,3,Clay,R32,755,758,0,LL,,Kristina Antoniychuk,Kristina Movsesyan,6-3 6-3,,,,,,,,,,,,,,
3-Jul-2006,Zhukovsky 10K,3,Clay,R32,738,1299,0,4,,Anastasia Revzina,Kristina Movsesyan,6-2 6-3,,,,,,,,,,,,,,
26-Jun-2006,Kharkiv 10K,3,Clay,R32,738,1267,0,8,Q,Elizaveta Tochilovskaya,Kristina Movsesyan,6-4 5-7 6-2,,,,,,,,,,,,,,
29-May-2006,Olecko 10K,3,Clay,R32,768,,0,,Q,Barbara Sobaszkiewicz,Kristina Movsesyan,6-7(2) 6-0 6-3,,,,,,,,,,,,,,
22-May-2006,Istanbul Q,3,Clay,Q1,796,379,0,,,Olga Govortsova,Kristina Movsesyan,6-3 6-1,,,,,,,,,,,,,,
3-Apr-2006,Dubai 10K,3,Hard,R32,780,,0,,Q,Maria Zharkova,Kristina Movsesyan,2-6 7-6(3) 6-4,,,,,,,,,,,,,,
27-Mar-2006,Abu Dhabi 10K,3,Hard,R16,764,187,0,,1,Petra Cetkovska,Kristina Movsesyan,6-3 6-1,,,,,,,,,,,,,,
