Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
5-Sep-2005,Vessy 10K,3,Clay,R16,,715,0,Q,7,Eva Fernandez Brugues,Laura Bao,7-5 4-6 6-1,,,,,,,,,,,,,,
5-Sep-2005,Vessy 10K,3,Clay,R32,,1203,1,Q,,Laura Bao,Anna Viktoria Lind,6-2 6-0,,,,,,,,,,,,,,
25-Aug-2003,Alphen A D Rijn 10K,3,Clay,R16,960,421,0,,6,Lotty Seelen,Laura Bao,3-6 6-4 6-1,,,,,,,,,,,,,,
25-Aug-2003,Alphen A D Rijn 10K,3,Clay,R32,960,566,1,,,Laura Bao,Mariona Gallifa Puig Desens,6-1 6-1,,,,,,,,,,,,,,
18-Aug-2003,Enschede 10K,3,Clay,R32,710,466,0,Q,8,Vladimira Uhlirova,Laura Bao,6-7(7) 6-3 6-4,,,,,,,,,,,,,,
14-Jul-2003,Brussels 10K,3,Clay,R16,569,420,0,,2,Maria Kondratieva,Laura Bao,7-6(2) 6-4,,,,,,,,,,,,,,
14-Jul-2003,Brussels 10K,3,Clay,R32,569,,1,,Q,Laura Bao,Stephanie De Laet,5-4 RET,,,,,,,,,,,,,,
19-Aug-2002,Civitanova 10K,3,Clay,R32,629,,0,,3,Rita Degli Esposti,Laura Bao,5-7 6-3 6-4,,,,,,,,,,,,,,
12-Aug-2002,Aosta 25K,3,Clay,R16,620,297,0,Q,,Severine Beltrame,Laura Bao,6-3 6-2,,,,,,,,,,,,,,
12-Aug-2002,Aosta 25K,3,Clay,R32,620,309,1,Q,,Laura Bao,Mariam Ramon Climent,6-3 6-0,,,,,,,,,,,,,,
22-Jul-2002,Gardone Val Trombia 10K,3,Clay,R32,545,358,0,Q,1,Oana Elena Golimbioschi,Laura Bao,6-4 7-6(5),,,,,,,,,,,,,,
8-Jul-2002,Sezze 10K,3,Clay,F,572,420,1,6,3,Laura Bao,Yevheniia Savranska,6-3 7-6(4),,,,,,,,,,,,,,
8-Jul-2002,Sezze 10K,3,Clay,SF,572,481,1,6,4,Laura Bao,Giorgia Mondani,6-0 6-2,,,,,,,,,,,,,,
8-Jul-2002,Sezze 10K,3,Clay,QF,572,697,1,6,,Laura Bao,Dina Milosevic,6-4 6-4,,,,,,,,,,,,,,
8-Jul-2002,Sezze 10K,3,Clay,R16,572,,1,6,Q,Laura Bao,Sandra Zahlavova,6-2 6-0,,,,,,,,,,,,,,
8-Jul-2002,Sezze 10K,3,Clay,R32,572,678,1,6,,Laura Bao,Franziska Etzel,6-7(3) 6-2 7-5,,,,,,,,,,,,,,
20-May-2002,Turin 25K,3,Clay,R32,433,258,0,WC,,Jana Hlavackova,Laura Bao,3-6 6-3 6-4,,,,,,,,,,,,,,
11-Feb-2002,Bergamo 10K,3,Hard,QF,432,,0,7,Q,Hanna Krampe,Laura Bao,6-4 6-2,,,,,,,,,,,,,,
11-Feb-2002,Bergamo 10K,3,Hard,R16,432,564,1,7,,Laura Bao,Tina Schiechtl,6-7(8) 6-4 6-1,,,,,,,,,,,,,,
11-Feb-2002,Bergamo 10K,3,Hard,R32,432,,1,7,Q,Laura Bao,Neda Mihneva,6-2 2-6 6-2,,,,,,,,,,,,,,
27-Aug-2001,Spoleto 10K,3,Clay,R32,355,495,0,5,,Sonia Delgado Tardif,Laura Bao,6-0 3-6 6-3,,,,,,,,,,,,,,
13-Aug-2001,Aosta 10K,3,Clay,R16,364,255,0,,2,Maria Paola Zavagli,Laura Bao,6-2 6-2,,,,,,,,,,,,,,
13-Aug-2001,Aosta 10K,3,Clay,R32,364,378,1,,,Laura Bao,Stephanie Rizzi,6-4 6-3,,,,,,,,,,,,,,
30-Jul-2001,Basle Q,3,Clay,Q2,385,146,0,,6,Dally Randriantefy,Laura Bao,6-0 6-2,,,,,,,,,,,,,,
30-Jul-2001,Basle Q,3,Clay,Q1,385,232,1,,,Laura Bao,Eva Martincova,6-2 6-2,,,,,,,,,,,,,,
2-Jul-2001,Orbetello 25K,3,Clay,R32,460,187,0,LL,WC,Valentina Sassi,Laura Bao,6-4 6-3,,,,,,,,,,,,,,
18-Jun-2001,Lenzerheide 25K,3,Clay,R16,457,239,0,WC,2,Nina Duebbers,Laura Bao,6-1 6-2,,,,,,,,,,,,,,
18-Jun-2001,Lenzerheide 25K,3,Clay,R32,457,337,1,WC,,Laura Bao,Susi Fortun Lohrmann,6-1 6-3,,,,,,,,,,,,,,
21-May-2001,Casale 10K,3,Clay,QF,,326,0,,2,Andreea Ehritt Vanc,Laura Bao,6-4 6-3,,,,,,,,,,,,,,
21-May-2001,Casale 10K,3,Clay,R16,,,1,,Q,Laura Bao,Rochelle Rosenfield,6-3 6-4,,,,,,,,,,,,,,
21-May-2001,Casale 10K,3,Clay,R32,,426,1,,8,Laura Bao,Petra Puheloinen,6-3 6-4,,,,,,,,,,,,,,
14-May-2001,Turin 10K,3,Clay,QF,488,,0,,Q,Marion Bartoli,Laura Bao,6-2 4-6 6-4,,,,,,,,,,,,,,
14-May-2001,Turin 10K,3,Clay,R16,488,444,1,,8,Laura Bao,Magali Lamarre,6-4 6-1,,,,,,,,,,,,,,
14-May-2001,Turin 10K,3,Clay,R32,488,,1,,Q,Laura Bao,Raissa Gourevitch,6-2 6-4,,,,,,,,,,,,,,
30-Apr-2001,Hatfield 10K,3,Clay,R16,496,,0,5,Q,Maki Arai,Laura Bao,6-2 7-6(4),,,,,,,,,,,,,,
30-Apr-2001,Hatfield 10K,3,Clay,R32,496,,1,5,WC,Laura Bao,Kelly Simkin,6-4 6-3,,,,,,,,,,,,,,
2-Apr-2001,Makarska 10K,3,Clay,R32,499,,0,,Q,Barbara Orlai,Laura Bao,6-4 6-4,,,,,,,,,,,,,,
26-Mar-2001,Bari 10K,3,Clay,R32,473,581,0,,Q,Lana Popadic,Laura Bao,6-1 6-2,,,,,,,,,,,,,,
29-Jan-2001,Istanbul 10K,3,Hard,R16,429,,0,7,Q,Melinda Czink,Laura Bao,7-5 7-6(5),,,,,,,,,,,,,,
29-Jan-2001,Istanbul 10K,3,Hard,R32,429,598,1,7,WC,Laura Bao,Ismet Duygu Aksit Oal,6-0 6-2,,,,,,,,,,,,,,
22-Jan-2001,Bastad 10K,3,Hard,SF,429,487,0,4,8,Margit Ruutel,Laura Bao,6-2 6-4,,,,,,,,,,,,,,
22-Jan-2001,Bastad 10K,3,Hard,QF,429,,1,4,WC,Laura Bao,Jenny Lindstrom,6-2 6-4,,,,,,,,,,,,,,
22-Jan-2001,Bastad 10K,3,Hard,R16,429,591,1,4,,Laura Bao,Elena Voropaeva,7-5 6-3,,,,,,,,,,,,,,
22-Jan-2001,Bastad 10K,3,Hard,R32,429,,1,4,WC,Laura Bao,Hanna Nooni,6-3 2-6 7-6(1),,,,,,,,,,,,,,
30-Oct-2000,Stockholm 10K,3,Hard,R32,417,768,0,2,,Nicole Seitenbecher,Laura Bao,4-2 4-2 4-2,,,,,,,,,,,,,,
14-Oct-2000,Chieti 10K,3,Clay,F,477,313,0,,2,Maria Wolfbrandt,Laura Bao,3-5 5-4(4) 2-4 5-4(2) 5-3,,,,,,,,,,,,,,
14-Oct-2000,Chieti 10K,3,Clay,SF,477,448,1,,7,Laura Bao,Andreea Ehritt Vanc,1-4 4-1 4-0 4-1,,,,,,,,,,,,,,
14-Oct-2000,Chieti 10K,3,Clay,QF,477,489,1,,,Laura Bao,Adriana Burz,4-0 0-4 5-3 4-1,,,,,,,,,,,,,,
14-Oct-2000,Chieti 10K,3,Clay,R16,477,,1,,Q,Laura Bao,Raffaella Bindi,5-3 1-4 4-1 4-0,,,,,,,,,,,,,,
14-Oct-2000,Chieti 10K,3,Clay,R32,477,469,1,,,Laura Bao,Jasmine Angeli,2-4 4-2 4-2 4-2,,,,,,,,,,,,,,
7-Oct-2000,Ciampino 10K,3,Clay,SF,485,455,0,,6,Ioana Gaspar,Laura Bao,4-1 4-0 4-2,,,,,,,,,,,,,,
7-Oct-2000,Ciampino 10K,3,Clay,QF,485,671,1,,,Laura Bao,Elisa Villa,2-4 5-4(3) 4-1 0-4 5-4(2),,,,,,,,,,,,,,
7-Oct-2000,Ciampino 10K,3,Clay,R16,485,473,1,,8,Laura Bao,Jasmine Angeli,4-1 4-2 4-2,,,,,,,,,,,,,,
7-Oct-2000,Ciampino 10K,3,Clay,R32,485,897,1,,Q,Laura Bao,Asimina Kaplani,4-1 4-2 4-0,,,,,,,,,,,,,,
28-Aug-2000,Saulgau 10K,3,Clay,QF,516,333,0,,3,Susi Fortun Lohrmann,Laura Bao,6-4 6-1,,,,,,,,,,,,,,
28-Aug-2000,Saulgau 10K,3,Clay,R16,516,453,1,,7,Laura Bao,Ilona Poljakova,7-6(4) 4-6 6-1,,,,,,,,,,,,,,
