Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
7-Jul-2008,Allentown PA 50K,3,Hard,R32,,195,0,Q,8,Regina Kulikova,Lauren Nikolaus Zink,7-6(4) 6-0,,,,,,,,,,,,,,
19-May-2008,Landisville PA 10K,3,Hard,R16,,462,0,WC,8,Heidi El Tabakh,Lauren Nikolaus Zink,6-2 6-3,,,,,,,,,,,,,,
19-May-2008,Landisville PA 10K,3,Hard,R32,,947,1,WC,,Lauren Nikolaus Zink,Emily Fraser,4-6 6-4 6-1,,,,,,,,,,,,,,
5-Apr-1999,Amelia Island Q,3,Clay,Q2,707,129,0,,8,Nadia Petrova,Lauren Nikolaus Zink,7-5 6-1,,,,,,,,,,,,,,
5-Apr-1999,Amelia Island Q,3,Clay,Q1,707,218,1,,,Lauren Nikolaus Zink,Tracy Almeda Singian,6-4 6-3,,,,,,,,,,,,,,
10-Aug-1998,Boston Q,3,Hard,Q1,713,141,0,WC,6,Liezel Huber,Lauren Nikolaus Zink,6-1 6-1,,,,,,,,,,,,,,
15-Jun-1998,Mount Pleasant 25K,3,Hard,R16,1008,500,0,WC,Q,Jill Craybas,Lauren Nikolaus Zink,6-2 7-5,,,,,,,,,,,,,,
15-Jun-1998,Mount Pleasant 25K,3,Hard,R32,1008,224,1,WC,2,Lauren Nikolaus Zink,Amanda Grahame,6-2 6-4,,,,,,,,,,,,,,
4-May-1998,Midlothian 25K,3,Clay,R32,,604,0,WC,Q,Jill Craybas,Lauren Nikolaus Zink,6-3 2-6 6-2,,,,,,,,,,,,,,
7-Jul-1997,Easton 10K,3,Hard,R32,,271,0,Q,2,Julie Pullin,Lauren Nikolaus Zink,6-2 6-2,,,,,,,,,,,,,,
