Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
14-Oct-1996,Joue-Les-Tours 10K,3,Hard,R32,842,521,0,,8,Kristin Osmond,Laurence Duffaud,7-6 6-7 6-3,,,,,,,,,,,,,,
7-Oct-1996,St-Raphael 10K,3,Hard,R32,844,744,0,,,Anne Laure Le Guennec,Laurence Duffaud,6-4 6-3,,,,,,,,,,,,,,
9-Sep-1996,Marseille 10K,3,Clay,R32,784,474,0,,2,Alice Canepa,Laurence Duffaud,6-4 6-4,,,,,,,,,,,,,,
5-Aug-1996,Rebecq 10K,3,Clay,QF,864,583,0,,5,Magali Lamarre,Laurence Duffaud,6-4 7-6,,,,,,,,,,,,,,
5-Aug-1996,Rebecq 10K,3,Clay,R16,864,,1,,WC,Laurence Duffaud,Sophie Turine,6-4 1-6 6-4,,,,,,,,,,,,,,
5-Aug-1996,Rebecq 10K,3,Clay,R32,864,771,1,,,Laurence Duffaud,Caroline Christian,6-1 6-2,,,,,,,,,,,,,,
30-Jan-1996,Dinan 10K,3,Clay,R32,826,653,0,,7,Ariadne Katsouli,Laurence Duffaud,6-3 6-1,,,,,,,,,,,,,,
20-Nov-1995,ITF La Havre,3,Clay,R16,797,361,0,,2,Selima Sfar,Laurence Duffaud,6-2 6-1,,,,,,,,,,,,,,
20-Nov-1995,ITF La Havre,3,Clay,R32,797,673,1,,,Laurence Duffaud,Katja Pohlmann,7-5 6-1,,,,,,,,,,,,,,
16-Oct-1995,ITF Joue-Les-Tours,3,Hard,R16,842,,0,,,Cecile De Winne,Laurence Duffaud,6-1 6-0,,,,,,,,,,,,,,
16-Oct-1995,ITF Joue-Les-Tours,3,Hard,R32,842,628,1,,4,Laurence Duffaud,Fruzsina Siklosi,6-2 6-2,,,,,,,,,,,,,,
11-Sep-1995,ITF Marseille,3,Clay,QF,921,986,0,,,Aurea Castella,Laurence Duffaud,4-6 6-0 6-1,,,,,,,,,,,,,,
11-Sep-1995,ITF Marseille,3,Clay,R16,921,805,1,,,Laurence Duffaud,Paula Garcia,6-2 6-3,,,,,,,,,,,,,,
11-Sep-1995,ITF Marseille,3,Clay,R32,921,804,1,,7,Laurence Duffaud,Stephanie Content Tardieu,6-0 6-3,,,,,,,,,,,,,,
26-Jun-1995,ITF Bastad 2,3,Clay,R32,,,0,,,Annica Lindstedt,Laurence Duffaud,6-1 6-4,,,,,,,,,,,,,,
8-May-1995,ITF Le Touquet,3,Clay,R32,,751,0,,,Loretta Sheales,Laurence Duffaud,6-4 7-5,,,,,,,,,,,,,,
20-Mar-1995,ITF Moulins,3,Hard,R32,,,0,,,Sabine Lutter,Laurence Duffaud,6-2 6-3,,,,,,,,,,,,,,
23-Jan-1995,ITF Pontevedra,3,Hard,R32,,535,1,,,Laurence Duffaud,Laurence Giroud,6-3 2-6 7-6(3),,,,,,,,,,,,,,
16-Jan-1995,ITF Orense,3,Hard,R32,,786,0,,,Joana Pedroso,Laurence Duffaud,6-3 6-4,,,,,,,,,,,,,,
19-Sep-1994,ITF Marseille,3,Clay,R32,,,0,,,Marina Escobar Martinez,Laurence Duffaud,7-6 6-2,,,,,,,,,,,,,,
2-May-1994,ITF Balaguer,3,Clay,R16,649,,0,,,Beatriz Aguilar,Laurence Duffaud,2-6 6-2 7-5,,,,,,,,,,,,,,
2-May-1994,ITF Balaguer,3,Clay,R32,649,545,1,,5,Laurence Duffaud,Marcela Demilio,6-3 6-1,,,,,,,,,,,,,,
15-Feb-1994,Paris,3,Hard,Q1,,,0,,5,Carole Lucarelli,Laurence Duffaud,7-6 6-1,,,,,,,,,,,,,,
24-Jan-1994,ITF Austin,3,Hard,R32,,,0,,,Karin Miller,Laurence Duffaud,6-2 6-0,,,,,,,,,,,,,,
17-Jan-1994,ITF McAllen,3,Hard,R16,,394,0,,5,Nino Louarsabishvili,Laurence Duffaud,6-2 6-3,,,,,,,,,,,,,,
17-Jan-1994,ITF McAllen,3,Hard,R32,,,1,,,Laurence Duffaud,Thea Ivanisevic,6-1 6-2,,,,,,,,,,,,,,
10-Jan-1994,ITF Mission,3,Hard,R32,,,0,,,Tjasa Jezernik,Laurence Duffaud,6-1 6-0,,,,,,,,,,,,,,
29-Nov-1993,ITF Le Havre,3,Clay,Q1,,,0,,,Tanja Hauschildt,Laurence Duffaud,6-3 7-5,,,,,,,,,,,,,,
25-Oct-1993,ITF Poitiers,3,Hard,Q1,,,0,,,Severine Arpajou,Laurence Duffaud,7-5 6-4,,,,,,,,,,,,,,
20-Sep-1993,ITF Marseille,3,Clay,R32,,,0,7,,Sophie Georges,Laurence Duffaud,7-6(5) 6-4,,,,,,,,,,,,,,
19-Jul-1993,ITF Rheda Weiderbruck,3,Clay,Q1,,,0,,,Stefanie Meyer,Laurence Duffaud,3-6 6-2 7-6(4),,,,,,,,,,,,,,
