Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
21-Aug-2006,Vlaardingen 10K,3,Clay,R32,1290,699,0,LL,,Danielle Harmsen,Lisa Haegele,6-3 6-4,,,,,,,,,,,,,,
14-Aug-2006,Bratislava 10K,3,Clay,R32,1287,960,0,Q,,Petra Novotnikova,Lisa Haegele,6-3 6-2,,,,,,,,,,,,,,
24-Jul-2006,Horb 10K,3,Clay,R32,1279,517,0,WC,4,Anamaria Alexandra Sere,Lisa Haegele,6-2 6-0,,,,,,,,,,,,,,
29-May-2006,Gyor 10K,3,Clay,R32,1115,625,0,,4,Katalin Marosi,Lisa Haegele,6-0 6-4,,,,,,,,,,,,,,
3-Apr-2006,Dubai 10K,3,Hard,R32,994,185,0,,1,Petra Cetkovska,Lisa Haegele,6-2 6-1,,,,,,,,,,,,,,
27-Mar-2006,Abu Dhabi 10K,3,Hard,R32,986,1326,0,,Q,Melissa Percy,Lisa Haegele,6-3 6-3,,,,,,,,,,,,,,
5-Sep-2005,Vessy 10K,3,Clay,R16,968,585,0,,2,Stephanie Rizzi,Lisa Haegele,6-2 6-1,,,,,,,,,,,,,,
5-Sep-2005,Vessy 10K,3,Clay,R32,968,1121,1,,,Lisa Haegele,Karolina Nowak,6-0 6-4,,,,,,,,,,,,,,
20-Jun-2005,Oslo 10K,3,Clay,R16,1096,672,0,,6,Karoline Borgersen,Lisa Haegele,6-1 7-6(7),,,,,,,,,,,,,,
20-Jun-2005,Oslo 10K,3,Clay,R32,1096,,1,,WC,Lisa Haegele,Idunn Hertzberg,6-0 6-1,,,,,,,,,,,,,,
18-Apr-2005,Porto Santo 3 10K,3,Hard,R16,1180,555,0,Q,6,Lisanne Balk,Lisa Haegele,6-2 6-1,,,,,,,,,,,,,,
18-Apr-2005,Porto Santo 3 10K,3,Hard,R32,1180,946,1,Q,Q,Lisa Haegele,Verena Amesbauer,6-4 6-1,,,,,,,,,,,,,,
14-Feb-2005,Biberach 10K,3,Hard,R32,1210,225,0,Q,1,Lucie Hradecka,Lisa Haegele,6-7(5) 6-3 6-0,,,,,,,,,,,,,,
17-Jan-2005,Oberhaching 10K,3,Carpet,R32,1189,604,0,Q,,Vanessa Wellauer,Lisa Haegele,7-5 6-3,,,,,,,,,,,,,,
1-Nov-2004,Stockholm 2 10K,3,Hard,R32,1216,,0,Q,Q,Sanne Van Den Biggelaar,Lisa Haegele,6-3 6-2,,,,,,,,,,,,,,
19-Jul-2004,Horb 10K,3,Clay,R32,,,0,WC,Q,Arina Rodionova,Lisa Haegele,6-4 6-4,,,,,,,,,,,,,,
19-Jan-2004,Manama 10K,3,Hard,R16,,,0,,,Mailyne Andrieux,Lisa Haegele,6-4 6-2,,,,,,,,,,,,,,
19-Jan-2004,Manama 10K,3,Hard,R32,,822,1,,,Lisa Haegele,Rawya Seif,6-2 7-5,,,,,,,,,,,,,,
