Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
24-Mar-2014,Heraklion 10K,3,Hard,R32,432,318,0,,3,Justyna Jegiolka,Lisanne Van Riet,6-4 6-4,,,,,,,,,,,,,,
17-Mar-2014,Heraklion 10K,3,Hard,R32,432,541,0,8,,Lisa Sabino,Lisanne Van Riet,6-1 7-6(7),,,,,,,,,,,,,,
10-Mar-2014,Heraklion 10K,3,Hard,R32,429,731,0,6,,Agni Stefanou,Lisanne Van Riet,3-6 6-3 7-5,,,,,,,,,,,,,,
17-Feb-2014,Helsingborg 10K,3,Hard,QF,,,0,4,,Dea Herdzelas,Lisanne Van Riet,7-6(4) 5-7 6-4,,,,,,,,,,,,,,
17-Feb-2014,Helsingborg 10K,3,Hard,R16,,,1,4,,Lisanne Van Riet,Oleksandra Piskun,6-1 6-1,,,,,,,,,,,,,,
17-Feb-2014,Helsingborg 10K,3,Hard,R32,,,1,4,Q,Lisanne Van Riet,Hanna Borjeson,6-2 2-0 RET,,,,,,,,,,,,,,
20-Jan-2014,Kaarst 10K,3,Carpet,R32,,,0,5,Q,Yana Morderger,Lisanne Van Riet,6-0 6-1,,,,,,,,,,,,,,
25-Nov-2013,Rethymno 10K,3,Hard,F,452,702,0,2,5,Katy Dunne,Lisanne Van Riet,6-3 6-4,,,,,,,,,,,,,,
25-Nov-2013,Rethymno 10K,3,Hard,SF,452,536,1,2,3,Lisanne Van Riet,Julia Stamatova,6-2 6-3,,,,,,,,,,,,,,
25-Nov-2013,Rethymno 10K,3,Hard,QF,452,,1,2,,Lisanne Van Riet,Raluca Georgiana Serban,6-2 6-4,,,,,,,,,,,,,,
25-Nov-2013,Rethymno 10K,3,Hard,R16,452,959,1,2,,Lisanne Van Riet,Ani Vangelova,6-0 6-1,,,,,,,,,,,,,,
18-Nov-2013,Bucha 25K,3,Carpet,R32,447,225,0,,2,Sofia Shapatava,Lisanne Van Riet,6-2 6-4,,,,,,,,,,,,,,
28-Oct-2013,Toronto 50K,3,Hard,R32,422,398,0,,,Julia Boserup,Lisanne Van Riet,6-2 6-1,,,,,,,,,,,,,,
21-Oct-2013,Saguenay 50K,3,Hard,R32,418,113,0,,2,Coco Vandeweghe,Lisanne Van Riet,6-4 6-1,,,,,,,,,,,,,,
7-Oct-2013,MarathonAthens 10K,3,Hard,SF,416,1044,0,2,,Jainy Scheepens,Lisanne Van Riet,6-3 6-2,,,,,,,,,,,,,,
7-Oct-2013,MarathonAthens 10K,3,Hard,QF,416,578,1,2,6,Lisanne Van Riet,Laura Schaeder,6-4 1-6 6-4,,,,,,,,,,,,,,
7-Oct-2013,MarathonAthens 10K,3,Hard,R16,416,1065,1,2,LL,Lisanne Van Riet,Oleksandra Piskun,6-3 6-0,,,,,,,,,,,,,,
7-Oct-2013,MarathonAthens 10K,3,Hard,R32,416,,1,2,Q,Lisanne Van Riet,Vasilisa Aponasenko,6-4 6-3,,,,,,,,,,,,,,
16-Sep-2013,Dobrich 25K,3,Clay,R32,407,206,0,LL,5,Anne Schaefer,Lisanne Van Riet,6-1 6-4,,,,,,,,,,,,,,
2-Sep-2013,Alphen A D Rijn 25K,3,Clay,R32,444,201,0,,4,Irena Pavlovic,Lisanne Van Riet,6-1 7-6(6),,,,,,,,,,,,,,
26-Aug-2013,Fleurus near Charleroi 25K,3,Clay,R16,444,274,0,Q,8,Elitsa Kostova,Lisanne Van Riet,6-3 5-7 7-5,,,,,,,,,,,,,,
26-Aug-2013,Fleurus near Charleroi 25K,3,Clay,R32,444,397,1,Q,,Lisanne Van Riet,Ana Sofia Sanchez,7-5 6-4,,,,,,,,,,,,,,
5-Aug-2013,Koksijde 25K,3,Clay,R32,427,183,0,Q,1,Melanie Klaffner,Lisanne Van Riet,4-6 6-3 7-6(5),,,,,,,,,,,,,,
22-Jul-2013,Maaseik 10K,3,Clay,R16,426,943,0,6,,Steffi Distelmans,Lisanne Van Riet,6-4 6-2,,,,,,,,,,,,,,
22-Jul-2013,Maaseik 10K,3,Clay,R32,426,926,1,6,,Lisanne Van Riet,Claudine Schaul,6-4 6-2,,,,,,,,,,,,,,
15-Jul-2013,Contrexeville 50K,3,Clay,R16,526,250,0,Q,8,Angelique Van Der Meet,Lisanne Van Riet,6-1 6-4,,,,,,,,,,,,,,
15-Jul-2013,Contrexeville 50K,3,Clay,R32,526,598,1,Q,,Lisanne Van Riet,Natalia Orlova,6-4 2-6 6-1,,,,,,,,,,,,,,
8-Jul-2013,Aschaffenburg 25K,3,Clay,QF,525,618,0,Q,Q,Ekaterine Gorgodze,Lisanne Van Riet,6-4 4-6 6-4,,,,,,,,,,,,,,
