Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
9-Sep-1996,Buenos Aires 10K,3,Clay,R16,778,353,0,,2,Celeste Contin,Lorena Martinez,6-2 6-1,,,,,,,,,,,,,,
9-Sep-1996,Buenos Aires 10K,3,Clay,R32,778,640,1,,,Lorena Martinez,Eugenia Lopez Ascarte,4-6 6-3 6-1,,,,,,,,,,,,,,
27-May-1996,Buenos Aires 10K,3,Clay,R16,839,920,0,,,Romina Ottoboni,Lorena Martinez,7-5 5-7 6-2,,,,,,,,,,,,,,
27-May-1996,Buenos Aires 10K,3,Clay,R32,839,594,1,,,Lorena Martinez,Sandra Deamelio,6-4 6-4,,,,,,,,,,,,,,
20-May-1996,Buenos Aires 10K,3,Clay,R32,840,399,0,,2,Maria Florencia Cianfagna,Lorena Martinez,6-2 6-4,,,,,,,,,,,,,,
6-May-1996,Amazonas 10K,3,Hard,R16,891,380,0,,4,Karin Palme,Lorena Martinez,7-5 6-3,,,,,,,,,,,,,,
6-May-1996,Amazonas 10K,3,Hard,R32,891,559,1,,,Lorena Martinez,Mariana Lopez Palacios,6-4 4-6 6-2,,,,,,,,,,,,,,
11-Dec-1995,ITF Tucuman,3,Clay,Q1,921,882,0,,,Mariana Faustinelli,Lorena Martinez,6-3 1-6 6-2,,,,,,,,,,,,,,
13-Nov-1995,ITF Buenos Aires 2,3,Clay,R32,935,660,0,,,Carina Lopez,Lorena Martinez,5-7 6-4 6-4,,,,,,,,,,,,,,
23-Oct-1995,ITF Buenos Aires 1,3,Clay,QF,,435,0,,4,Karin Palme,Lorena Martinez,5-7 7-5 6-2,,,,,,,,,,,,,,
23-Oct-1995,ITF Buenos Aires 1,3,Clay,R16,,832,1,,,Lorena Martinez,Andreea Petrisor,6-2 1-6 6-2,,,,,,,,,,,,,,
23-Oct-1995,ITF Buenos Aires 1,3,Clay,R32,,1039,1,,,Lorena Martinez,Mariana Faustinelli,6-3 6-2,,,,,,,,,,,,,,
16-Oct-1995,ITF Asuncion,3,Clay,R32,,208,0,,1,Larissa Schaerer,Lorena Martinez,6-2 6-3,,,,,,,,,,,,,,
27-Feb-1995,ITF Cartagena,3,Hard,R32,,407,0,,5,Geraldine Aizenberg,Lorena Martinez,2-6 6-4 6-1,,,,,,,,,,,,,,
13-Feb-1995,ITF Bogota,3,Clay,Q1,,,0,,,Barbara Urbanska,Lorena Martinez,6-1 6-2,,,,,,,,,,,,,,
