Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
28-May-2007,Stare Splavy 10K,3,Clay,R32,,497,0,LL,4,Tereza Hladikova,Lucie Makrlikova,6-2 6-2,,,,,,,,,,,,,,
16-Oct-2006,Dubrovnik 10K,3,Clay,R32,1072,752,0,LL,,Anja Prislan,Lucie Makrlikova,6-1 6-2,,,,,,,,,,,,,,
25-Sep-2006,Szeged 10K,3,Clay,R32,1079,707,0,,6,Natasa Zoric,Lucie Makrlikova,6-2 4-6 6-2,,,,,,,,,,,,,,
11-Sep-2006,Innsbruck 10K,3,Clay,R32,986,1290,0,LL,Q,Palma Kiraly,Lucie Makrlikova,6-4 6-3,,,,,,,,,,,,,,
4-Sep-2006,Enschede 10K,3,Clay,R32,984,,0,,WC,Nicolette Van Uitert,Lucie Makrlikova,6-0 6-4,,,,,,,,,,,,,,
14-Aug-2006,Kedzierzyn-Kozle 10K,3,Clay,R32,981,684,0,,8,Radana Holusova,Lucie Makrlikova,6-0 6-0,,,,,,,,,,,,,,
3-Apr-2006,Dubai 10K,3,Hard,R16,1307,327,0,Q,2,Andreja Klepac,Lucie Makrlikova,6-1 6-2,,,,,,,,,,,,,,
3-Apr-2006,Dubai 10K,3,Hard,R32,1307,,1,Q,WC,Lucie Makrlikova,Jennifer Smith,6-2 6-3,,,,,,,,,,,,,,
27-Mar-2006,Abu Dhabi 10K,3,Hard,R32,1307,714,0,Q,,Katerina Polunina,Lucie Makrlikova,7-5 6-2,,,,,,,,,,,,,,
13-Feb-2006,Mallorca 2 10K,3,Clay,R32,1330,747,0,WC,,Rebeca Bou Nogueiro,Lucie Makrlikova,6-2 6-2,,,,,,,,,,,,,,
6-Feb-2006,Mallorca 1 10K,3,Clay,R32,1332,783,0,Q,,Agnese Zucchini,Lucie Makrlikova,4-6 6-3 6-4,,,,,,,,,,,,,,
