Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
9-Apr-1962,Hampstead,3,Clay,R32,,,0,,,Mrs S M Steventon,M White,6-3 6-0,,,,,,,,,,,,,,
10-Apr-1961,Hampstead,3,Clay,R32,,,0,,,Hana Sladek,M White,6-2 6-3,,,,,,,,,,,,,,
3-Apr-1961,Roehampton,3,Clay,R32,,,0,,,Joyce Williams,M White,6-3 6-2,,,,,,,,,,,,,,
4-Apr-1960,Hampstead,3,Clay,R16,,,0,,,Pat Wheeler,M White,UNK,,,,,,,,,,,,,,
4-Apr-1960,Hampstead,3,Clay,R32,,,1,,,M White,Mrs H Brock,6-1 6-1,,,,,,,,,,,,,,
4-Apr-1960,Hampstead,3,Clay,R64,,,1,,,M White,He Neal,6-1 6-0,,,,,,,,,,,,,,
30-Mar-1959,Roehampton,3,Clay,R32,,,0,,,Ruia Morrison,M White,6-4 6-0,,,,,,,,,,,,,,
30-Mar-1959,Roehampton,3,Clay,R64,,,1,,,M White,M R Cooper,6-4 6-0,,,,,,,,,,,,,,
31-Mar-1958,Roehampton,3,Clay,R64,,,0,,,Beryl Bartlett,M White,8-6 6-2,,,,,,,,,,,,,,
29-May-1950,Surbiton,3,Grass,R32,,,0,,,Vera Thomas,M White,6-4 6-2,,,,,,,,,,,,,,
3-May-1948,Hurlingham,3,Clay,R16,,,0,,,Thelma Jarvis,M White,6-0 6-3,,,,,,,,,,,,,,
3-May-1948,Hurlingham,3,Clay,R32,,,1,,,M White,J Chalk,6-4 7-5,,,,,,,,,,,,,,
26-Apr-1948,Bournemouth 1,3,Clay,R32,,,0,,,D Fry,M White,6-4 6-2,,,,,,,,,,,,,,
2-Jun-1947,Weybridge,3,Grass,R32,,,0,,,Jean Quertier,M White,3-6 6-1 6-1,,,,,,,,,,,,,,
2-Jun-1947,Weybridge,3,Grass,R64,,,1,,,M White,D Percival,7-5 6-1,,,,,,,,,,,,,,
2-Sep-1946,Chiswick,3,Clay,R32,,,0,,,Z Bloudkova,M White,6-1 6-2,,,,,,,,,,,,,,
26-Apr-1937,Bournemouth,3,Clay,R64,,,0,,,P Scott,M White,6-0 7-5,,,,,,,,,,,,,,
