Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
29-Aug-1931,Santa Monica Fall,3,,R16,,,0,,,Gladys Patz,Mabel Reed,6-1 6-1,,,,,,,,,,,,,,
9-May-1931,Los Angeles SoCal Chps,3,Hard,R32,,,0,,,Jane Sharp,Mabel Reed,6-3 6-4,,,,,,,,,,,,,,
9-May-1931,Los Angeles SoCal Chps,3,Hard,R64,,,1,,,Mabel Reed,E Herberts,7-5 6-2,,,,,,,,,,,,,,
1-Sep-1930,Santa Monica 2,3,Hard,R32,,,0,,,A Burburier,Mabel Reed,6-4 8-10 6-2,,,,,,,,,,,,,,
25-Aug-1930,Alhambra,3,Hard,R16,,,0,,,Elizabeth Deike,Mabel Reed,6-0 6-4,,,,,,,,,,,,,,
31-Jul-1930,Los Angeles County,3,Hard,R32,,,0,,,A Couturier,Mabel Reed,6-4 1-6 6-2,,,,,,,,,,,,,,
15-Jul-1930,La Jolla,3,Hard,R16,,,0,,,Elizabeth Deike,Mabel Reed,6-2 6-3,,,,,,,,,,,,,,
3-Jul-1930,Los Angeles Pac Coast,3,Hard,R16,,,0,,,Elizabeth Deike,Mabel Reed,6-3 3-6 6-1,,,,,,,,,,,,,,
1-Jul-1930,San Marino,3,Hard,R16,,,0,,,Dorothy Robinson,Mabel Reed,6-2 6-1,,,,,,,,,,,,,,
1-Jul-1930,San Marino,3,Hard,R16,,,0,,,Dorothy Robinson,Mabel Reed,6-2 6-1,,,,,,,,,,,,,,
10-May-1930,Los Angeles SoCal Chps,3,Hard,R32,,,0,,,Margaret Doeg,Mabel Reed,UNK,,,,,,,,,,,,,,
12-Apr-1930,Santa Monica 1,3,Hard,R16,,,0,,,Dorothy Workman,Mabel Reed,6-4 6-1,,,,,,,,,,,,,,
1-Nov-1929,Riverside,3,,SF,,,0,,,Marion Wood,Mabel Reed,8-6 6-4,,,,,,,,,,,,,,
20-Sep-1929,Los Angeles Pac Southwest,3,Hard,R32,,,0,,,Helen Marlowe,Mabel Reed,6-1 6-0,,,,,,,,,,,,,,
12-Aug-1929,Rye,3,Grass,R64,,,0,,,Penelope Charske,Mabel Reed,6-2 6-1,,,,,,,,,,,,,,
1-Aug-1929,Los Angeles County,3,,R16,,,0,,,Kate Northcote,Mabel Reed,6-1 6-4,,,,,,,,,,,,,,
1-Aug-1929,Los Angeles County,3,,R32,,,1,,,Mabel Reed,Julia Washburn,7-5 1-6 9-7,,,,,,,,,,,,,,
17-Jun-1929,Pasadena,3,,R16,,,0,,,Louise Martin,Mabel Reed,6-1 6-1,,,,,,,,,,,,,,
25-Apr-1929,Ojai,3,Hard,R16,,,0,,,Peggy Stratford,Mabel Reed,6-0 6-1,,,,,,,,,,,,,,
29-Sep-1928,Los Angeles Pac Southwest,3,Hard,R32,,,0,,,Ethel Burkhardt,Mabel Reed,6-1 6-1,,,,,,,,,,,,,,
29-Sep-1928,Los Angeles Pac Southwest,3,Hard,R64,,,1,,,Mabel Reed,Germaine Desthieux,6-0 6-2,,,,,,,,,,,,,,
