Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
18-Sep-2006,Guadalajara 10K,3,Clay,R32,1227,,0,,WC,Alejandra Rivero,Maria Jose Andres Gomez,6-2 6-0,,,,,,,,,,,,,,
1-May-2006,Mazatlan 10K,3,Hard,R32,1169,1047,0,WC,,Jie Zeng,Maria Jose Andres Gomez,6-2 6-3,,,,,,,,,,,,,,
21-Nov-2005,San Luis Potosi 2 25K,3,Hard,R32,1199,393,0,WC,,Heidi El Tabakh,Maria Jose Andres Gomez,6-3 6-0,,,,,,,,,,,,,,
10-Oct-2005,Victoria 25K,3,Hard,R32,1306,236,0,WC,7,Soledad Esperon,Maria Jose Andres Gomez,6-2 6-1,,,,,,,,,,,,,,
26-Sep-2005,Morelia 10K,3,Hard,R32,,,0,,,Deyanirr Solorio,Maria Jose Andres Gomez,6-3 1-6 7-5,,,,,,,,,,,,,,
12-Sep-2005,Matamoros 10K,3,Hard,R32,,613,0,WC,6,Erika Clarke Magana,Maria Jose Andres Gomez,6-4 6-1,,,,,,,,,,,,,,
30-May-2005,Monterrey 10K,3,Hard,R32,,,0,WC,WC,Paulina Zuniga,Maria Jose Andres Gomez,7-6(3) 6-2,,,,,,,,,,,,,,
11-Apr-2005,Tampico 10K,3,Hard,R32,,912,0,,,Lauren Barnikow,Maria Jose Andres Gomez,6-0 6-2,,,,,,,,,,,,,,
22-Nov-2004,San Luis Potosi 25K,3,Hard,R32,,505,0,WC,WC,Daniela Munoz Gallegos,Maria Jose Andres Gomez,6-1 7-5,,,,,,,,,,,,,,
18-Oct-2004,Aguascalientes 10K,3,Clay,R32,,,0,WC,Q,Maja Petrovic,Maria Jose Andres Gomez,6-4 6-4,,,,,,,,,,,,,,
