Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
6-Sep-1999,Fano 25K,3,Clay,R32,231,441,0,,Q,Andrea Van Den Hurk,Maria Jose Gaidano,6-1 4-6 6-3,,,,,,,,,,,,,,
30-Aug-1999,US Open,5,Hard,Q1,231,177,0,,,Stephanie Foretz Gacon,Maria Jose Gaidano,6-2 6-1,,,,,,,,,,,,,,
12-Jul-1999,Palermo,3,Clay,Q1,233,137,0,,1,Miroslava Vavrinec,Maria Jose Gaidano,6-2 6-4,,,,,,,,,,,,,,
28-Jun-1999,Orbetello 25K,3,Clay,R32,241,439,0,,1,Charlotte Aagaard,Maria Jose Gaidano,6-3 6-4,,,,,,,,,,,,,,
21-Jun-1999,Gorizia 25K,3,Clay,R32,241,215,0,,,Renata Kucerova,Maria Jose Gaidano,1-6 7-5 6-0,,,,,,,,,,,,,,
14-Jun-1999,Grado 25K,3,Clay,R16,236,253,0,,,Ainhoa Goni Blanco,Maria Jose Gaidano,6-3 6-4,,,,,,,,,,,,,,
14-Jun-1999,Grado 25K,3,Clay,R32,236,405,1,,Q,Maria Jose Gaidano,Jorgelina Torti,6-2 6-4,,,,,,,,,,,,,,
7-Jun-1999,Galatina 10K,3,Clay,R32,234,252,0,,Q,Ainhoa Goni Blanco,Maria Jose Gaidano,4-6 6-2 6-1,,,,,,,,,,,,,,
24-May-1999,Warsaw 25K,3,Clay,R32,235,219,0,,6,Katarzyna Straczy,Maria Jose Gaidano,6-2 6-2,,,,,,,,,,,,,,
17-May-1999,Strasbourg,3,Clay,Q1,241,123,0,,9,Adriana Gersi,Maria Jose Gaidano,6-4 6-3,,,,,,,,,,,,,,
10-May-1999,Berlin,3,Clay,Q1,238,148,0,,,Sandra Cacic,Maria Jose Gaidano,6-3 6-1,,,,,,,,,,,,,,
3-May-1999,Warsaw,3,Clay,Q3,250,145,0,,1,Ines Gorrochategui,Maria Jose Gaidano,6-3 6-1,,,,,,,,,,,,,,
3-May-1999,Warsaw,3,Clay,Q2,250,202,1,,5,Maria Jose Gaidano,Eva Martincova,7-6 1-6 6-3,,,,,,,,,,,,,,
3-May-1999,Warsaw,3,Clay,Q1,250,,1,,WC,Maria Jose Gaidano,Agata Cioroch,6-3 6-0,,,,,,,,,,,,,,
5-Apr-1999,Amelia Island,3,Clay,R64,274,26,0,Q,11,Magui Serna,Maria Jose Gaidano,6-3 6-2,,,,,,,,,,,,,,
5-Apr-1999,Amelia Island,3,Clay,Q2,274,106,1,,3,Maria Jose Gaidano,Alexandra Stevenson,6-1 6-4,,,,,,,,,,,,,,
5-Apr-1999,Amelia Island,3,Clay,Q1,274,,1,,,Maria Jose Gaidano,Radomira Zrubakova,6-7 6-3 6-1,,,,,,,,,,,,,,
22-Mar-1999,Atlanta 25K,3,Hard,R32,281,124,0,LL,Q,Julia Abe,Maria Jose Gaidano,6-3 6-0,,,,,,,,,,,,,,
8-Feb-1999,Rockford 25K,3,Hard,R16,306,137,0,LL,4,Francesca Lubiani,Maria Jose Gaidano,6-2 6-1,,,,,,,,,,,,,,
8-Feb-1999,Rockford 25K,3,Hard,R32,306,199,1,LL,,Maria Jose Gaidano,Germana Di Natale,1-6 6-4 6-1,,,,,,,,,,,,,,
7-Dec-1998,Cali 25K,3,Clay,QF,359,174,0,Q,4,Larissa Schaerer,Maria Jose Gaidano,6-2 6-4,,,,,,,,,,,,,,
7-Dec-1998,Cali 25K,3,Clay,R16,359,337,1,Q,,Maria Jose Gaidano,Julie Thu,6-1 6-3,,,,,,,,,,,,,,
7-Dec-1998,Cali 25K,3,Clay,R32,359,217,1,Q,7,Maria Jose Gaidano,Martina Nejedly,7-6 6-3,,,,,,,,,,,,,,
30-Nov-1998,Bogota 25K,3,Clay,R32,358,346,0,LL,Q,Luciana Masante,Maria Jose Gaidano,6-4 7-6,,,,,,,,,,,,,,
2-Nov-1998,Mogi Das Cruzes 25K,3,Clay,R16,390,200,0,Q,,Alicia Ortuno,Maria Jose Gaidano,6-4 6-3,,,,,,,,,,,,,,
2-Nov-1998,Mogi Das Cruzes 25K,3,Clay,R32,390,438,1,Q,WC,Maria Jose Gaidano,Eugenia Maia,6-1 6-3,,,,,,,,,,,,,,
5-Oct-1998,Santiago 25K,3,Clay,R32,,256,0,Q,,Katalin Marosi,Maria Jose Gaidano,6-7 6-4 6-2,,,,,,,,,,,,,,
28-Sep-1998,Cordoba 10K,3,Clay,R16,,387,0,Q,7,Veronica Stele,Maria Jose Gaidano,5-7 6-2 7-5,,,,,,,,,,,,,,
28-Sep-1998,Cordoba 10K,3,Clay,R32,,531,1,Q,,Maria Jose Gaidano,Maria Eugenia Rojas,6-4 6-2,,,,,,,,,,,,,,
21-Sep-1998,Tucuman 25K,3,Clay,SF,,180,0,WC,2,Larissa Schaerer,Maria Jose Gaidano,2-6 6-2 6-2,,,,,,,,,,,,,,
21-Sep-1998,Tucuman 25K,3,Clay,QF,,247,1,WC,4,Maria Jose Gaidano,Katalin Marosi,7-5 6-1,,,,,,,,,,,,,,
21-Sep-1998,Tucuman 25K,3,Clay,R16,,367,1,WC,,Maria Jose Gaidano,Melisa Arevalo,6-3 6-4,,,,,,,,,,,,,,
21-Sep-1998,Tucuman 25K,3,Clay,R32,,432,1,WC,,Maria Jose Gaidano,Kelly Liggan,7-6 6-2,,,,,,,,,,,,,,
31-Aug-1998,Manaus 25K,3,Hard,SF,,281,0,,2,Vanessa Menga,Maria Jose Gaidano,6-3 6-1,,,,,,,,,,,,,,
31-Aug-1998,Manaus 25K,3,Hard,QF,,,1,,LL,Maria Jose Gaidano,Natalia Jung,6-2 6-0,,,,,,,,,,,,,,
31-Aug-1998,Manaus 25K,3,Hard,R16,,,1,,Q,Maria Jose Gaidano,Sandra Martinovic,6-4 6-3,,,,,,,,,,,,,,
31-Aug-1998,Manaus 25K,3,Hard,R32,,532,1,,,Maria Jose Gaidano,Joanne Moore,6-3 6-4,,,,,,,,,,,,,,
25-Aug-1997,US Open,5,Hard,Q1,142,848,0,,,Rennae Stubbs,Maria Jose Gaidano,6-0 5-7 6-3,,,,,,,,,,,,,,
11-Aug-1997,Bratislava 75K,3,Clay,R16,143,71,0,,4,Gala Leon Garcia,Maria Jose Gaidano,6-3 6-3,,,,,,,,,,,,,,
11-Aug-1997,Bratislava 75K,3,Clay,R32,143,289,1,,,Maria Jose Gaidano,Laurence Courtois,7-5 3-6 7-5,,,,,,,,,,,,,,
4-Aug-1997,Sopot 75K,3,Clay,R32,133,69,0,,3,Magdalena Grzybowska,Maria Jose Gaidano,6-4 6-2,,,,,,,,,,,,,,
28-Jul-1997,Makarska 75K,3,Clay,R32,132,861,0,,WC,Jelena Kostanic Tosic,Maria Jose Gaidano,6-4 6-1,,,,,,,,,,,,,,
14-Jul-1997,Palermo,3,Clay,R32,131,146,0,,,Sandra Cecchini,Maria Jose Gaidano,6-4 6-3,,,,,,,,,,,,,,
12-Jul-1997,Fed Cup WG1 PO: SUI vs ARG,3,Carpet,RR,130,32,0,,,Patty Schnyder,Maria Jose Gaidano,6-1 6-0,,,,,,,,,,,,,,
12-Jul-1997,Fed Cup WG1 PO: SUI vs ARG,3,Carpet,RR,130,1,0,,,Martina Hingis,Maria Jose Gaidano,6-1 6-2,,,,,,,,,,,,,,
23-Jun-1997,Wimbledon,5,Grass,Q1,128,118,0,,8,Silvija Talaja,Maria Jose Gaidano,7-5 3-6 6-3,,,,,,,,,,,,,,
9-Jun-1997,Budapest 50K,3,Clay,QF,132,298,0,9,LL,Dragana Zaric,Maria Jose Gaidano,7-6 3-6 6-4,,,,,,,,,,,,,,
9-Jun-1997,Budapest 50K,3,Clay,R16,132,269,1,9,Q,Maria Jose Gaidano,Adriana Barna,7-6 7-6,,,,,,,,,,,,,,
9-Jun-1997,Budapest 50K,3,Clay,R32,132,225,1,9,LL,Maria Jose Gaidano,Laurence Andretto,6-1 6-1,,,,,,,,,,,,,,
26-May-1997,French Open,3,Clay,Q3,145,339,0,,WC,Emmanuelle Curutchet,Maria Jose Gaidano,6-2 6-3,,,,,,,,,,,,,,
26-May-1997,French Open,3,Clay,Q2,145,152,1,,,Maria Jose Gaidano,Seda Noorlander,6-1 6-4,,,,,,,,,,,,,,
