Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
5-Jul-2004,Sidi Fredj 10K,3,Clay,R32,1013,983,0,,,Joanne Akl,Maria Krasnova,6-1 6-2,,,,,,,,,,,,,,
28-Jun-2004,Tlemcen 10K,3,Clay,R32,1013,733,0,,5,Nikoleta Kipritidou,Maria Krasnova,7-5 6-1,,,,,,,,,,,,,,
27-Oct-2003,Lagos 10K,3,Hard,R16,1020,767,0,,7,Anna Maria Miller,Maria Krasnova,6-4 6-2,,,,,,,,,,,,,,
27-Oct-2003,Lagos 10K,3,Hard,R32,1020,941,1,,,Maria Krasnova,Ana Abramovic,6-3 6-4,,,,,,,,,,,,,,
20-Oct-2003,Lagos 10K,3,Hard,R32,1033,697,0,,5,Yomna Farid,Maria Krasnova,6-3 6-1,,,,,,,,,,,,,,
15-Sep-2003,Sidi Fredj 10K,3,Clay,R32,,531,0,Q,2,Karina Ildor Jacobsgaard,Maria Krasnova,6-1 6-0,,,,,,,,,,,,,,
8-Sep-2003,Tlemcen 10K,3,Clay,R16,,,0,,,Anna Rynarzewska,Maria Krasnova,3-6 6-3 6-1,,,,,,,,,,,,,,
8-Sep-2003,Tlemcen 10K,3,Clay,R32,,957,1,,6,Maria Krasnova,Jessica Weyreuter,6-3 6-1,,,,,,,,,,,,,,
1-Sep-2003,Ben Aknoun 10K,3,Clay,R16,,953,0,,6,Anna Maria Miller,Maria Krasnova,6-1 6-7(5) 6-3,,,,,,,,,,,,,,
1-Sep-2003,Ben Aknoun 10K,3,Clay,R32,,,1,,,Maria Krasnova,Assia Halo,2-6 6-3 6-3,,,,,,,,,,,,,,
30-Jun-2003,Balashikha 10K,3,Clay,R32,,798,0,WC,,Iryna Bremond,Maria Krasnova,6-2 6-2,,,,,,,,,,,,,,
