Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
6-Feb-1989,Wellington,3,Hard,Q3,232,191,0,7,1,Karin Kschwendt,Marielle Rooimans,6-3 6-3,,,,,,,,,,,,,,
6-Feb-1989,Wellington,3,Hard,Q2,232,256,1,7,,Marielle Rooimans,Jennifer Fuchs,6-2 6-2,,,,,,,,,,,,,,
6-Feb-1989,Wellington,3,Hard,Q1,232,,1,7,,Marielle Rooimans,Jacqueline Gunthorp,6-2 7-5,,,,,,,,,,,,,,
30-Jan-1989,Auckland,3,Hard,Q2,232,138,0,,3,Liz Smylie,Marielle Rooimans,6-2 6-2,,,,,,,,,,,,,,
30-Jan-1989,Auckland,3,Hard,Q1,232,239,1,,,Marielle Rooimans,Hellas Ter Riet,6-2 6-2,,,,,,,,,,,,,,
16-Jan-1989,Australian Open,5,Hard,Q2,241,224,0,,14,Hellas Ter Riet,Marielle Rooimans,6-4 6-3,,,,,,,,,,,,,,
16-Jan-1989,Australian Open,5,Hard,Q1,241,239,1,,,Marielle Rooimans,Molly Van Nostrand,5-7 6-3 6-4,,,,,,,,,,,,,,
7-Nov-1988,Guaruja,3,Hard,R16,278,32,0,,2,Neige Dias,Marielle Rooimans,6-4 5-7 6-0,,,,,,,,,,,,,,
7-Nov-1988,Guaruja,3,Hard,R32,278,232,1,,Q,Marielle Rooimans,Janet Souto Garcia,7-6 5-7 6-3,,,,,,,,,,,,,,
31-Oct-1988,ITF Sao Paulo,3,Clay,R32,279,,0,,,Anne Aallonen,Marielle Rooimans,1-6 7-6 6-4,,,,,,,,,,,,,,
24-Oct-1988,ITF Montevideo,3,Clay,R16,279,,0,2,,Mary Norwood,Marielle Rooimans,2-6 6-4 6-2,,,,,,,,,,,,,,
24-Oct-1988,ITF Montevideo,3,Clay,R32,279,,1,2,,Marielle Rooimans,Laura Randmaa,7-5 6-4,,,,,,,,,,,,,,
17-Oct-1988,ITF Buenos Aires,3,Clay,R32,276,,0,2,,Federica Haumuller,Marielle Rooimans,7-6 6-4,,,,,,,,,,,,,,
18-Jul-1988,ITF Amersfoort,3,Clay,F,271,,1,1,3,Marielle Rooimans,Yvonne Grubben,6-2 6-2,,,,,,,,,,,,,,
18-Jul-1988,ITF Amersfoort,3,Clay,SF,271,,1,1,4,Marielle Rooimans,Gudrun Levers,6-3 6-3,,,,,,,,,,,,,,
18-Jul-1988,ITF Amersfoort,3,Clay,QF,271,,1,1,,Marielle Rooimans,Katalin Darvas,6-4 6-2,,,,,,,,,,,,,,
18-Jul-1988,ITF Amersfoort,3,Clay,R16,271,,1,1,,Marielle Rooimans,Christie Bourke,6-1 6-0,,,,,,,,,,,,,,
6-Jun-1988,ITF Modena,3,Clay,R32,285,223,0,,2,Kim Labuschagne,Marielle Rooimans,6-1 6-3,,,,,,,,,,,,,,
30-May-1988,ITF Adria,3,Clay,R16,284,251,0,,7,Gabriela Mosca,Marielle Rooimans,4-6 6-4 6-4,,,,,,,,,,,,,,
30-May-1988,ITF Adria,3,Clay,R32,284,281,1,,,Marielle Rooimans,Jennifer Goodling,6-4 6-1,,,,,,,,,,,,,,
25-Apr-1988,Barcelona,3,Clay,Q2,274,334,0,7,,Rosa Bielsa Hierro,Marielle Rooimans,6-0 4-6 7-5,,,,,,,,,,,,,,
25-Apr-1988,Barcelona,3,Clay,Q1,274,,1,7,,Marielle Rooimans,Sonsoles Hurtado,6-3 6-3,,,,,,,,,,,,,,
21-Mar-1988,ITF Ramat Hasharon,3,Hard,F,,344,0,2,1,Amanda Coetzer,Marielle Rooimans,6-3 6-1,,,,,,,,,,,,,,
21-Mar-1988,ITF Ramat Hasharon,3,Hard,SF,,364,1,2,,Marielle Rooimans,Anne Aallonen,6-4 6-3,,,,,,,,,,,,,,
21-Mar-1988,ITF Ramat Hasharon,3,Hard,QF,,,1,2,,Marielle Rooimans,Xanthe Adams,1-0 RET,,,,,,,,,,,,,,
