Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
24-Jan-1966,Fort Lauderdale,3,Clay,QF,,,0,,,Nancy Reed,Marilyn Stock,6-2 6-3,,,,,,,,,,,,,,
24-Jan-1966,Fort Lauderdale,3,Clay,R16,,,1,,,Marilyn Stock,Betty Potosa,6-1 1-6 6-0,,,,,,,,,,,,,,
17-Jan-1966,Miami,3,Clay,SF,,,0,,,Stephanie Defina,Marilyn Stock,6-2 6-2,,,,,,,,,,,,,,
17-Jan-1966,Miami,3,Clay,QF,,,1,,,Marilyn Stock,Sherry Bedingfield,6-2 8-6,,,,,,,,,,,,,,
17-Jan-1966,Miami,3,Clay,R16,,,1,,,Marilyn Stock,Maria Mejides,4-6 6-2 8-6,,,,,,,,,,,,,,
19-May-1964,Roland Garros,5,Clay,R64,,,0,,10,Annette Van Zyl,Marilyn Stock,6-2 6-1,,,,,,,,,,,,,,
23-Jan-1961,Fort Lauderdale,3,Clay,SF,,,0,,,Mary Habicht,Marilyn Stock,6-0 6-2,,,,,,,,,,,,,,
23-Jan-1961,Fort Lauderdale,3,Clay,QF,,,1,,,Marilyn Stock,Elizabeth Crady,6-1 6-0,,,,,,,,,,,,,,
16-Jan-1961,Miami,3,Clay,SF,,,0,,,Ann Barclay,Marilyn Stock,6-1 6-1,,,,,,,,,,,,,,
16-Jan-1961,Miami,3,Clay,QF,,,1,,,Marilyn Stock,June Harbett,6-0 6-0,,,,,,,,,,,,,,
17-Oct-1960,Delray Beach,3,Clay,QF,,,0,,,Carol Ann Kalogeropoulos,Marilyn Stock,6-1 6-3,,,,,,,,,,,,,,
25-Feb-1960,Miami Beach,3,Clay,QF,,,0,,,Barbara Scofield,Marilyn Stock,6-1 6-3,,,,,,,,,,,,,,
25-Feb-1960,Miami Beach,3,Clay,R16,,,1,,,Marilyn Stock,Evelyn Cowan Clark,6-1 6-3,,,,,,,,,,,,,,
18-Jan-1960,Miami,3,Clay,F,,,1,,,Marilyn Stock,Margaret Demogenes,0-6 6-4 6-4,,,,,,,,,,,,,,
18-Jan-1960,Miami,3,Clay,SF,,,1,,,Marilyn Stock,Margaret Babbitt,6-4 6-0,,,,,,,,,,,,,,
6-Apr-1959,Miami Beach,3,,R32,,,0,,,Christiane Mercelis,Marilyn Stock,6-0 6-4,,,,,,,,,,,,,,
16-Feb-1959,Miami,3,Clay,SF,,,0,,,Marie Toomey,Marilyn Stock,6-1 8-6,,,,,,,,,,,,,,
16-Feb-1959,Miami,3,Clay,QF,,,1,,,Marilyn Stock,Mary Habicht,5-7 6-3 6-4,,,,,,,,,,,,,,
24-Feb-1958,Miami,3,,QF,,,0,,,Lois Felix,Marilyn Stock,6-0 6-1,,,,,,,,,,,,,,
24-Feb-1958,Miami,3,,R16,,,1,,,Marilyn Stock,Edith Blake,6-1 6-1,,,,,,,,,,,,,,
14-Nov-1957,Coral Gables 2,3,Clay,F,,,0,,,Sally Hitt,Marilyn Stock,6-0 6-4,,,,,,,,,,,,,,
18-Mar-1957,Miami Good Neighbor,3,Clay,R16,,,0,,,Mimi Wheeler,Marilyn Stock,6-1 6-1,,,,,,,,,,,,,,
18-Feb-1957,Miami City,3,Clay,F,,,0,,,Marta Hernandez,Marilyn Stock,6-2 4-6 6-4,,,,,,,,,,,,,,
18-Feb-1957,Miami City,3,Clay,SF,,,1,,,Marilyn Stock,Duce Van Den Bosch,6-2 6-3,,,,,,,,,,,,,,
18-Feb-1957,Miami City,3,Clay,QF,,,1,,,Marilyn Stock,Mary Gallagher,6-3 6-2,,,,,,,,,,,,,,
18-Feb-1957,Miami City,3,Clay,R16,,,1,,,Marilyn Stock,Thona Aanonsen,6-1 6-1,,,,,,,,,,,,,,
22-Nov-1956,Orlando State,3,,R16,,,0,,,Carol Ann Kalogeropoulos,Marilyn Stock,8-6 5-7 6-3,,,,,,,,,,,,,,
1-Sep-1956,US National Championships,3,Grass,R64,,,0,,,Rosie Reyes,Marilyn Stock,7-5 6-1,,,,,,,,,,,,,,
14-Aug-1956,Manchester-on-Sea,3,Grass,R32,,,0,,,Lois Felix,Marilyn Stock,6-2 6-2,,,,,,,,,,,,,,
6-Aug-1956,Orange,3,Grass,R64,,,0,,,Connie Bowan,Marilyn Stock,6-3 5-7 6-4,,,,,,,,,,,,,,
23-Jul-1956,Haverford,3,,R64,,,0,,,Betty Clement,Marilyn Stock,7-5 6-4,,,,,,,,,,,,,,
16-Jul-1956,River Forest,3,Clay,R32,,,0,,,Lois Felix,Marilyn Stock,6-0 7-5,,,,,,,,,,,,,,
16-Jul-1956,River Forest,3,Clay,R64,,,1,,,Marilyn Stock,Pat Eisendrath,6-0 6-2,,,,,,,,,,,,,,
9-Jul-1956,Indianapolis,3,,R32,,,0,,,Janet Hopps,Marilyn Stock,6-1 6-2,,,,,,,,,,,,,,
25-Jun-1956,Little Rock,3,,SF,,,0,,,Karol Fageros,Marilyn Stock,6-1 6-2,,,,,,,,,,,,,,
25-Jun-1956,Little Rock,3,,QF,,,1,,,Marilyn Stock,Doris Popple,6-2 7-5,,,,,,,,,,,,,,
25-Jun-1956,Little Rock,3,,R16,,,1,,,Marilyn Stock,Sara Mae Turber,3-6 6-2 6-3,,,,,,,,,,,,,,
18-Jun-1956,Atlanta,3,,R16,,,0,,,Karol Fageros,Marilyn Stock,6-1 6-1,,,,,,,,,,,,,,
18-Jun-1956,Atlanta,3,,R32,,,1,,,Marilyn Stock,Julie Copeland,6-4 6-8 6-3,,,,,,,,,,,,,,
11-Jun-1956,Montgomery,3,,QF,,,0,,,Marta Hernandez,Marilyn Stock,6-2 6-4,,,,,,,,,,,,,,
7-Jun-1956,Birmingham Dixieland,3,,SF,,,0,,,Evelyn Cowan Clark,Marilyn Stock,6-3 4-6 6-2,,,,,,,,,,,,,,
7-Jun-1956,Birmingham Dixieland,3,,QF,,,1,,,Marilyn Stock,Mary Louise Fowler,7-5 6-0,,,,,,,,,,,,,,
2-Feb-1956,Fort Lauderdale,3,,F,,,1,,,Marilyn Stock,Lois Miller,6-0 6-3,,,,,,,,,,,,,,
2-Feb-1956,Fort Lauderdale,3,,SF,,,1,,,Marilyn Stock,Gretchen Sommerfield,6-2 6-4,,,,,,,,,,,,,,
2-Feb-1956,Fort Lauderdale,3,,QF,,,1,,,Marilyn Stock,Lynn Kernwein,6-3 6-2,,,,,,,,,,,,,,
23-Jan-1956,Hollywood,3,Clay,F,,,0,,,Shirley Fry,Marilyn Stock,6-0 6-2,,,,,,,,,,,,,,
23-Jan-1956,Hollywood,3,Clay,SF,,,1,,,Marilyn Stock,Lois Miller,6-4 7-5,,,,,,,,,,,,,,
23-Jan-1956,Hollywood,3,Clay,QF,,,1,,,Marilyn Stock,Anne Bagge,7-5 6-4,,,,,,,,,,,,,,
16-Jan-1956,Coral Gables,3,Clay,QF,,,0,,,Shirley Fry,Marilyn Stock,6-3 6-0,,,,,,,,,,,,,,
16-Jan-1956,Coral Gables,3,Clay,R16,,,1,,,Marilyn Stock,Beth Froehling,7-5 6-3,,,,,,,,,,,,,,
9-Jan-1956,St. Petersburg,3,Clay,QF,,,0,,2,Dorothy Knode,Marilyn Stock,6-0 6-1,,,,,,,,,,,,,,
9-Jan-1956,St. Petersburg,3,Clay,R16,,,1,,,Marilyn Stock,Mary Louise Fowler,6-1 6-3,,,,,,,,,,,,,,
21-Nov-1955,Orlando State,3,,SF,,,0,,,Pat Shaffer,Marilyn Stock,6-4 4-6 6-4,,,,,,,,,,,,,,
10-Feb-1955,Coral Gables,3,Clay,SF,,,0,,,Shirley Fry,Marilyn Stock,4-6 8-6 6-1,,,,,,,,,,,,,,
10-Feb-1955,Coral Gables,3,Clay,QF,,,1,,,Marilyn Stock,Margaret Babbitt,6-2 5-5 RET,,,,,,,,,,,,,,
7-Feb-1955,Hollywood,3,,F,,,0,,,Karol Fageros,Marilyn Stock,9-7 10-8,,,,,,,,,,,,,,
7-Feb-1955,Hollywood,3,,SF,,,1,,,Marilyn Stock,Lois Miller,6-2 6-2,,,,,,,,,,,,,,
7-Feb-1955,Hollywood,3,,QF,,,1,,,Marilyn Stock,Maureen Campbell,6-0 6-1,,,,,,,,,,,,,,
31-Jan-1955,Fort Lauderdale,3,Clay,F,,,0,,,Karol Fageros,Marilyn Stock,6-2 6-2,,,,,,,,,,,,,,
31-Jan-1955,Fort Lauderdale,3,Clay,SF,,,1,,,Marilyn Stock,Duce Van Den Bosch,6-4 6-3,,,,,,,,,,,,,,
31-Jan-1955,Fort Lauderdale,3,Clay,QF,,,1,,,Marilyn Stock,Annabelle Root,6-1 6-4,,,,,,,,,,,,,,
24-Jan-1955,West Palm Beach,3,Clay,SF,,,0,,,Mildred Thornton,Marilyn Stock,6-4 6-4,,,,,,,,,,,,,,
24-Jan-1955,West Palm Beach,3,Clay,QF,,,1,,,Marilyn Stock,Judy Bygate,6-0 6-0,,,,,,,,,,,,,,
28-Aug-1954,US National Championships,3,Grass,R64,,,0,,,Isabelle Troccole,Marilyn Stock,6-3 6-1,,,,,,,,,,,,,,
5-Apr-1954,Coral Gables,3,,QF,,,0,,,Doris Hart,Marilyn Stock,6-0 6-2,,,,,,,,,,,,,,
22-Feb-1954,Miami,3,,R16,,,0,,,Doris Hart,Marilyn Stock,6-2 6-2,,,,,,,,,,,,,,
15-Feb-1954,Coral Gables Invitational,3,Clay,R16,,,0,,,Marta Barnett,Marilyn Stock,6-4 6-4,,,,,,,,,,,,,,
8-Feb-1954,Hollywood,3,,QF,,,0,,,Mildred Thornton,Marilyn Stock,7-5 6-4,,,,,,,,,,,,,,
1-Feb-1954,Fort Lauderdale,3,,QF,,,0,,,Laura Lou Jahn,Marilyn Stock,6-4 6-0,,,,,,,,,,,,,,
1-Feb-1954,Fort Lauderdale,3,,R16,,,1,,,Marilyn Stock,Shirley Hill,6-3 6-3,,,,,,,,,,,,,,
