Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
14-Jan-2013,Antalya 10K,3,Clay,R32,,573,0,SE,,Mi Yoo,Marrit Boonstra,6-3 5-7 6-3,,,,,,,,,,,,,,
7-Jan-2013,Antalya 10K,3,Clay,F,,331,0,,1,Reka Luca Jani,Marrit Boonstra,6-1 1-6 7-6(4),,,,,,,,,,,,,,
7-Jan-2013,Antalya 10K,3,Clay,SF,,414,1,,3,Marrit Boonstra,Melis Sezer,6-1 7-6(3),,,,,,,,,,,,,,
7-Jan-2013,Antalya 10K,3,Clay,QF,,580,1,,8,Marrit Boonstra,Raluca Elena Platon,7-5 6-4,,,,,,,,,,,,,,
7-Jan-2013,Antalya 10K,3,Clay,R16,,,1,,,Marrit Boonstra,Irina Glimakova,6-0 6-2,,,,,,,,,,,,,,
7-Jan-2013,Antalya 10K,3,Clay,R32,,345,1,,2,Marrit Boonstra,Isabella Shinikova,7-5 6-3,,,,,,,,,,,,,,
11-Jun-2012,Meppel 10K,3,Clay,R16,,517,0,WC,,Nicolette Van Uitert,Marrit Boonstra,6-3 6-2,,,,,,,,,,,,,,
11-Jun-2012,Meppel 10K,3,Clay,R32,,442,1,WC,4,Marrit Boonstra,Gabriela Ce,6-4 6-3,,,,,,,,,,,,,,
26-Sep-2011,Amelia Island FL 10K,3,Clay,QF,,969,0,Q,,Federica Grazioso,Marrit Boonstra,6-3 6-4,,,,,,,,,,,,,,
26-Sep-2011,Amelia Island FL 10K,3,Clay,R16,,586,1,Q,2,Marrit Boonstra,Fatma Al Nabhani,7-5 6-4,,,,,,,,,,,,,,
26-Sep-2011,Amelia Island FL 10K,3,Clay,R32,,,1,Q,Q,Marrit Boonstra,Joanna Mather,6-2 6-2,,,,,,,,,,,,,,
16-Jun-2008,Alkmaar 10K,3,Clay,R16,,516,0,Q,7,Lesia Tsurenko,Marrit Boonstra,6-3 7-5,,,,,,,,,,,,,,
16-Jun-2008,Alkmaar 10K,3,Clay,R32,,589,1,Q,,Marrit Boonstra,Ima Bohush,6-1 3-6 6-3,,,,,,,,,,,,,,
27-Nov-2006,Tel Aviv Q in Ramat Hasharon 10K,3,Hard,R16,672,714,0,,,Marlot Meddens,Marrit Boonstra,6-2 3-6 6-3,,,,,,,,,,,,,,
27-Nov-2006,Tel Aviv Q in Ramat Hasharon 10K,3,Hard,R32,672,,1,,,Marrit Boonstra,Hila Elster,6-1 6-4,,,,,,,,,,,,,,
20-Nov-2006,Ramat Hasharon 10K,3,Hard,SF,675,497,0,,5,Neuza Silva,Marrit Boonstra,6-2 6-3,,,,,,,,,,,,,,
20-Nov-2006,Ramat Hasharon 10K,3,Hard,QF,675,672,1,,,Marrit Boonstra,Marlot Meddens,7-6(3) 1-6 6-3,,,,,,,,,,,,,,
20-Nov-2006,Ramat Hasharon 10K,3,Hard,R16,675,540,1,,6,Marrit Boonstra,Yulia Solonitskaya,6-4 6-2,,,,,,,,,,,,,,
20-Nov-2006,Ramat Hasharon 10K,3,Hard,R32,675,,1,,WC,Marrit Boonstra,Olga Blank,6-0 6-3,,,,,,,,,,,,,,
6-Nov-2006,Redbridge 10K,3,Hard,R16,694,674,0,,7,Martina Pavelec,Marrit Boonstra,7-5 6-4,,,,,,,,,,,,,,
6-Nov-2006,Redbridge 10K,3,Hard,R32,694,,1,,WC,Marrit Boonstra,Samantha Vickers,6-2 7-6(6),,,,,,,,,,,,,,
17-Jul-2006,Zwevegem 25K,3,Clay,R32,688,465,0,Q,Q,Mari Andersson,Marrit Boonstra,6-1 6-3,,,,,,,,,,,,,,
19-Jun-2006,'s-Hertogenbosch,3,Grass,R32,562,29,0,WC,8,Jelena Jankovic,Marrit Boonstra,6-3 6-0,,,,,,,,,,,,,,
1-May-2006,Bournemouth 10K,3,Clay,F,670,575,1,,2,Marrit Boonstra,Biljana Pawlowa Dimitrova,6-3 6-0,,,,,,,,,,,,,,
1-May-2006,Bournemouth 10K,3,Clay,SF,670,754,1,,,Marrit Boonstra,Bibiane Schoofs,W/O,,,,,,,,,,,,,,
1-May-2006,Bournemouth 10K,3,Clay,QF,670,791,1,,,Marrit Boonstra,Alice Balducci,7-6(5) 5-7 6-3,,,,,,,,,,,,,,
1-May-2006,Bournemouth 10K,3,Clay,R16,670,652,1,,7,Marrit Boonstra,Georgie Gent,3-6 7-5 6-2,,,,,,,,,,,,,,
1-May-2006,Bournemouth 10K,3,Clay,R32,670,825,1,,,Marrit Boonstra,Shana Claes,2-6 6-4 6-3,,,,,,,,,,,,,,
20-Mar-2006,Miami Q,3,Hard,Q1,688,112,0,WC,23,Yvonne Meusburger,Marrit Boonstra,6-3 7-5,,,,,,,,,,,,,,
27-Feb-2006,Raanana 10K,3,Hard,R16,707,1009,0,WC,,Julia Glushko,Marrit Boonstra,7-5 6-2,,,,,,,,,,,,,,
