Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
28-Aug-1995,ITF Bad Nauheim,3,Clay,R32,759,472,0,,6,Magali Lamarre,Martina Pawlik,5-7 6-4 6-1,,,,,,,,,,,,,,
20-Feb-1995,ITF Carvoeiro,3,Hard,R16,682,599,1,,,Martina Pawlik,Athina Briegel,6-3 6-1,,,,,,,,,,,,,,
20-Feb-1995,ITF Carvoeiro,3,Hard,R32,682,543,1,,5,Martina Pawlik,Jindra Gabrisova,6-2 6-3,,,,,,,,,,,,,,
13-Feb-1995,ITF Faro,3,Hard,QF,694,563,0,,,Amelie Cocheteux,Martina Pawlik,7-6(0) 6-2,,,,,,,,,,,,,,
13-Feb-1995,ITF Faro,3,Hard,R16,694,175,1,,1,Martina Pawlik,Sofia Prazeres,7-6(7) 6-2,,,,,,,,,,,,,,
13-Feb-1995,ITF Faro,3,Hard,R32,694,728,1,,,Martina Pawlik,Daniela Cocos,6-1 3-0 RET,,,,,,,,,,,,,,
14-Nov-1994,ITF Bad Gogging,3,Carpet,Q1,656,530,0,,,Ivana Havrlikova,Martina Pawlik,0-6 6-3 6-4,,,,,,,,,,,,,,
29-Aug-1994,ITF Marina Di Mas,3,Clay,R32,,,0,,,Martine Vosseberg,Martina Pawlik,6-3 6-3,,,,,,,,,,,,,,
8-Aug-1994,ITF Paderborn,3,Clay,F,,,1,,4,Martina Pawlik,Mirela Vladulescu,7-6(2) 6-4,,,,,,,,,,,,,,
8-Aug-1994,ITF Paderborn,3,Clay,SF,,,1,,8,Martina Pawlik,Karolina Petrikova,7-5 6-4,,,,,,,,,,,,,,
8-Aug-1994,ITF Paderborn,3,Clay,QF,,,1,,,Martina Pawlik,Eva Belbl,6-2 6-0,,,,,,,,,,,,,,
8-Aug-1994,ITF Paderborn,3,Clay,R16,,,1,,,Martina Pawlik,Natalia Biletskaia,6-2 6-3,,,,,,,,,,,,,,
8-Aug-1994,ITF Paderborn,3,Clay,R32,,,1,,,Martina Pawlik,Julia Abe,5-7 6-3 6-0,,,,,,,,,,,,,,
7-Feb-1994,ITF Faro 1,3,Hard,R16,,,0,,,Sylvia Rynarzewska,Martina Pawlik,3-0 RET,,,,,,,,,,,,,,
7-Feb-1994,ITF Faro 1,3,Hard,R32,,,1,,3,Martina Pawlik,Rita Kuti Kis,6-3 6-1,,,,,,,,,,,,,,
26-Jul-1993,ITF Istanbul,3,Clay,R32,,,0,,4,In Sook Park,Martina Pawlik,6-1 6-1,,,,,,,,,,,,,,
12-Jul-1993,ITF Frinton,3,Grass,R16,,425,0,,5,Yuka Yoshida,Martina Pawlik,6-4 6-0,,,,,,,,,,,,,,
12-Jul-1993,ITF Frinton,3,Grass,R32,,,1,,,Martina Pawlik,Tina Croson,6-0 6-2,,,,,,,,,,,,,,
14-Jun-1993,ITF Maribor,3,Clay,R32,,364,0,,3,Zuzana Nemsakova,Martina Pawlik,7-6(5) 6-2,,,,,,,,,,,,,,
27-Jul-1992,ITF Rheda Weiderbruck,3,Clay,R32,505,261,0,,,Heidi Sprung,Martina Pawlik,6-3 6-2,,,,,,,,,,,,,,
20-Jul-1992,ITF Darmstadt,3,Clay,R32,528,276,0,,,Julia Jehs,Martina Pawlik,6-3 6-4,,,,,,,,,,,,,,
13-Jul-1992,ITF Sezze,3,Clay,R32,297,268,0,,,Eva Melicharova,Martina Pawlik,6-4 6-4,,,,,,,,,,,,,,
6-Jul-1992,ITF Erlangen,3,Clay,QF,276,159,0,,2,Anna Foldenyi Dicker,Martina Pawlik,6-3 6-2,,,,,,,,,,,,,,
6-Jul-1992,ITF Erlangen,3,Clay,R16,276,205,1,,7,Martina Pawlik,Kristine Kunce,6-1 1-6 6-1,,,,,,,,,,,,,,
6-Jul-1992,ITF Erlangen,3,Clay,R32,276,236,1,,,Martina Pawlik,Claire Wegink,6-4 6-4,,,,,,,,,,,,,,
22-Jun-1992,ITF Reggio Emilia,3,Clay,Q1,280,442,0,4,,Svetlana Komleva,Martina Pawlik,6-3 1-6 6-4,,,,,,,,,,,,,,
30-Mar-1992,ITF Moulins,3,Hard,R32,259,384,0,,,Caroline Vis,Martina Pawlik,6-4 6-2,,,,,,,,,,,,,,
15-Jul-1991,ITF Darmstadt,3,Clay,F,395,171,1,,2,Martina Pawlik,Maja Zivec Skulj,1-6 6-3 7-6,,,,,,,,,,,,,,
15-Jul-1991,ITF Darmstadt,3,Clay,SF,395,,1,,3,Martina Pawlik,Andrea Mueller,6-3 7-5,,,,,,,,,,,,,,
15-Jul-1991,ITF Darmstadt,3,Clay,QF,395,304,1,,7,Martina Pawlik,Henrike Kadzidroga,6-2 1-6 6-3,,,,,,,,,,,,,,
15-Jul-1991,ITF Darmstadt,3,Clay,R16,395,98,1,,1,Martina Pawlik,Catherine Mothes Jobkel,6-1 6-3,,,,,,,,,,,,,,
15-Jul-1991,ITF Darmstadt,3,Clay,R32,395,397,1,,,Martina Pawlik,Angelique Olivier,7-6 6-2,,,,,,,,,,,,,,
15-Jul-1991,ITF Darmstadt,3,Clay,Q3,395,453,1,1,5,Martina Pawlik,Ana Larrakoetxea,6-1 7-6,,,,,,,,,,,,,,
15-Jul-1991,ITF Darmstadt,3,Clay,Q2,395,,1,1,,Martina Pawlik,Petra Begerow,6-3 6-0,,,,,,,,,,,,,,
15-Jul-1991,ITF Darmstadt,3,Clay,Q1,395,,1,1,,Martina Pawlik,Astrid Ruhr,6-1 6-0,,,,,,,,,,,,,,
8-Jul-1991,ITF Erlangen,3,Clay,R16,393,369,0,,,Jennifer Santrock,Martina Pawlik,1-6 6-3 7-6,,,,,,,,,,,,,,
8-Jul-1991,ITF Erlangen,3,Clay,R32,393,268,1,,,Martina Pawlik,Ruxandra Dragomir Ilie,6-2 6-0,,,,,,,,,,,,,,
8-Jul-1991,ITF Erlangen,3,Clay,Q3,393,399,0,,,Tina Krizan,Martina Pawlik,6-4 1-6 7-5,,,,,,,,,,,,,,
8-Jul-1991,ITF Erlangen,3,Clay,Q2,393,329,1,,7,Martina Pawlik,Silvia Ramon Cortes,6-3 7-6,,,,,,,,,,,,,,
8-Jul-1991,ITF Erlangen,3,Clay,Q1,393,,1,,,Martina Pawlik,Julia Jehs,6-3 7-5,,,,,,,,,,,,,,
22-Apr-1991,Bol Island,3,Clay,Q1,363,282,0,,,Rosa Bielsa Hierro,Martina Pawlik,6-1 6-3,,,,,,,,,,,,,,
1-Apr-1991,ITF Moulins,3,Carpet,R16,233,165,0,,,Marketa Kochta,Martina Pawlik,6-0 6-1,,,,,,,,,,,,,,
1-Apr-1991,ITF Moulins,3,Carpet,R32,233,256,1,,,Martina Pawlik,Eva Krapl,7-6 4-6 6-4,,,,,,,,,,,,,,
11-Feb-1991,ITF Key Biscayne 1,3,Hard,R32,230,370,0,,,Niurka Sodupe,Martina Pawlik,6-1 6-3,,,,,,,,,,,,,,
12-Nov-1990,ITF Swindon,3,Carpet,R16,240,,0,,4,Andrea Mueller,Martina Pawlik,3-6 7-5 6-1,,,,,,,,,,,,,,
12-Nov-1990,ITF Swindon,3,Carpet,R32,240,242,1,,,Martina Pawlik,Helen Van Den Berg,6-2 6-2,,,,,,,,,,,,,,
