Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
14-Aug-1933,Hampton ATA Chps,3,,R16,,,0,,,Frances Gittens,Mary Ann Seames,6-3 6-1,,,,,,,,,,,,,,
14-Aug-1933,Hampton ATA Chps,3,,R32,,,1,,,Mary Ann Seames,Imogene Brice,5-7 6-4 6-0,,,,,,,,,,,,,,
15-Aug-1932,Scotch Plains ATA Chps,3,,R32,,,0,,,Frances Gittens,Mary Ann Seames,6-3 6-3,,,,,,,,,,,,,,
8-Aug-1932,Cincinnati Mid-Western,3,,F,,,0,,,Fredonia Bundy,Mary Ann Seames,6-3 10-8,,,,,,,,,,,,,,
3-Aug-1931,Louisville,3,,F,,,0,,,Rhoda Smith,Mary Ann Seames,6-4 6-3,,,,,,,,,,,,,,
18-Aug-1930,Indianapolis ATA Chps,3,,R32,,,0,,,Rhoda Smith,Mary Ann Seames,10-8 7-5,,,,,,,,,,,,,,
2-Aug-1930,Chicago Open,3,Grass,SF,,,0,,,Lulu Porter,Mary Ann Seames,6-1 6-2,,,,,,,,,,,,,,
12-Aug-1929,Harlem,3,,QF,,,0,,,Frances Gittens,Mary Ann Seames,6-1 6-1,,,,,,,,,,,,,,
12-Aug-1929,Harlem,3,,R16,,,1,,,Mary Ann Seames,M Griffin,6-3 6-0,,,,,,,,,,,,,,
20-Aug-1928,Bordentown ATA Chps,3,,R64,,,0,,,Lulu Porter,Mary Ann Seames,6-0 6-4,,,,,,,,,,,,,,
16-Aug-1926,St. Louis ATA Chps,3,,QF,,,0,,,Ora Washington,Mary Ann Seames,6-1 6-4,,,,,,,,,,,,,,
16-Aug-1926,St. Louis ATA Chps,3,,R16,,,1,,,Mary Ann Seames,Winifred Ball,7-5 6-4,,,,,,,,,,,,,,
12-Aug-1926,Chicago Midwestern Chps,3,,SF,,,0,,,Dorothy Ewell,Mary Ann Seames,6-2 6-3,,,,,,,,,,,,,,
10-Aug-1925,Wilmington Open,3,,SF,,,0,,,Lula Ballard,Mary Ann Seames,6-4 6-4,,,,,,,,,,,,,,
22-Jun-1925,Wilberforce,3,,F,,,0,,,Dorothy Ewell,Mary Ann Seames,UNK,,,,,,,,,,,,,,
22-Jun-1925,Wilberforce,3,,SF,,,1,,,Mary Ann Seames,M L Tate,?-? ?-?,,,,,,,,,,,,,,
