Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
22-Feb-1965,Tampa,3,Clay,R32,,,0,,,Elena Subirats,Mary Arfaras,6-1 6-1,,,,,,,,,,,,,,
4-Apr-1964,Clearwater,3,,F,,,0,,,Alice Tym,Mary Arfaras,3-6 6-2 6-1,,,,,,,,,,,,,,
4-Apr-1964,Clearwater,3,,SF,,,1,,,Mary Arfaras,Sara Sansbury,6-2 4-6 6-1,,,,,,,,,,,,,,
24-Feb-1964,Tampa,3,Clay,QF,,,0,,,Rita Bentley,Mary Arfaras,6-0 6-2,,,,,,,,,,,,,,
24-Feb-1964,Tampa,3,Clay,R16,,,1,,,Mary Arfaras,Francoise Savy,6-2 6-1,,,,,,,,,,,,,,
28-Aug-1963,US National Championships,3,Grass,R128,,,0,,,Barbara Menoff,Mary Arfaras,6-1 6-4,,,,,,,,,,,,,,
3-Jun-1963,Mobile,3,,SF,,,0,,,Peggy Moore,Mary Arfaras,7-5 4-6 7-5,,,,,,,,,,,,,,
3-Jun-1963,Mobile,3,,QF,,,1,,,Mary Arfaras,Margaret Ellis,6-0 6-0,,,,,,,,,,,,,,
3-Jun-1963,Mobile,3,,R16,,,1,,,Mary Arfaras,Alberta Baggette,6-1 6-0,,,,,,,,,,,,,,
1-Apr-1963,St. Petersburg,3,Clay,R16,,,0,,,Darlene Hard,Mary Arfaras,6-2 6-0,,,,,,,,,,,,,,
18-Mar-1963,San Juan,3,Hard,R16,,,0,,,Maria Bueno,Mary Arfaras,6-2 6-2,,,,,,,,,,,,,,
18-Mar-1963,San Juan,3,Hard,R32,,,1,,,Mary Arfaras,Eileen Pomales,6-3 6-1,,,,,,,,,,,,,,
11-Mar-1963,Montego Bay,3,Hard,R16,,,0,,,Donna Floyd,Mary Arfaras,6-2 6-0,,,,,,,,,,,,,,
25-Feb-1963,Miami Beach,3,Clay,R16,,,0,,,Judy Alvarez,Mary Arfaras,6-1 6-3,,,,,,,,,,,,,,
25-Feb-1963,Miami Beach,3,Clay,R32,,,1,,,Mary Arfaras,Elizabeth Crady,6-4 6-1,,,,,,,,,,,,,,
18-Feb-1963,Tampa,3,Clay,R16,,,0,,,Helga Schultze,Mary Arfaras,6-4 7-5,,,,,,,,,,,,,,
31-Aug-1962,US National Championships,3,Grass,R64,,,0,,,Margot Dittmeyer,Mary Arfaras,6-3 6-4,,,,,,,,,,,,,,
31-Aug-1962,US National Championships,3,Grass,R128,,,1,,,Mary Arfaras,Ginny Gilbane,6-3 3-6 6-4,,,,,,,,,,,,,,
24-Jul-1962,Haverford,3,Grass,R64,,,0,,,Virginia Minor,Mary Arfaras,6-3 6-1,,,,,,,,,,,,,,
16-Jul-1962,River Forest,3,Clay,R32,,,0,,,Carole Graebner,Mary Arfaras,6-4 6-1,,,,,,,,,,,,,,
2-Apr-1962,St. Petersburg,3,Clay,R16,,,0,,,Edda Buding,Mary Arfaras,6-1 2-6 6-3,,,,,,,,,,,,,,
19-Feb-1962,Tampa,3,Clay,QF,,,0,,,Edda Buding,Mary Arfaras,6-0 6-4,,,,,,,,,,,,,,
3-Apr-1961,St. Petersburg,3,Clay,QF,,,0,,,Ann Jones,Mary Arfaras,6-2 6-0,,,,,,,,,,,,,,
2-Jan-1961,Tampa,3,Clay,QF,,,0,,,Carol Ann Kalogeropoulos,Mary Arfaras,6-3 6-3,,,,,,,,,,,,,,
2-Jan-1961,Tampa,3,Clay,R16,,,1,,,Mary Arfaras,Margaret Demogenes,4-6 6-0 7-5,,,,,,,,,,,,,,
1-Aug-1960,Philadelphia District,3,Grass,R32,,,0,,,Carol Southmayd,Mary Arfaras,W/O,,,,,,,,,,,,,,
4-Jul-1960,Jackson,3,,F,,,0,,,Carolyn Rodgers,Mary Arfaras,4-6 6-4 7-5,,,,,,,,,,,,,,
4-Jul-1960,Jackson,3,,SF,,,1,,,Mary Arfaras,Melanie Bierhorst,6-1 6-1,,,,,,,,,,,,,,
4-Jul-1960,Jackson,3,,QF,,,1,,,Mary Arfaras,Carol Ann Vest,6-1 6-1,,,,,,,,,,,,,,
