Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
15-Aug-1994,ITF Fayetteville,3,Hard,Q1,,,0,,,Tjasa Jezernik,Maryla Madura,6-1 6-2,,,,,,,,,,,,,,
18-Jul-1994,ITF Salisbury,3,Hard,Q1,,,0,,,Varalee Sureephong,Maryla Madura,6-1 6-1,,,,,,,,,,,,,,
31-Jan-1994,ITF Midland 25K,3,Hard,Q1,,,0,,,Tjasa Jezernik,Maryla Madura,6-3 6-0,,,,,,,,,,,,,,
2-Aug-1993,ITF Winnipeg,3,Hard,Q2,,,0,7,,Aneta Soukup,Maryla Madura,6-1 6-2,,,,,,,,,,,,,,
19-Jul-1993,ITF St Simons,3,Clay,Q1,,,0,,,Janine Humphreys,Maryla Madura,6-3 6-3,,,,,,,,,,,,,,
7-Jun-1993,ITF Collingwood,3,Hard,Q2,,,0,4,,Sharon Mieres,Maryla Madura,6-1 2-6 6-1,,,,,,,,,,,,,,
26-Apr-1993,ITF Acapulco,3,Clay,R32,,422,0,,,Xochitl Escobedo,Maryla Madura,6-2 6-3,,,,,,,,,,,,,,
22-Feb-1993,ITF Miami,3,Hard,Q1,,,0,,,Ann Cameron,Maryla Madura,6-0 6-2,,,,,,,,,,,,,,
11-Jan-1993,ITF Mission,3,Hard,R32,,,0,,,Elly Hakami,Maryla Madura,6-0 6-0,,,,,,,,,,,,,,
16-Nov-1992,ITF Santo Domingo,3,Clay,R32,676,370,0,,2,Gianfranca Devercelli,Maryla Madura,6-2 6-0,,,,,,,,,,,,,,
9-Nov-1992,ITF Nassau,3,Hard,R32,667,,0,,,Kim Grant,Maryla Madura,7-6(5) 1-6 6-4,,,,,,,,,,,,,,
26-Oct-1992,San Juan,3,Hard,Q1,,,0,,,Kristina Brandi,Maryla Madura,6-0 6-1,,,,,,,,,,,,,,
28-Sep-1992,ITF Salisbury,3,Hard,Q1,658,479,0,,8,Stephanie Tibbits,Maryla Madura,6-0 6-1,,,,,,,,,,,,,,
24-Aug-1992,ITF Queretaro,3,Hard,R32,662,530,0,,,Claudia Chabalgoity,Maryla Madura,6-1 6-0,,,,,,,,,,,,,,
17-Aug-1992,ITF Cuernavaca,3,Hard,R32,625,,0,,,Leticia Herrera,Maryla Madura,7-5 6-3,,,,,,,,,,,,,,
10-Aug-1992,ITF York,3,Hard,Q1,629,491,0,,,Christina Rozwadowski,Maryla Madura,6-1 6-2,,,,,,,,,,,,,,
3-Aug-1992,ITF College Park,3,Hard,R32,657,225,0,,2,Sarah Loosemore,Maryla Madura,6-1 6-2,,,,,,,,,,,,,,
27-Jul-1992,ITF Norfolk,3,Hard,R32,657,578,0,,,Anique Snijders,Maryla Madura,6-4 6-3,,,,,,,,,,,,,,
29-Jun-1992,ITF Columbia,3,Hard,R32,699,663,0,,,Tonya Evans,Maryla Madura,6-0 6-2,,,,,,,,,,,,,,
22-Jun-1992,ITF Greensboro,3,Clay,R32,699,603,0,,,Karen Gallego,Maryla Madura,6-1 6-0,,,,,,,,,,,,,,
15-Jun-1992,ITF St Simons,3,Clay,Q1,697,731,0,,,Susan Klingenberg,Maryla Madura,6-4 6-0,,,,,,,,,,,,,,
25-May-1992,ITF Orlando,3,Clay,R32,,,0,,,Tonya Evans,Maryla Madura,6-4 6-4,,,,,,,,,,,,,,
2-Dec-1991,Sao Paulo,3,Clay,Q1,,,0,,,Marilia Andrade,Maryla Madura,6-0 4-6 7-5,,,,,,,,,,,,,,
21-Oct-1991,San Juan,3,Hard,Q1,,195,0,,2,Caroline Kuhlman,Maryla Madura,6-0 6-1,,,,,,,,,,,,,,
30-Sep-1991,ITF Salisbury,3,Hard,Q1,,282,0,,1,Sarah Bentley,Maryla Madura,6-1 6-0,,,,,,,,,,,,,,
23-Sep-1991,ITF Chicago,3,Hard,Q1,,,0,,,Lisa Lebold,Maryla Madura,6-1 7-6(2),,,,,,,,,,,,,,
19-Aug-1991,Schenectady,3,Hard,Q1,,293,0,,,Tracey Morton Rodgers,Maryla Madura,6-0 6-0,,,,,,,,,,,,,,
12-Aug-1991,ITF York,3,Hard,Q1,,,0,,,Karen Van Der Merwe,Maryla Madura,7-5 6-2,,,,,,,,,,,,,,
15-Jul-1991,ITF Evansville,3,Hard,Q1,,450,0,,7,Anya Kochoff,Maryla Madura,6-0 6-0,,,,,,,,,,,,,,
17-Jun-1991,ITF St Simons,3,Clay,Q1,,,0,,6,Kristine Kurth,Maryla Madura,6-1 6-4,,,,,,,,,,,,,,
11-Feb-1991,ITF Key Biscayne 1,3,Hard,Q1,,,0,,,Sherri Vitale,Maryla Madura,6-1 6-4,,,,,,,,,,,,,,
