Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
28-Jun-1941,Jackson Heights,3,Clay,QF,,,0,,,Virginia Wolfenden,Maud Levi,6-0 6-1,,,,,,,,,,,,,,
28-Jun-1941,Jackson Heights,3,Clay,R16,,,1,,,Maud Levi,Judy Lachenbruch,8-6 6-1,,,,,,,,,,,,,,
28-Jun-1941,Jackson Heights,3,Clay,R32,,,1,,,Maud Levi,Carol Dixon,10-8 6-4,,,,,,,,,,,,,,
2-Sep-1940,US National Championships,3,Grass,R32,,,0,,6,Helen Bernhard,Maud Levi,6-3 7-5,,,,,,,,,,,,,,
2-Sep-1940,US National Championships,3,Grass,R64,,,1,,,Maud Levi,Patricia Cumming,8-6 6-3,,,,,,,,,,,,,,
13-Jun-1938,Jackson Heights,3,,QF,,,0,,,Carolyn Swartz,Maud Levi,2-6 7-5 6-2,,,,,,,,,,,,,,
13-Jun-1938,Jackson Heights,3,,R16,,,1,,,Maud Levi,C Jacobs,6-0 6-0,,,,,,,,,,,,,,
2-Sep-1937,US National Championships,3,Grass,R32,,,0,,7,Freda James,Maud Levi,6-3 6-3,,,,,,,,,,,,,,
2-Sep-1937,US National Championships,3,Grass,R64,,,1,,,Maud Levi,Doris Seager Beer,6-0 6-0,,,,,,,,,,,,,,
7-Aug-1937,Rye,3,Grass,R16,,,0,,,Alice Marble,Maud Levi,6-3 6-2,,,,,,,,,,,,,,
7-Aug-1937,Rye,3,Grass,R32,,,1,,,Maud Levi,Gladys Vallebuona,6-0 6-4,,,,,,,,,,,,,,
8-Jun-1936,Jackson Heights,3,,F,,,0,,,Norma Taubele,Maud Levi,3-6 6-4 8-6,,,,,,,,,,,,,,
8-Jun-1936,Jackson Heights,3,,SF,,,1,,,Maud Levi,Grace Surber,6-4 6-4,,,,,,,,,,,,,,
8-Jun-1936,Jackson Heights,3,,QF,,,1,,,Maud Levi,Millicent Hirsch,6-1 6-2,,,,,,,,,,,,,,
19-Aug-1935,US National Championships,3,Grass,R64,,,0,,1,Helen Jacobs,Maud Levi,6-4 6-4,,,,,,,,,,,,,,
22-Jul-1935,Seabright,3,Grass,R32,,,0,,,Eunice Dean,Maud Levi,6-4 3-6 6-3,,,,,,,,,,,,,,
