Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
19-Sep-2005,Ibaraki 25K,3,Hard,QF,414,490,0,,,Mari Tanaka,Mi Ra Jeon,3-6 7-6(5) 6-3,,,,,,,,,,,,,,
19-Sep-2005,Ibaraki 25K,3,Hard,R16,414,471,1,,,Mi Ra Jeon,So Jung Kim,6-4 6-4,,,,,,,,,,,,,,
19-Sep-2005,Ibaraki 25K,3,Hard,R32,414,797,1,,WC,Mi Ra Jeon,Erika Sema,6-2 6-2,,,,,,,,,,,,,,
5-Sep-2005,Beijing 2 50K,3,Hard,R32,412,306,0,,,Ayami Takase,Mi Ra Jeon,7-5 6-2,,,,,,,,,,,,,,
15-Aug-2005,Nanjing 2 25K,3,Hard,R32,413,327,0,,7,Yan Ze Xie,Mi Ra Jeon,4-6 6-3 6-1,,,,,,,,,,,,,,
8-Aug-2005,Wuxi 25K,3,Hard,R32,409,400,0,,,Kumiko Iijima,Mi Ra Jeon,6-3 3-6 6-0,,,,,,,,,,,,,,
6-Jun-2005,Seoul 25K,3,Hard,R32,223,651,0,2,WC,Yoo Mi Jung,Mi Ra Jeon,6-7(6) 3-4 RET,,,,,,,,,,,,,,
30-May-2005,Gunma 25K,3,Carpet,R32,218,390,0,2,,Tomoko Yonemura,Mi Ra Jeon,6-3 6-3,,,,,,,,,,,,,,
23-May-2005,Roland Garros,5,Clay,Q1,218,128,0,,17,Galina Voskoboeva,Mi Ra Jeon,6-1 6-1,,,,,,,,,,,,,,
9-May-2005,Fukuoka 50K,3,Grass,R16,217,313,0,4,JE,Yung Jan Chan,Mi Ra Jeon,6-3 6-3,,,,,,,,,,,,,,
9-May-2005,Fukuoka 50K,3,Grass,R32,217,249,1,4,,Mi Ra Jeon,Chin Wei Chan,6-1 6-0,,,,,,,,,,,,,,
2-May-2005,Gifu 50K,3,Carpet,QF,229,106,0,5,1,Aiko Nakamura,Mi Ra Jeon,6-3 6-2,,,,,,,,,,,,,,
2-May-2005,Gifu 50K,3,Carpet,R16,229,536,1,5,WC,Mi Ra Jeon,Junri Namigata,6-0 6-4,,,,,,,,,,,,,,
2-May-2005,Gifu 50K,3,Carpet,R32,229,397,1,5,Q,Mi Ra Jeon,Tomoko Yonemura,7-6(2) 4-6 7-6(4),,,,,,,,,,,,,,
25-Apr-2005,Hamanako 25K,3,Carpet,R32,202,606,0,3,Q,Christina Horiatopoulos,Mi Ra Jeon,6-2 7-6(2),,,,,,,,,,,,,,
21-Mar-2005,Redding CA 25K,3,Hard,R32,202,192,0,,,Hanna Nooni,Mi Ra Jeon,6-4 6-3,,,,,,,,,,,,,,
21-Feb-2005,St Paul MN 50K,3,Hard,R32,201,104,0,,2,Laura Granville,Mi Ra Jeon,6-0 6-0,,,,,,,,,,,,,,
14-Feb-2005,Memphis,3,Hard,Q1,204,210,0,,,Stanislava Hrozenska,Mi Ra Jeon,3-6 6-3 6-3,,,,,,,,,,,,,,
7-Feb-2005,Midland MI 75K,3,Hard,R32,201,256,0,,Q,Adriana Serra Zanetti,Mi Ra Jeon,6-3 6-0,,,,,,,,,,,,,,
1-Feb-2005,Tokyo,3,Carpet,Q1,203,300,0,8,,Ryoko Fuda,Mi Ra Jeon,6-2 6-2,,,,,,,,,,,,,,
25-Oct-2004,Shenzhen 1 50K,3,Hard,QF,176,143,0,,5,Aiko Nakamura,Mi Ra Jeon,6-1 4-6 6-2,,,,,,,,,,,,,,
25-Oct-2004,Shenzhen 1 50K,3,Hard,R16,176,65,1,,1,Mi Ra Jeon,Jie Zheng,7-5 6-4,,,,,,,,,,,,,,
25-Oct-2004,Shenzhen 1 50K,3,Hard,R32,176,822,1,,Q,Mi Ra Jeon,Dan Yu,3-6 6-0 6-2,,,,,,,,,,,,,,
27-Sep-2004,Seoul,3,Hard,Q2,169,281,0,1,,Ayami Takase,Mi Ra Jeon,6-7(5) 6-4 6-4,,,,,,,,,,,,,,
27-Sep-2004,Seoul,3,Hard,Q1,169,673,1,1,,Mi Ra Jeon,Soon Mi Seo,6-0 6-0,,,,,,,,,,,,,,
20-Sep-2004,Beijing,3,Hard,Q1,164,142,0,,,Galina Voskoboeva,Mi Ra Jeon,5-7 7-5 6-1,,,,,,,,,,,,,,
30-Aug-2004,US Open,5,Hard,Q1,164,116,0,,11,Antonella Serra Zanetti,Mi Ra Jeon,6-2 6-0,,,,,,,,,,,,,,
2-Aug-2004,Louisville 50K,3,Hard,R16,165,301,0,,Q,Shikha Uberoi,Mi Ra Jeon,6-3 0-6 6-4,,,,,,,,,,,,,,
2-Aug-2004,Louisville 50K,3,Hard,R32,165,341,1,,Q,Mi Ra Jeon,Neha Uberoi,7-6(4) 7-5,,,,,,,,,,,,,,
26-Jul-2004,Lexington KY 50K,3,Hard,F,178,125,0,,5,Camille Pin,Mi Ra Jeon,7-5 6-3,,,,,,,,,,,,,,
26-Jul-2004,Lexington KY 50K,3,Hard,SF,178,237,1,,Q,Mi Ra Jeon,Nan Nan Liu,6-2 6-2,,,,,,,,,,,,,,
26-Jul-2004,Lexington KY 50K,3,Hard,QF,178,157,1,,,Mi Ra Jeon,Anne Keothavong,7-5 5-3 RET,,,,,,,,,,,,,,
