Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
28-Jul-2008,Surakarta 10K,3,Hard,R32,,,0,,Q,Di Zhao,Mia Sacca,6-2 3-0 RET,,,,,,,,,,,,,,
12-May-2008,Bulungan 10K,3,Hard,R16,,604,0,WC,4,Lavinia Tananta,Mia Sacca,5-2 RET,,,,,,,,,,,,,,
12-May-2008,Bulungan 10K,3,Hard,R32,,936,1,WC,Q,Mia Sacca,Kei Sekine,6-2 5-7 7-6(3),,,,,,,,,,,,,,
5-May-2008,Tarakan 10K,3,Hard,R32,,,0,WC,WC,Beatrice Gumulya,Mia Sacca,6-2 6-2,,,,,,,,,,,,,,
28-Apr-2008,Balikpapan 25K,3,Hard,R32,,655,0,Q,,Jie Hao,Mia Sacca,6-4 6-1,,,,,,,,,,,,,,
14-May-2007,Balikpapan 10K,3,Hard,R32,1138,859,0,,,Jessy Rompies,Mia Sacca,3-6 6-4 3-2 RET,,,,,,,,,,,,,,
30-Apr-2007,Jakarta 10K,3,Hard,R16,1156,632,0,WC,4,Kasumi Aiko,Mia Sacca,6-4 2-6 6-3,,,,,,,,,,,,,,
30-Apr-2007,Jakarta 10K,3,Hard,R32,1156,809,1,WC,,Mia Sacca,Beatrice Gumulya,6-1 2-6 6-1,,,,,,,,,,,,,,
6-Nov-2006,Jakarta 25K,3,Hard,R32,1352,168,0,Q,1,Ryoko Fuda,Mia Sacca,6-0 6-1,,,,,,,,,,,,,,
25-Sep-2006,Jakarta 10K,3,Hard,R16,,516,0,WC,,Wing Yau Venise Chan,Mia Sacca,6-2 6-4,,,,,,,,,,,,,,
25-Sep-2006,Jakarta 10K,3,Hard,R32,,,1,WC,WC,Mia Sacca,Beatrice Gumulya,3-6 6-1 6-3,,,,,,,,,,,,,,
18-Sep-2006,Jakarta 10K,3,Hard,R32,,936,0,WC,,Lutfiana Aris Budiharto,Mia Sacca,7-5 6-2,,,,,,,,,,,,,,
8-May-2006,Tarakan 10K,3,Hard,R16,,664,0,WC,7,Czarina Mae Arevalo,Mia Sacca,7-5 6-4,,,,,,,,,,,,,,
8-May-2006,Tarakan 10K,3,Hard,R32,,1131,1,WC,,Mia Sacca,Mutsuko Hirose,6-1 6-1,,,,,,,,,,,,,,
1-May-2006,Jakarta 10K,3,Hard,R32,,592,0,Q,5,Rebecca Fong,Mia Sacca,6-3 7-5,,,,,,,,,,,,,,
20-Sep-2004,Jakarta 3 10K,3,Hard,R32,,955,0,WC,,Maya Rosa,Mia Sacca,6-4 7-5,,,,,,,,,,,,,,
29-Sep-2003,Jakarta 10K,3,Hard,R32,,488,0,Q,2,Rushmi Chakravarthi,Mia Sacca,6-2 6-1,,,,,,,,,,,,,,
