Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
28-Jun-1993,ITF Velp,3,Clay,R32,,,0,,8,Anja Franken,Michelle Anderson,6-1 6-4,,,,,,,,,,,,,,
21-Jun-1993,ITF Zagreb,3,Clay,R32,,,0,,,Tadeja Florjancic,Michelle Anderson,6-2 7-5,,,,,,,,,,,,,,
17-May-1993,ITF Katowice,3,Clay,R32,,,0,,,Monika Starosta,Michelle Anderson,6-1 3-6 6-4,,,,,,,,,,,,,,
29-Mar-1993,ITF Gabore,3,Hard,R32,,410,0,,2,Julie Pullin,Michelle Anderson,6-3 2-1 RET,,,,,,,,,,,,,,
22-Mar-1993,ITF Harare,3,Hard,QF,,430,1,7,3,Michelle Anderson,Vanessa Webb,6-4 6-2,,,,,,,,,,,,,,
22-Mar-1993,ITF Harare,3,Hard,R16,,,1,7,,Michelle Anderson,Nicole Simunic,6-4 6-1,,,,,,,,,,,,,,
22-Mar-1993,ITF Harare,3,Hard,R32,,,1,7,,Michelle Anderson,Janine Humphreys,6-2 7-5,,,,,,,,,,,,,,
28-Sep-1992,ITF Salisbury,3,Hard,R32,362,209,0,,5,Maureen Drake,Michelle Anderson,6-0 6-4,,,,,,,,,,,,,,
25-May-1992,ITF Ashkelon,3,Hard,R16,410,277,0,,8,Petra Kamstra,Michelle Anderson,7-6(5) 6-3,,,,,,,,,,,,,,
25-May-1992,ITF Ashkelon,3,Hard,R32,410,404,1,,,Michelle Anderson,Yael Segal,6-1 6-0,,,,,,,,,,,,,,
18-May-1992,ITF Haifa 1,3,Hard,QF,423,596,0,1,7,Tzipi Obziler,Michelle Anderson,6-3 6-4,,,,,,,,,,,,,,
18-May-1992,ITF Haifa 1,3,Hard,R16,423,,1,1,,Michelle Anderson,Adi Manno,6-2 6-0,,,,,,,,,,,,,,
18-May-1992,ITF Haifa 1,3,Hard,R32,423,,1,1,,Michelle Anderson,Oshri Shashua,6-1 6-1,,,,,,,,,,,,,,
23-Mar-1992,ITF Newcastle,3,Grass,QF,479,521,0,,1,Julie Richardson,Michelle Anderson,7-6 3-6 6-3,,,,,,,,,,,,,,
23-Mar-1992,ITF Newcastle,3,Grass,R16,479,512,1,,,Michelle Anderson,Justine Hodder,6-1 6-4,,,,,,,,,,,,,,
16-Mar-1992,ITF Canberra,3,Grass,R16,533,,0,5,,Esther Knox,Michelle Anderson,3-6 6-3 6-3,,,,,,,,,,,,,,
16-Mar-1992,ITF Canberra,3,Grass,R32,533,,1,5,,Michelle Anderson,Danielle Thomas,7-5 7-6,,,,,,,,,,,,,,
9-Mar-1992,ITF Wodonga,3,Grass,R16,533,266,0,,2,Jane Taylor,Michelle Anderson,6-1 6-4,,,,,,,,,,,,,,
9-Mar-1992,ITF Wodonga,3,Grass,R32,533,609,1,,,Michelle Anderson,Yoriko Yamagishi,6-0 7-5,,,,,,,,,,,,,,
2-Mar-1992,ITF Mildura 1,3,Grass,SF,530,267,0,,1,Jane Taylor,Michelle Anderson,W/O,,,,,,,,,,,,,,
2-Mar-1992,ITF Mildura 1,3,Grass,QF,530,,1,,,Michelle Anderson,Mika Todo,6-3 3-6 6-4,,,,,,,,,,,,,,
2-Mar-1992,ITF Mildura 1,3,Grass,R16,530,483,1,,,Michelle Anderson,Justine Hodder,7-6(6) 2-2 RET,,,,,,,,,,,,,,
2-Mar-1992,ITF Mildura 1,3,Grass,R32,530,481,1,,8,Michelle Anderson,Angie Woolcock,2-6 7-5 7-6(3),,,,,,,,,,,,,,
18-Nov-1991,ITF Nuriootpa,3,Hard,R16,,280,0,,8,Louise Stacey,Michelle Anderson,4-6 6-1 6-0,,,,,,,,,,,,,,
18-Nov-1991,ITF Nuriootpa,3,Hard,R32,,306,1,,,Michelle Anderson,Clare Thompson,6-3 0-6 6-2,,,,,,,,,,,,,,
11-Nov-1991,ITF Mount Gambier,3,Hard,R16,,318,0,,,Jenny Byrne,Michelle Anderson,6-2 6-1,,,,,,,,,,,,,,
11-Nov-1991,ITF Mount Gambier,3,Hard,R32,,347,1,,,Michelle Anderson,Henrike Kadzidroga,6-2 6-4,,,,,,,,,,,,,,
4-Nov-1991,ITF Port Pirie,3,Hard,R32,,150,0,,2,Michelle Jaggard Lai,Michelle Anderson,6-1 6-2,,,,,,,,,,,,,,
14-May-1990,ITF Ramat Hasharon 2,3,Hard,SF,330,296,0,,7,Mariaan De Swardt,Michelle Anderson,7-5 6-4,,,,,,,,,,,,,,
14-May-1990,ITF Ramat Hasharon 2,3,Hard,QF,330,,1,,,Michelle Anderson,Dahlia Coriat,6-4 6-0,,,,,,,,,,,,,,
14-May-1990,ITF Ramat Hasharon 2,3,Hard,R16,330,300,1,,,Michelle Anderson,Sandrine Jaquet,7-6(4) 6-0,,,,,,,,,,,,,,
14-May-1990,ITF Ramat Hasharon 2,3,Hard,R32,330,524,1,,,Michelle Anderson,Astrid Ruhr,6-0 6-4,,,,,,,,,,,,,,
19-Mar-1990,ITF Ramat Hasharon 1,3,Hard,R16,327,342,0,,,Ilana Berger,Michelle Anderson,2-6 6-3 6-3,,,,,,,,,,,,,,
12-Mar-1990,ITF Jaffa,3,Hard,QF,327,244,0,4,,Katharina Duell,Michelle Anderson,7-6 6-3,,,,,,,,,,,,,,
12-Mar-1990,ITF Jaffa,3,Hard,R16,327,399,1,4,,Michelle Anderson,Anna Foldenyi Dicker,6-0 6-1,,,,,,,,,,,,,,
12-Mar-1990,ITF Jaffa,3,Hard,R32,327,403,1,4,,Michelle Anderson,Eva Melicharova,6-2 6-2,,,,,,,,,,,,,,
5-Mar-1990,ITF Haifa,3,Hard,SF,344,245,0,7,2,Robyn Field,Michelle Anderson,7-5 7-6,,,,,,,,,,,,,,
5-Mar-1990,ITF Haifa,3,Hard,QF,344,315,1,7,,Michelle Anderson,Miriam Oremans,4-6 6-2 6-3,,,,,,,,,,,,,,
5-Mar-1990,ITF Haifa,3,Hard,R16,344,442,1,7,,Michelle Anderson,Limor Zaltz,6-1 6-4,,,,,,,,,,,,,,
5-Mar-1990,ITF Haifa,3,Hard,R32,344,418,1,7,,Michelle Anderson,Natalie Tschan,6-4 6-3,,,,,,,,,,,,,,
26-Feb-1990,ITF Ashkelon 1,3,Hard,QF,329,478,0,5,,Elizma Nortje,Michelle Anderson,6-4 3-6 6-4,,,,,,,,,,,,,,
26-Feb-1990,ITF Ashkelon 1,3,Hard,R16,329,382,1,5,,Michelle Anderson,Petra Holubova,6-2 6-4,,,,,,,,,,,,,,
26-Feb-1990,ITF Ashkelon 1,3,Hard,R32,329,,1,5,,Michelle Anderson,Liat Cohen,6-2 6-2,,,,,,,,,,,,,,
19-Feb-1990,ITF Manchester,3,Carpet,R16,329,,0,1,,Els Callens,Michelle Anderson,7-5 6-1,,,,,,,,,,,,,,
19-Feb-1990,ITF Manchester,3,Carpet,R32,329,,1,1,,Michelle Anderson,Michelle Oldham,6-1 6-3,,,,,,,,,,,,,,
20-Nov-1989,ITF Tel Aviv,3,Clay,SF,390,306,0,,,Mariaan De Swardt,Michelle Anderson,6-0 6-1,,,,,,,,,,,,,,
20-Nov-1989,ITF Tel Aviv,3,Clay,QF,390,,1,,,Michelle Anderson,Limor Zaltz,4-6 6-4 6-1,,,,,,,,,,,,,,
20-Nov-1989,ITF Tel Aviv,3,Clay,R16,390,,1,,,Michelle Anderson,Medi Dadoch,7-5 6-4,,,,,,,,,,,,,,
13-Nov-1989,ITF Ashkelon 2,3,Clay,R32,401,,0,,,Louise Venter,Michelle Anderson,7-5 7-5,,,,,,,,,,,,,,
6-Nov-1989,ITF Haifa 2,3,Hard,QF,401,472,0,6,,Nora Koves,Michelle Anderson,2-6 6-3 7-5,,,,,,,,,,,,,,
6-Nov-1989,ITF Haifa 2,3,Hard,R16,401,,1,6,,Michelle Anderson,Olivia Graveraux,6-1 6-1,,,,,,,,,,,,,,
6-Nov-1989,ITF Haifa 2,3,Hard,R32,401,,1,6,,Michelle Anderson,Hagit Ohayon,6-2 6-1,,,,,,,,,,,,,,
30-Oct-1989,ITF Jerusalem,3,Clay,R16,404,,0,7,,Joannette Kruger,Michelle Anderson,7-6 6-3,,,,,,,,,,,,,,
