Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
6-Feb-2010,Fed Cup G2 PO: SIN vs PHI,3,Hard,RR,,,1,,,Michelle Pang,Khee Yen Wee,6-2 6-4,,,,,,,,,,,,,,
5-Feb-2010,Fed Cup G2 RRB: PHI vs SYR,3,Hard,RR,,,1,,,Michelle Pang,Kim Sadi,4-6 6-1 6-2,,,,,,,,,,,,,,
4-Feb-2010,Fed Cup G2 RRB: HKG vs PHI,3,Hard,RR,,476,0,,,Zi Jun Yang,Michelle Pang,4-6 6-0 6-1,,,,,,,,,,,,,,
3-Feb-2010,Fed Cup G2 RRB: PHI vs KGZ,3,Hard,RR,,865,0,,,Bermet Duvanaeva,Michelle Pang,6-2 6-1,,,,,,,,,,,,,,
17-Nov-2008,Manila 10K,3,Hard,R32,,727,0,WC,7,Ayu Fani Damayanti,Michelle Pang,6-1 6-3,,,,,,,,,,,,,,
10-Nov-2008,Manila 10K,3,Hard,R32,,774,0,WC,7,Si Si Qiu,Michelle Pang,6-4 6-1,,,,,,,,,,,,,,
19-Nov-2007,Manila 10K,3,Clay,R32,,926,0,WC,,Vivien Silfany Tony,Michelle Pang,6-1 6-3,,,,,,,,,,,,,,
12-Nov-2007,Manila 10K,3,Clay,R32,,568,0,WC,6,Noppawan Lertcheewakarn,Michelle Pang,6-1 6-0,,,,,,,,,,,,,,
6-Nov-2006,Manila 10K,3,Hard,R32,,977,0,Q,,Varanya Vijuksanaboon,Michelle Pang,6-2 6-3,,,,,,,,,,,,,,
14-Nov-2005,Manila 2 10K,3,Hard,R32,,1143,0,Q,Q,Julianna Gates,Michelle Pang,6-3 6-4,,,,,,,,,,,,,,
7-Nov-2005,Manila 1 10K,3,Hard,R32,,,0,Q,Q,Melissa Rose Orteza,Michelle Pang,6-1 6-2,,,,,,,,,,,,,,
8-Nov-2004,Manila 2 10K,3,Clay,R32,,837,0,Q,4,Nudnida Luangnam,Michelle Pang,6-0 6-1,,,,,,,,,,,,,,
