Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
6-May-2002,Berlin,3,Clay,Q1,145,54,0,,1,Cara Black,Miriam Schnitzer,2-6 6-3 7-6(4),,,,,,,,,,,,,,
30-Apr-2002,Hamburg,3,Clay,Q1,145,247,0,,A,Maria Geznenge,Miriam Schnitzer,6-2 6-4,,,,,,,,,,,,,,
15-Apr-2002,Budapest,3,Clay,Q1,143,565,0,6,,Tzipi Obziler,Miriam Schnitzer,3-6 7-5 6-4,,,,,,,,,,,,,,
1-Apr-2002,Dubai 75K,3,Hard,R32,144,163,0,,,Laurence Andretto,Miriam Schnitzer,6-2 6-4,,,,,,,,,,,,,,
11-Feb-2002,Sutton 25K,3,Hard,R32,146,215,0,2,,Galina Fokina,Miriam Schnitzer,6-3 6-3,,,,,,,,,,,,,,
28-Jan-2002,Ortisei 50K,3,Carpet,R16,150,79,0,,1,Maja Matevzic,Miriam Schnitzer,6-1 4-6 6-4,,,,,,,,,,,,,,
28-Jan-2002,Ortisei 50K,3,Carpet,R32,150,188,1,,,Miriam Schnitzer,Maria Vento Kabchi,6-4 7-6(2),,,,,,,,,,,,,,
22-Oct-2001,Luxembourg,3,Hard,Q2,138,86,0,,5,Tina Pisnik,Miriam Schnitzer,6-2 6-3,,,,,,,,,,,,,,
22-Oct-2001,Luxembourg,3,Hard,Q1,138,129,1,,,Miriam Schnitzer,Rika Fujiwara,7-5 7-5,,,,,,,,,,,,,,
15-Oct-2001,Bratislava,3,Hard,Q1,139,,0,,WC,Jarmila Gajdosova,Miriam Schnitzer,6-3 6-4,,,,,,,,,,,,,,
1-Oct-2001,Girona 50K,3,Clay,R16,144,102,0,,4,Eva Bes Ostariz,Miriam Schnitzer,4-6 6-2 7-6(5),,,,,,,,,,,,,,
1-Oct-2001,Girona 50K,3,Clay,R32,144,275,1,,,Miriam Schnitzer,Lourdes Dominguez Lino,6-3 3-6 6-2,,,,,,,,,,,,,,
24-Sep-2001,Leipzig,3,Carpet,Q2,142,175,0,,,Kristie Boogert,Miriam Schnitzer,6-1 6-4,,,,,,,,,,,,,,
24-Sep-2001,Leipzig,3,Carpet,Q1,142,113,1,,,Miriam Schnitzer,Aniko Kapros,6-1 6-2,,,,,,,,,,,,,,
27-Aug-2001,US Open,5,Hard,Q1,134,146,0,22,,Dally Randriantefy,Miriam Schnitzer,7-6(5) 4-6 6-4,,,,,,,,,,,,,,
13-Aug-2001,Bronx NY 50K,3,Hard,QF,136,75,0,,1,Tatiana Poutchek,Miriam Schnitzer,6-0 6-1,,,,,,,,,,,,,,
13-Aug-2001,Bronx NY 50K,3,Hard,R16,136,114,1,,8,Miriam Schnitzer,Eleni Daniilidou,6-4 2-6 7-6(2),,,,,,,,,,,,,,
13-Aug-2001,Bronx NY 50K,3,Hard,R32,136,183,1,,Q,Miriam Schnitzer,Nirupama Sanjeev,6-4 6-7(6) 6-0,,,,,,,,,,,,,,
23-Jul-2001,Casablanca,3,Clay,R32,131,72,0,,4,Maria Jose Martinez Sanchez,Miriam Schnitzer,6-3 3-6 6-3,,,,,,,,,,,,,,
16-Jul-2001,Knokke-Heist,3,Clay,R32,123,63,0,,,Marta Marrero,Miriam Schnitzer,6-1 6-4,,,,,,,,,,,,,,
9-Jul-2001,Vienna,3,Clay,R32,111,42,0,,,Mariana Diaz Oliva,Miriam Schnitzer,6-4 6-4,,,,,,,,,,,,,,
25-Jun-2001,Wimbledon,5,Grass,R128,124,94,0,Q,,Karina Habsudova,Miriam Schnitzer,6-1 6-4,,,,,,,,,,,,,,
25-Jun-2001,Wimbledon,5,Grass,Q3,124,154,1,9,,Miriam Schnitzer,Irina Selyutina,6-4 7-6(3),,,,,,,,,,,,,,
25-Jun-2001,Wimbledon,5,Grass,Q2,124,215,1,9,,Miriam Schnitzer,Lea Ghirardi,6-1 7-5,,,,,,,,,,,,,,
25-Jun-2001,Wimbledon,5,Grass,Q1,124,192,1,9,,Miriam Schnitzer,Antonella Serra Zanetti,3-6 6-3 6-0,,,,,,,,,,,,,,
28-May-2001,Roland Garros,5,Clay,Q2,119,164,0,8,,Kyra Nagy,Miriam Schnitzer,6-4 4-6 6-2,,,,,,,,,,,,,,
28-May-2001,Roland Garros,5,Clay,Q1,119,145,1,8,,Miriam Schnitzer,Yuka Yoshida,6-4 6-1,,,,,,,,,,,,,,
7-May-2001,Berlin,3,Clay,QF,182,18,0,WC,13,Justine Henin,Miriam Schnitzer,6-4 6-2,,,,,,,,,,,,,,
7-May-2001,Berlin,3,Clay,R16,182,54,1,WC,Q,Miriam Schnitzer,Denisa Chladkova,7-5 6-3,,,,,,,,,,,,,,
7-May-2001,Berlin,3,Clay,R32,182,12,1,WC,7,Miriam Schnitzer,Nathalie Tauziat,4-6 7-5 7-5,,,,,,,,,,,,,,
7-May-2001,Berlin,3,Clay,R64,182,76,1,WC,Q,Miriam Schnitzer,Francesca Schiavone,7-5 6-1,,,,,,,,,,,,,,
30-Apr-2001,Hamburg,3,Clay,Q1,182,56,0,,1,Denisa Chladkova,Miriam Schnitzer,7-5 6-0,,,,,,,,,,,,,,
16-Apr-2001,Budapest,3,Clay,Q2,180,153,0,,,Jelena Kostanic Tosic,Miriam Schnitzer,6-2 6-2,,,,,,,,,,,,,,
16-Apr-2001,Budapest,3,Clay,Q1,180,144,1,,8,Miriam Schnitzer,Alexandra Fusai,6-0 6-7(2) 6-1,,,,,,,,,,,,,,
15-Jan-2001,Australian Open,5,Hard,Q2,156,165,0,,,Dally Randriantefy,Miriam Schnitzer,6-0 2-5 RET,,,,,,,,,,,,,,
15-Jan-2001,Australian Open,5,Hard,Q1,156,229,1,,,Miriam Schnitzer,Lorna Woodroffe,3-6 6-3 6-3,,,,,,,,,,,,,,
7-Jan-2001,Canberra,3,Hard,Q1,158,119,0,,7,Janet Lee,Miriam Schnitzer,6-4 6-0,,,,,,,,,,,,,,
30-Oct-2000,Leipzig,3,Carpet,Q3,168,101,0,,5,Sandra Nacuk,Miriam Schnitzer,6-3 7-6(5),,,,,,,,,,,,,,
30-Oct-2000,Leipzig,3,Carpet,Q2,168,73,1,,2,Miriam Schnitzer,Tina Pisnik,6-1 6-2,,,,,,,,,,,,,,
30-Oct-2000,Leipzig,3,Carpet,Q1,168,333,1,,WC,Miriam Schnitzer,Lydia Steinbach,6-2 6-3,,,,,,,,,,,,,,
23-Oct-2000,St Raphael 25K,3,Hard,R32,166,196,0,5,,Alice Canepa,Miriam Schnitzer,4-0 4-5(2) 4-2 4-2,,,,,,,,,,,,,,
16-Oct-2000,Cardiff 50K,3,Carpet,R16,169,451,0,,WC,Anne Keothavong,Miriam Schnitzer,5-7 6-4 7-5,,,,,,,,,,,,,,
16-Oct-2000,Cardiff 50K,3,Carpet,R32,169,153,1,,7,Miriam Schnitzer,Francesca Lubiani,4-6 6-4 4-0 RET,,,,,,,,,,,,,,
9-Oct-2000,Zurich,3,Hard,Q1,170,72,0,,10,Tina Pisnik,Miriam Schnitzer,6-1 6-2,,,,,,,,,,,,,,
2-Oct-2000,Filderstadt,3,Hard,Q1,174,66,0,A,7,Adriana Gersi,Miriam Schnitzer,6-2 7-6(4),,,,,,,,,,,,,,
23-Sep-2000,Luxembourg,3,Carpet,Q3,175,131,0,,,Louise Latimer,Miriam Schnitzer,7-6(8) 6-4,,,,,,,,,,,,,,
23-Sep-2000,Luxembourg,3,Carpet,Q2,175,129,1,,,Miriam Schnitzer,Bianka Lamade,6-4 6-3,,,,,,,,,,,,,,
23-Sep-2000,Luxembourg,3,Carpet,Q1,175,338,1,,,Miriam Schnitzer,Samantha Smith,6-3 6-7(7) 6-2,,,,,,,,,,,,,,
22-Aug-2000,US Open,5,Hard,R128,196,23,0,Q,,Elena Likhovtseva,Miriam Schnitzer,7-6 6-4,,,,,,,,,,,,,,
22-Aug-2000,US Open,5,Hard,Q3,196,220,1,,,Miriam Schnitzer,Virginie Razzano,7-5 6-3,,,,,,,,,,,,,,
22-Aug-2000,US Open,5,Hard,Q2,196,162,1,,,Miriam Schnitzer,Daniela Hantuchova,6-3 6-3,,,,,,,,,,,,,,
22-Aug-2000,US Open,5,Hard,Q1,196,190,1,,,Miriam Schnitzer,Yoon Jeong Cho,6-4 4-6 7-6(9),,,,,,,,,,,,,,
7-Aug-2000,Hechingen 25K,3,Clay,QF,201,292,0,7,LL,Jana Hlavackova,Miriam Schnitzer,6-4 6-1,,,,,,,,,,,,,,
7-Aug-2000,Hechingen 25K,3,Clay,R16,201,265,1,7,,Miriam Schnitzer,Hana Sromova,6-4 7-5,,,,,,,,,,,,,,
7-Aug-2000,Hechingen 25K,3,Clay,R32,201,644,1,7,Q,Miriam Schnitzer,Ivana Zupa,6-1 6-3,,,,,,,,,,,,,,
17-Jul-2000,Puchheim 25K,3,Clay,QF,215,266,0,6,,Radka Pelikanova,Miriam Schnitzer,7-6(5) 4-6 6-4,,,,,,,,,,,,,,
17-Jul-2000,Puchheim 25K,3,Clay,R16,215,271,1,6,,Miriam Schnitzer,Olga Vymetalkova,7-6(1) 6-0,,,,,,,,,,,,,,
17-Jul-2000,Puchheim 25K,3,Clay,R32,215,396,1,6,WC,Miriam Schnitzer,Caroline Raba,4-6 6-4 7-5,,,,,,,,,,,,,,
10-Jul-2000,Darmstadt 25K,3,Clay,F,265,244,1,,,Miriam Schnitzer,Renata Kucerova,6-4 6-3,,,,,,,,,,,,,,
10-Jul-2000,Darmstadt 25K,3,Clay,SF,265,364,1,,Q,Miriam Schnitzer,Jasmin Woehr,4-6 6-0 6-2,,,,,,,,,,,,,,
10-Jul-2000,Darmstadt 25K,3,Clay,QF,265,277,1,,,Miriam Schnitzer,Vanessa Henke,7-6(7) 6-1,,,,,,,,,,,,,,
10-Jul-2000,Darmstadt 25K,3,Clay,R16,265,716,1,,,Miriam Schnitzer,Zuzana Lesenarova,6-3 6-1,,,,,,,,,,,,,,
10-Jul-2000,Darmstadt 25K,3,Clay,R32,265,243,1,,,Miriam Schnitzer,Marketa Kochta,6-4 7-6(5),,,,,,,,,,,,,,
3-Jul-2000,Vaihingen 25K,3,Clay,F,280,246,1,,,Miriam Schnitzer,Mia Buric,6-3 6-4,,,,,,,,,,,,,,
3-Jul-2000,Vaihingen 25K,3,Clay,SF,280,258,1,,,Miriam Schnitzer,Antoaneta Pandjerova,6-2 6-4,,,,,,,,,,,,,,
3-Jul-2000,Vaihingen 25K,3,Clay,QF,280,293,1,,,Miriam Schnitzer,Magda Mihalache,6-2 6-2,,,,,,,,,,,,,,
3-Jul-2000,Vaihingen 25K,3,Clay,R16,280,379,1,,WC,Miriam Schnitzer,Jasmin Woehr,6-4 6-4,,,,,,,,,,,,,,
3-Jul-2000,Vaihingen 25K,3,Clay,R32,280,287,1,,Q,Miriam Schnitzer,Klara Koukalova,6-2 5-7 6-2,,,,,,,,,,,,,,
26-Jun-2000,Orbetello 25K,3,Clay,R16,280,127,0,,1,Nuria Llagostera Vives,Miriam Schnitzer,6-3 7-5,,,,,,,,,,,,,,
26-Jun-2000,Orbetello 25K,3,Clay,R32,280,345,1,,LL,Miriam Schnitzer,Valentina Sassi,6-1 3-6 6-4,,,,,,,,,,,,,,
