Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
3-Aug-1959,Framlingham,3,Grass,F,,,0,,,Jean Stedman,Mrs A Robinson,4-6 6-4 6-3,,,,,,,,,,,,,,
27-Apr-1959,Hurlingham,3,Clay,R128,,,0,,,Deidre Catt,Mrs A Robinson,6-3 6-1,,,,,,,,,,,,,,
6-Apr-1959,Hampstead,3,,R16,,,0,,,Deidre Catt,Mrs A Robinson,6-3 6-3,,,,,,,,,,,,,,
6-Apr-1959,Hampstead,3,,R32,,,1,,,Mrs A Robinson,Jane Godfrey,6-8 6-3 6-0,,,,,,,,,,,,,,
6-Apr-1959,Hampstead,3,,R64,,,1,,,Mrs A Robinson,Mrs J I King,6-1 6-3,,,,,,,,,,,,,,
30-Mar-1959,Roehampton,3,Clay,R32,,,0,,,Jenny Trewby,Mrs A Robinson,6-4 3-6 6-1,,,,,,,,,,,,,,
5-May-1958,Croydon,3,Clay,R16,,,0,,,Ruia Morrison,Mrs A Robinson,6-2 6-2,,,,,,,,,,,,,,
5-May-1958,Croydon,3,Clay,R32,,,1,,,Mrs A Robinson,Dawn Thomas,6-3 6-2,,,,,,,,,,,,,,
5-May-1958,Croydon,3,Clay,R64,,,1,,,Mrs A Robinson,P A Baines,6-4 6-1,,,,,,,,,,,,,,
28-Apr-1958,Hurlingham,3,Clay,R64,,,0,,,Pearl Panton,Mrs A Robinson,6-2 7-5,,,,,,,,,,,,,,
28-Apr-1958,Hurlingham,3,Clay,R128,,,1,,,Mrs A Robinson,T J Smallwood,6-2 6-2,,,,,,,,,,,,,,
7-Apr-1958,Hampstead,3,Clay,R16,,,0,,,Pat Wheeler,Mrs A Robinson,6-3 6-3,,,,,,,,,,,,,,
7-Apr-1958,Hampstead,3,Clay,R32,,,1,,,Mrs A Robinson,J Macintosh,7-5 6-2,,,,,,,,,,,,,,
7-Apr-1958,Hampstead,3,Clay,R64,,,1,,,Mrs A Robinson,Penny Burrell,6-2 6-0,,,,,,,,,,,,,,
31-Mar-1958,Roehampton,3,Clay,R64,,,0,,,Helen Tingley,Mrs A Robinson,6-4 6-4,,,,,,,,,,,,,,
6-May-1957,Hurlingham,3,Clay,R16,,,0,,,Rosemary Walsh,Mrs A Robinson,6-0 3-0 RET,,,,,,,,,,,,,,
6-May-1957,Hurlingham,3,Clay,R32,,,1,,,Mrs A Robinson,Mrs A Wright,3-6 8-6 6-3,,,,,,,,,,,,,,
22-Apr-1957,Sutton,3,Clay,R64,,,0,,,Pat Wheeler,Mrs A Robinson,6-4 6-1,,,,,,,,,,,,,,
15-Apr-1957,Hampstead,3,Clay,R32,,,0,,,Bea Walter,Mrs A Robinson,6-1 6-0,,,,,,,,,,,,,,
1-Apr-1957,Roehampton,3,Clay,R64,,,0,,,Julie Lintern,Mrs A Robinson,3-6 6-2 6-3,,,,,,,,,,,,,,
30-Apr-1956,Hurlingham,3,Clay,R16,,,0,,,Thelma Jarvis,Mrs A Robinson,6-4 6-1,,,,,,,,,,,,,,
30-Apr-1956,Hurlingham,3,Clay,R32,,,1,,,Mrs A Robinson,D Portway,5-7 6-2 6-0,,,,,,,,,,,,,,
18-Apr-1955,Sutton,3,Clay,R16,,,0,,,Dora Kilian,Mrs A Robinson,6-0 6-3,,,,,,,,,,,,,,
19-Apr-1954,Sutton,3,Clay,R16,,,0,,,Pat Hird,Mrs A Robinson,6-2 6-2,,,,,,,,,,,,,,
19-Apr-1954,Sutton,3,Clay,R64,,,1,,,Mrs A Robinson,Mrs E Jaulmes,7-5 4-6 6-1,,,,,,,,,,,,,,
