Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
24-Jul-1939,Winchester,3,Grass,R32,,,0,,,Joy Hibbert,Mrs M N Macleod,7-5 RET,,,,,,,,,,,,,,
19-Jul-1937,Winchester,3,Grass,R16,,,0,,,Mrs M Dicker,Mrs M N Macleod,W/O,,,,,,,,,,,,,,
19-Jul-1937,Winchester,3,Grass,R32,,,1,,,Mrs M N Macleod,S R Collins,6-2 8-6,,,,,,,,,,,,,,
20-Jul-1936,Winchester,3,Grass,QF,,,0,,,Effie Hemmant,Mrs M N Macleod,8-6 6-3,,,,,,,,,,,,,,
20-Jul-1936,Winchester,3,Grass,R16,,,1,,,Mrs M N Macleod,Molly Harland,6-4 6-1,,,,,,,,,,,,,,
13-Jul-1936,Brockenhurst,3,Grass,R16,,,0,,,Audrey De Smidt,Mrs M N Macleod,6-1 6-4,,,,,,,,,,,,,,
13-Jul-1936,Brockenhurst,3,Grass,R32,,,1,,,Mrs M N Macleod,I M Roe,8-6 6-4,,,,,,,,,,,,,,
11-Jun-1934,Fleet,3,Grass,R32,,,0,,,Violet Chamberlain,Mrs M N Macleod,6-4 6-1,,,,,,,,,,,,,,
11-Jun-1934,Fleet,3,Grass,R64,,,1,,,Mrs M N Macleod,R Garne,6-3 6-4,,,,,,,,,,,,,,
8-Aug-1932,Aldershot,3,,F,,,1,,,Mrs M N Macleod, Truman,4-6 6-1 6-4,,,,,,,,,,,,,,
21-Jul-1930,Winchester,3,Grass,QF,,,0,,,Effie Hemmant,Mrs M N Macleod,6-1 6-2,,,,,,,,,,,,,,
21-Jul-1930,Winchester,3,Grass,R16,,,1,,,Mrs M N Macleod,S F H Eccles,8-6 6-0,,,,,,,,,,,,,,
21-Jul-1930,Winchester,3,Grass,R32,,,1,,,Mrs M N Macleod,Mrs Mackenzie,6-2 6-4,,,,,,,,,,,,,,
9-Jun-1930,Fleet,3,Grass,QF,,,0,,,Eleanor Rose,Mrs M N Macleod,6-0 6-1,,,,,,,,,,,,,,
9-Jun-1930,Fleet,3,Grass,R16,,,1,,,Mrs M N Macleod,B Strange,6-1 6-0,,,,,,,,,,,,,,
27-Aug-1928,Southampton,3,Grass,QF,,,0,,,Margaret Mckane,Mrs M N Macleod,6-2 6-4,,,,,,,,,,,,,,
27-Aug-1928,Southampton,3,Grass,R16,,,1,,,Mrs M N Macleod,Mrs M M Bucknill,6-3 6-1,,,,,,,,,,,,,,
23-Jul-1928,Winchester,3,Grass,F,,,1,,,Mrs M N Macleod,Zoe Stokes,6-3 6-2,,,,,,,,,,,,,,
12-Sep-1927,Westgate-on-Sea St. Mildred's 2,3,,F,,,0,,,Nancy Lyle,Mrs M N Macleod,6-4 2-6 6-3,,,,,,,,,,,,,,
11-Jul-1927,Brockenhurst,3,Grass,R16,,,0,,,Claire Beckingham,Mrs M N Macleod,2-6 6-3 6-4,,,,,,,,,,,,,,
11-Jul-1927,Brockenhurst,3,Grass,R32,,,1,,,Mrs M N Macleod,S Bush,6-1 6-1,,,,,,,,,,,,,,
23-Aug-1926,Southampton,3,,R32,,,0,,,Kitty Godfree,Mrs M N Macleod,6-2 8-6,,,,,,,,,,,,,,
24-Aug-1925,Southampton,3,Grass,SF,,,0,,,Margaret Mckane,Mrs M N Macleod,6-2 6-1,,,,,,,,,,,,,,
24-Aug-1925,Southampton,3,Grass,QF,,,1,,,Mrs M N Macleod,Domini Crosfield,6-1 1-6 6-4,,,,,,,,,,,,,,
24-Aug-1925,Southampton,3,Grass,R16,,,1,,,Mrs M N Macleod,J E Lloyd,6-2 6-3,,,,,,,,,,,,,,
13-Jul-1925,Brockenhurst,3,Grass,R16,,,1,,,Mrs M N Macleod,B Dussek,6-3 6-1,,,,,,,,,,,,,,
27-Sep-1924,Felixstowe Hard,3,Clay,R16,,,0,,,Joan Ridley,Mrs M N Macleod,6-4 6-2,,,,,,,,,,,,,,
25-Aug-1924,Southampton,3,Grass,QF,,,0,,,Doris Craddock,Mrs M N Macleod,6-0 11-9,,,,,,,,,,,,,,
25-Aug-1924,Southampton,3,Grass,R16,,,1,,,Mrs M N Macleod,A Lister,6-4 6-0,,,,,,,,,,,,,,
