Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
2-Jun-1930,Stamford Hill,3,Grass,R64,,,0,,,F B Hensman,Mrs Stebbing,6-1 1-6 6-2,,,,,,,,,,,,,,
19-May-1930,Harpenden,3,Grass,R64,,,0,,,Naomi Trentham,Mrs Stebbing,6-4 3-6 6-3,,,,,,,,,,,,,,
6-Jul-1926,Epsom,3,Grass,R32,,,1,,,Mrs Stebbing,I Aitchison,6-1 6-4,,,,,,,,,,,,,,
6-Jul-1926,Epsom,3,Grass,R64,,,1,,,Mrs Stebbing,Mrs Vincent Burr,6-2 6-3,,,,,,,,,,,,,,
19-May-1924,Surbiton,3,Grass,R16,,,0,,,Phoebe Watson,Mrs Stebbing,1-6 6-2 6-4,,,,,,,,,,,,,,
19-May-1924,Surbiton,3,Grass,R32,,,1,,,Mrs Stebbing,Muriel Hextall,6-3 6-2,,,,,,,,,,,,,,
21-Apr-1924,Roehampton,3,Clay,QF,,,0,,,Honor Woolrych,Mrs Stebbing,6-2 5-7 6-4,,,,,,,,,,,,,,
21-Apr-1924,Roehampton,3,Clay,R16,,,1,,,Mrs Stebbing,Mrs G C Hampton,9-7 6-1,,,,,,,,,,,,,,
21-Apr-1924,Roehampton,3,Clay,R32,,,1,,,Mrs Stebbing,Sheila Barton,8-6 6-2,,,,,,,,,,,,,,
24-Sep-1923,Roehampton Autumn,3,Clay,R64,,,0,,,Mrs Bruce May,Mrs Stebbing,7-5 6-1,,,,,,,,,,,,,,
24-Sep-1923,Roehampton Autumn,3,Clay,R128,,,1,,,Mrs Stebbing,M L Stevenson,6-3 6-4,,,,,,,,,,,,,,
