Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
12-Sep-2022,W15 Cancun,3,Hard,R16,1004,,0,7,WC,Ena Koike,Nadia Echeverria Alam,6-3 4-2 RET,,,,,,,,,,,,,,
12-Sep-2022,W15 Cancun,3,Hard,R32,1004,,1,7,Q,Nadia Echeverria Alam,Leyla Fiorella Britez Risso,6-0 3-6 6-4,,,,,,,,,,,,,,
5-Sep-2022,W15 Cancun,3,Hard,QF,1023,,0,5,WC,Wakana Sonobe,Nadia Echeverria Alam,6-3 7-6(10),,,,,,,,,,,,,,
5-Sep-2022,W15 Cancun,3,Hard,R16,1023,,1,5,Q,Nadia Echeverria Alam,Anushka Ashar,6-0 6-1,,,,,,,,,,,,,,
5-Sep-2022,W15 Cancun,3,Hard,R32,1023,,1,5,,Nadia Echeverria Alam,Alessandra Crump,6-1 6-1,,,,,,,,,,,,,,
22-Aug-2022,W15 Cancun,3,Hard,R32,1018,554,0,,1,Solana Sierra,Nadia Echeverria Alam,6-2 6-1,,,,,,,,,,,,,,
18-Jul-2022,W15 Cancun,3,Hard,R32,952,,0,6,Q,Seren Agar,Nadia Echeverria Alam,6-3 7-5,,,,,,,,,,,,,,
6-Jun-2022,W25 Santo Domingo,3,Hard,R64,967,960,0,,,Olivia Lincer,Nadia Echeverria Alam,6-4 6-0,,,,,,,,,,,,,,
7-Mar-2022,W15 Naples FL,3,Clay,R32,986,1260,0,,,Eleonore Tchakarova,Nadia Echeverria Alam,6-3 6-5 RET,,,,,,,,,,,,,,
28-Feb-2022,W25 Santo Domingo,3,Hard,R32,989,278,0,WC,8,Danielle Lao,Nadia Echeverria Alam,6-2 6-0,,,,,,,,,,,,,,
28-Feb-2022,W25 Santo Domingo,3,Hard,R64,989,,1,WC,WC,Nadia Echeverria Alam,Carolina Isabel Chiatti Reynoso,6-0 6-1,,,,,,,,,,,,,,
6-Dec-2021,W15 Santo Domingo,3,Hard,QF,1095,,0,7,SE,Anastasiya Antal,Nadia Echeverria Alam,6-2 6-1,,,,,,,,,,,,,,
6-Dec-2021,W15 Santo Domingo,3,Hard,R16,1095,,1,7,Q,Nadia Echeverria Alam,Emma Mazzoni,6-3 6-1,,,,,,,,,,,,,,
6-Dec-2021,W15 Santo Domingo,3,Hard,R32,1095,1206,1,7,,Nadia Echeverria Alam,Tara Malik,6-3 7-5,,,,,,,,,,,,,,
29-Nov-2021,W15 Santo Domingo,3,Hard,QF,1088,,0,8,Q,Anastasiya Antal,Nadia Echeverria Alam,6-1 6-0,,,,,,,,,,,,,,
29-Nov-2021,W15 Santo Domingo,3,Hard,R16,1088,,1,8,WC,Nadia Echeverria Alam,Maria Gell,6-0 6-1,,,,,,,,,,,,,,
29-Nov-2021,W15 Santo Domingo,3,Hard,R32,1088,,1,8,WC,Nadia Echeverria Alam,Maria Castano,6-4 6-3,,,,,,,,,,,,,,
22-Nov-2021,W15 Guatemala,3,Hard,R32,1086,,0,8,,Olivia Lincer,Nadia Echeverria Alam,6-4 4-6 2-0 RET,,,,,,,,,,,,,,
25-Oct-2021,W25 Guayaquil,3,Clay,R32,1048,1041,0,,WC,Bianca Jolie Fernandez,Nadia Echeverria Alam,7-5 5-7 6-0,,,,,,,,,,,,,,
11-Oct-2021,W15 Cancun,3,Hard,R32,1015,869,0,,7,Stacey Fung,Nadia Echeverria Alam,7-6(7) 7-5,,,,,,,,,,,,,,
4-Oct-2021,W15 Cancun,3,Hard,R32,1015,952,0,,,Sandy Marti,Nadia Echeverria Alam,6-4 6-1,,,,,,,,,,,,,,
13-Sep-2021,W25 Medellin,3,Clay,R32,987,1012,0,,,Antonia Samudio,Nadia Echeverria Alam,6-3 7-6(5),,,,,,,,,,,,,,
6-Sep-2021,W15 Ibague,3,Clay,R16,996,1211,0,7,,Romina Ccuno,Nadia Echeverria Alam,6-3 2-0 RET,,,,,,,,,,,,,,
6-Sep-2021,W15 Ibague,3,Clay,R32,996,1333,1,7,,Nadia Echeverria Alam,Susan Doldan,3-6 6-2 6-0,,,,,,,,,,,,,,
9-Mar-2020,W15 Monastir,3,Hard,R32,777,501,0,,3,Oona Orpana,Nadia Echeverria Alam,4-6 7-5 6-2,,,,,,,,,,,,,,
2-Mar-2020,W15 Monastir,3,Hard,R32,772,,0,,,Alexandra Eala,Nadia Echeverria Alam,1-6 7-6(6) 3-2 RET,,,,,,,,,,,,,,
24-Feb-2020,W15 Monastir,3,Hard,R32,774,848,0,,Q,Jenny Duerst,Nadia Echeverria Alam,6-7(7) 6-3 6-2,,,,,,,,,,,,,,
16-Dec-2019,W15 Monastir,3,Hard,R32,777,592,0,,4,Anna Siskova,Nadia Echeverria Alam,7-5 6-4,,,,,,,,,,,,,,
9-Dec-2019,W15 Monastir,3,Hard,R32,777,588,0,,7,Anna Siskova,Nadia Echeverria Alam,6-1 RET,,,,,,,,,,,,,,
2-Dec-2019,W15 Monastir,3,Hard,R32,777,584,0,,4,Anastasia Kulikova,Nadia Echeverria Alam,6-1 6-2,,,,,,,,,,,,,,
25-Nov-2019,W15 Monastir,3,Hard,R32,790,734,0,,,Mariia Tkacheva,Nadia Echeverria Alam,3-2 RET,,,,,,,,,,,,,,
18-Nov-2019,W15 Monastir,3,Hard,R16,810,800,0,8,,Mariana Drazic,Nadia Echeverria Alam,2-1 RET,,,,,,,,,,,,,,
18-Nov-2019,W15 Monastir,3,Hard,R32,810,1207,1,8,,Nadia Echeverria Alam,Lilly Elida Haseth,6-1 6-3,,,,,,,,,,,,,,
11-Nov-2019,W15 Monastir,3,Hard,QF,796,915,0,,,Angelica Raggi,Nadia Echeverria Alam,6-2 6-1,,,,,,,,,,,,,,
11-Nov-2019,W15 Monastir,3,Hard,R16,796,1271,1,,,Nadia Echeverria Alam,Ambre Feder,6-4 7-6(4),,,,,,,,,,,,,,
11-Nov-2019,W15 Monastir,3,Hard,R32,796,,1,,,Nadia Echeverria Alam,Selina Pichler,6-4 6-1,,,,,,,,,,,,,,
4-Nov-2019,W15 Monastir,3,Hard,R32,805,680,0,,6,Marie Temin,Nadia Echeverria Alam,6-2 6-4,,,,,,,,,,,,,,
7-Oct-2019,W15 Sharm El Sheikh,3,Hard,QF,796,1213,0,4,,Lian Tran,Nadia Echeverria Alam,6-2 1-0 RET,,,,,,,,,,,,,,
7-Oct-2019,W15 Sharm El Sheikh,3,Hard,R16,796,,1,4,Q,Nadia Echeverria Alam,Chiara Catini,6-1 6-2,,,,,,,,,,,,,,
7-Oct-2019,W15 Sharm El Sheikh,3,Hard,R32,796,1005,1,4,,Nadia Echeverria Alam,Katarina Kuzmova,6-1 7-6(5),,,,,,,,,,,,,,
30-Sep-2019,W15 Sharm El Sheikh,3,Hard,R32,795,1233,0,,,Martina Pradova,Nadia Echeverria Alam,3-6 7-6(6) 6-3,,,,,,,,,,,,,,
16-Sep-2019,W15 Tabarka,3,Clay,SF,827,584,0,7,,Martina Colmegna,Nadia Echeverria Alam,6-3 6-1,,,,,,,,,,,,,,
16-Sep-2019,W15 Tabarka,3,Clay,QF,827,475,1,7,,Nadia Echeverria Alam,Maria Fernanda Herazo Gonzalez,6-4 6-3,,,,,,,,,,,,,,
16-Sep-2019,W15 Tabarka,3,Clay,R16,827,,1,7,,Nadia Echeverria Alam,Alice Amendola,6-7(2) 6-4 6-3,,,,,,,,,,,,,,
16-Sep-2019,W15 Tabarka,3,Clay,R32,827,,1,7,,Nadia Echeverria Alam,Anfisa Danilchenko,6-4 6-2,,,,,,,,,,,,,,
9-Sep-2019,W15 Tabarka,3,Clay,R32,823,,0,5,,Luna Meers,Nadia Echeverria Alam,6-4 7-5,,,,,,,,,,,,,,
2-Sep-2019,W15 Tabarka,3,Clay,R32,817,752,0,,4,Angelica Raggi,Nadia Echeverria Alam,6-1 6-4,,,,,,,,,,,,,,
26-Aug-2019,W15 Tabarka,3,Clay,R32,817,,0,,,Irene Lavino,Nadia Echeverria Alam,4-6 6-4 6-3,,,,,,,,,,,,,,
19-Aug-2019,W15 Tabarka,3,Clay,R32,844,975,0,6,,Giulia Crescenzi,Nadia Echeverria Alam,6-3 6-2,,,,,,,,,,,,,,
12-Aug-2019,W15 Tabarka,3,Clay,QF,845,,0,,Q,Aurora Zantedeschi,Nadia Echeverria Alam,6-0 2-1 RET,,,,,,,,,,,,,,
12-Aug-2019,W15 Tabarka,3,Clay,R16,845,1208,1,,,Nadia Echeverria Alam,Maria Vittoria Viviani,6-4 6-2,,,,,,,,,,,,,,
12-Aug-2019,W15 Tabarka,3,Clay,R32,845,,1,,Q,Nadia Echeverria Alam,Aminata Sall,6-1 6-4,,,,,,,,,,,,,,
5-Aug-2019,W15 Tabarka,3,Clay,R16,842,,0,5,,Iuliia Nikitina,Nadia Echeverria Alam,2-6 6-4 6-4,,,,,,,,,,,,,,
5-Aug-2019,W15 Tabarka,3,Clay,R32,842,,1,5,,Nadia Echeverria Alam,Nina Rudiukova,6-3 6-2,,,,,,,,,,,,,,
15-Jul-2019,W15 Lima,3,Clay,F,,,0,,,Noelia Zeballos,Nadia Echeverria Alam,6-3 6-1,,,,,,,,,,,,,,
15-Jul-2019,W15 Lima,3,Clay,SF,,,1,,,Nadia Echeverria Alam,Bianca Jolie Fernandez,7-5 3-6 7-5,,,,,,,,,,,,,,
15-Jul-2019,W15 Lima,3,Clay,QF,,,1,,,Nadia Echeverria Alam,Romina Ccuno,6-1 4-6 7-5,,,,,,,,,,,,,,
15-Jul-2019,W15 Lima,3,Clay,R16,,,1,,,Nadia Echeverria Alam,Camille Townsend,6-1 6-7(5) 6-4,,,,,,,,,,,,,,
15-Jul-2019,W15 Lima,3,Clay,R32,,,1,,,Nadia Echeverria Alam,Arantxa Sanchez,6-2 6-0,,,,,,,,,,,,,,
8-Jul-2019,W15 Lima,3,Clay,QF,,,0,5,,Akilah James,Nadia Echeverria Alam,7-5 7-5,,,,,,,,,,,,,,
8-Jul-2019,W15 Lima,3,Clay,R16,,,1,5,LL,Nadia Echeverria Alam,Anoushka Wooller,6-0 6-0,,,,,,,,,,,,,,
8-Jul-2019,W15 Lima,3,Clay,R32,,,1,5,,Nadia Echeverria Alam,Iris Julia Antje Verweij,6-0 6-0,,,,,,,,,,,,,,
10-Jun-2019,W15 Cancun,3,Hard,R32,,,0,3,,Fernanda Labrana,Nadia Echeverria Alam,6-4 6-4,,,,,,,,,,,,,,
20-May-2019,W15 Tacarigua,3,Hard,SF,,,0,,2,Yuliana Lizarazo,Nadia Echeverria Alam,6-3 1-6 7-6(5),,,,,,,,,,,,,,
20-May-2019,W15 Tacarigua,3,Hard,QF,,,1,,3,Nadia Echeverria Alam,Lexie Stevens,2-6 7-5 6-3,,,,,,,,,,,,,,
20-May-2019,W15 Tacarigua,3,Hard,R16,,,1,,,Nadia Echeverria Alam,Payton Andrews,6-3 6-1,,,,,,,,,,,,,,
20-May-2019,W15 Tacarigua,3,Hard,R32,,,1,,Q,Nadia Echeverria Alam,Aalisha Alexis,6-0 6-2,,,,,,,,,,,,,,
13-May-2019,W15 Tacarigua,3,Hard,QF,,,0,,2,Yuliana Lizarazo,Nadia Echeverria Alam,6-3 6-4,,,,,,,,,,,,,,
13-May-2019,W15 Tacarigua,3,Hard,R16,,,1,,,Nadia Echeverria Alam,Dylan Cline,6-3 6-1,,,,,,,,,,,,,,
13-May-2019,W15 Tacarigua,3,Hard,R32,,,1,,Q,Nadia Echeverria Alam,Kimberly Sabga,6-0 6-0,,,,,,,,,,,,,,
7-Jan-2019,W15 Fort de France Martinique,3,Hard,R32,,622,0,,4,Alice Tubello,Nadia Echeverria Alam,6-2 6-4,,,,,,,,,,,,,,
5-Nov-2018,Cucuta $15K,3,Clay,R16,938,,0,,,Jessica Plazas,Nadia Echeverria Alam,6-3 5-7 7-5,,,,,,,,,,,,,,
5-Nov-2018,Cucuta $15K,3,Clay,R32,938,,1,,,Nadia Echeverria Alam,Mariana Caicedo Mora,6-0 6-1,,,,,,,,,,,,,,
1-Oct-2018,Monastir 15K,3,Hard,QF,914,623,0,5,1,Natalia Siedliska,Nadia Echeverria Alam,6-2 6-2,,,,,,,,,,,,,,
1-Oct-2018,Monastir 15K,3,Hard,R16,914,,1,5,,Nadia Echeverria Alam,Emmanuelle Girard,7-6(4) 6-1,,,,,,,,,,,,,,
1-Oct-2018,Monastir 15K,3,Hard,R32,914,,1,5,WC,Nadia Echeverria Alam,Diana Chehoudi,6-1 6-2,,,,,,,,,,,,,,
24-Sep-2018,Monastir $15K,3,Hard,R32,930,,0,5,,Maria Tanasescu,Nadia Echeverria Alam,6-4 2-3 RET,,,,,,,,,,,,,,
17-Sep-2018,Monastir $15K,3,Hard,R16,940,809,0,,6,Josephine Boualem,Nadia Echeverria Alam,5-3 RET,,,,,,,,,,,,,,
17-Sep-2018,Monastir $15K,3,Hard,R32,940,,1,,,Nadia Echeverria Alam,Maria Manilova,7-6(2) 6-1,,,,,,,,,,,,,,
10-Sep-2018,Monastir $15K,3,Hard,R32,942,600,0,,,Victoria Muntean,Nadia Echeverria Alam,6-4 6-4,,,,,,,,,,,,,,
3-Sep-2018,Monastir $15K,3,Hard,R32,942,1037,0,,,Kajsa Rinaldo Persson,Nadia Echeverria Alam,6-2 7-5,,,,,,,,,,,,,,
13-Aug-2018,Guayaquil $15K,3,Clay,R32,941,1223,0,,,Juliana Valero,Nadia Echeverria Alam,3-6 6-4 6-4,,,,,,,,,,,,,,
16-Jul-2018,Dijon $15K,3,Hard,R32,952,,0,,Q,Sandy Marti,Nadia Echeverria Alam,6-2 6-1,,,,,,,,,,,,,,
25-Jun-2018,Hammamet $15K,3,Clay,R16,993,721,0,,5,Draginja Vukovic,Nadia Echeverria Alam,6-0 1-0 RET,,,,,,,,,,,,,,
25-Jun-2018,Hammamet $15K,3,Clay,R32,993,,1,,,Nadia Echeverria Alam,Nicole Bunea,6-1 6-2,,,,,,,,,,,,,,
18-Jun-2018,Hammamet 15K,3,Clay,R16,1015,651,0,,6,Claudia Hoste Ferrer,Nadia Echeverria Alam,6-3 6-2,,,,,,,,,,,,,,
18-Jun-2018,Hammamet 15K,3,Clay,R32,1015,,1,,Q,Nadia Echeverria Alam,Jessica Bertoldo,6-2 6-2,,,,,,,,,,,,,,
