Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
10-Jun-1996,Salzburg 25K,3,Clay,R32,233,359,0,6,Q,Magui Serna,Nadin Ercegovic,5-7 6-2 6-4,,,,,,,,,,,,,,
6-May-1996,Budapest,3,Clay,Q1,233,332,0,,,Petra Mandula,Nadin Ercegovic,6-4 6-1,,,,,,,,,,,,,,
29-Apr-1996,Bol,3,Clay,R32,219,142,0,WC,,Lea Ghirardi,Nadin Ercegovic,6-4 7-5,,,,,,,,,,,,,,
19-Feb-1996,Essen,3,Carpet,Q1,214,91,0,,4,Els Callens,Nadin Ercegovic,7-6 6-2,,,,,,,,,,,,,,
13-Feb-1996,Paris,3,Clay,Q2,224,215,0,,WC,Nathalie Dechy,Nadin Ercegovic,7-6 6-4,,,,,,,,,,,,,,
13-Feb-1996,Paris,3,Clay,Q1,224,160,1,,,Nadin Ercegovic,Isabelle Demongeot,6-2 6-3,,,,,,,,,,,,,,
4-Dec-1995,ITF Cergy Pontois,3,Hard,Q2,220,371,0,,,Katalin Miskolczi,Nadin Ercegovic,6-2 6-1,,,,,,,,,,,,,,
4-Dec-1995,ITF Cergy Pontois,3,Hard,Q1,220,418,1,,,Nadin Ercegovic,Christina Habernigg,6-4 6-2,,,,,,,,,,,,,,
27-Nov-1995,ITF Limoges,3,Hard,Q2,221,275,0,,,Elisabeth Habeler,Nadin Ercegovic,6-1 6-4,,,,,,,,,,,,,,
27-Nov-1995,ITF Limoges,3,Hard,Q1,221,438,1,,,Nadin Ercegovic,Angela Lettiere,7-6(4) 6-4,,,,,,,,,,,,,,
25-Sep-1995,ITF Bratislava,3,Clay,QF,262,112,0,,4,Janette Husarova,Nadin Ercegovic,6-2 6-4,,,,,,,,,,,,,,
25-Sep-1995,ITF Bratislava,3,Clay,R16,262,164,1,,,Nadin Ercegovic,Katerina Kroupova,7-5 6-2,,,,,,,,,,,,,,
25-Sep-1995,ITF Bratislava,3,Clay,R32,262,130,1,,8,Nadin Ercegovic,Bettina Fulco Villella,7-6(3) 6-1,,,,,,,,,,,,,,
25-Sep-1995,ITF Bratislava,3,Clay,Q3,262,,0,,,Zuzana Valekova,Nadin Ercegovic,6-3 5-7 6-3,,,,,,,,,,,,,,
25-Sep-1995,ITF Bratislava,3,Clay,Q2,262,609,1,,,Nadin Ercegovic,Monika Kratochvilova,6-2 6-0,,,,,,,,,,,,,,
25-Sep-1995,ITF Bratislava,3,Clay,Q1,262,656,1,,,Nadin Ercegovic,Patrycja Gajdzik,6-3 6-1,,,,,,,,,,,,,,
4-Sep-1995,ITF Spoleto,3,Clay,SF,308,452,0,,,Cristina Salvi,Nadin Ercegovic,6-3 6-2,,,,,,,,,,,,,,
4-Sep-1995,ITF Spoleto,3,Clay,QF,308,175,1,,4,Nadin Ercegovic,Neus Avila Bonastre,6-1 6-3,,,,,,,,,,,,,,
4-Sep-1995,ITF Spoleto,3,Clay,R16,308,332,1,,,Nadin Ercegovic,Alice Canepa,6-1 1-6 6-4,,,,,,,,,,,,,,
4-Sep-1995,ITF Spoleto,3,Clay,R32,308,219,1,,8,Nadin Ercegovic,Federica Bonsignori,6-3 2-6 6-1,,,,,,,,,,,,,,
21-Aug-1995,ITF Sochi,3,Clay,R32,307,321,0,7,,Patty Schnyder,Nadin Ercegovic,6-1 6-4,,,,,,,,,,,,,,
24-Jul-1995,Styria,3,Clay,R32,315,135,0,Q,,Tatjana Jecmenica,Nadin Ercegovic,6-4 3-6 6-3,,,,,,,,,,,,,,
24-Jul-1995,Styria,3,Clay,Q3,315,147,1,,2,Nadin Ercegovic,Bettina Fulco Villella,6-2 2-6 6-0,,,,,,,,,,,,,,
24-Jul-1995,Styria,3,Clay,Q2,315,182,1,,6,Nadin Ercegovic,Janet Lee,4-6 7-6 6-3,,,,,,,,,,,,,,
24-Jul-1995,Styria,3,Clay,Q1,315,534,1,,,Nadin Ercegovic,Evelyn Fauth,6-1 5-7 6-4,,,,,,,,,,,,,,
17-Jul-1995,ITF Darmstadt,3,Clay,Q2,318,297,0,,,Elisabeth Habeler,Nadin Ercegovic,4-6 7-6(6) 6-3,,,,,,,,,,,,,,
17-Jul-1995,ITF Darmstadt,3,Clay,Q1,318,534,1,,,Nadin Ercegovic,Isabell Quast,6-0 6-3,,,,,,,,,,,,,,
3-Jul-1995,ITF Vaihingen,3,Clay,QF,367,380,0,,,Elisabeth Habeler,Nadin Ercegovic,6-3 6-1,,,,,,,,,,,,,,
3-Jul-1995,ITF Vaihingen,3,Clay,R16,367,395,1,,,Nadin Ercegovic,Ines Heise,6-2 6-3,,,,,,,,,,,,,,
3-Jul-1995,ITF Vaihingen,3,Clay,R32,367,587,1,,,Nadin Ercegovic,Meike Frohlich,6-1 6-3,,,,,,,,,,,,,,
3-Jul-1995,ITF Vaihingen,3,Clay,Q3,367,536,1,7,,Nadin Ercegovic,Ivana Havrlikova,6-4 6-2,,,,,,,,,,,,,,
3-Jul-1995,ITF Vaihingen,3,Clay,Q2,367,381,1,7,,Nadin Ercegovic,Sabine Haas,6-3 6-2,,,,,,,,,,,,,,
3-Jul-1995,ITF Vaihingen,3,Clay,Q1,367,511,1,7,,Nadin Ercegovic,Miriam Schnitzer,6-2 6-1,,,,,,,,,,,,,,
15-May-1995,German Open,3,Clay,Q1,278,158,0,,,Naoko Kijimuta,Nadin Ercegovic,6-0 6-1,,,,,,,,,,,,,,
1-May-1995,Hamburg,3,Clay,R32,307,20,0,LL,7,Judith Wiesner,Nadin Ercegovic,6-3 3-6 6-0,,,,,,,,,,,,,,
1-May-1995,Hamburg,3,Clay,Q3,307,278,0,,,Jana Kandarr,Nadin Ercegovic,6-0 6-3,,,,,,,,,,,,,,
1-May-1995,Hamburg,3,Clay,Q2,307,354,1,,WC,Nadin Ercegovic,Heike Rusch,6-0 6-3,,,,,,,,,,,,,,
1-May-1995,Hamburg,3,Clay,Q1,307,137,1,,3,Nadin Ercegovic,Nino Louarsabishvili,1-6 6-4 6-1,,,,,,,,,,,,,,
25-Apr-1995,Barcelona,3,Clay,Q2,244,138,0,,2,Dally Randriantefy,Nadin Ercegovic,6-3 6-4,,,,,,,,,,,,,,
25-Apr-1995,Barcelona,3,Clay,Q1,244,388,1,,WC,Nadin Ercegovic,Patricia Aznar,6-4 6-2,,,,,,,,,,,,,,
27-Mar-1995,ITF Reims,3,Clay,R32,268,178,0,,6,Marzia Grossi,Nadin Ercegovic,6-0 6-0,,,,,,,,,,,,,,
14-Nov-1994,ITF Bad Gogging,3,Carpet,R32,210,235,0,7,,Andrea Noszaly,Nadin Ercegovic,6-3 6-1,,,,,,,,,,,,,,
24-Oct-1994,ITF Jakarta 2,3,Hard,R32,182,,0,,,Min Tang,Nadin Ercegovic,6-2 6-0,,,,,,,,,,,,,,
29-Aug-1994,ITF Maribor 2,3,Clay,R32,184,262,0,8,,Lenka Nemeckova,Nadin Ercegovic,6-0 3-6 6-3,,,,,,,,,,,,,,
1-Aug-1994,ITF Munich,3,Clay,R32,169,286,0,2,,Adriana Barna,Nadin Ercegovic,7-6(8) 6-1,,,,,,,,,,,,,,
26-Jul-1994,Styria,3,Clay,Q3,173,141,0,5,2,Elena Wagner,Nadin Ercegovic,7-6(3) 6-1,,,,,,,,,,,,,,
26-Jul-1994,Styria,3,Clay,Q2,173,,1,5,,Nadin Ercegovic,Jana Pospisilova,6-7(2) 6-2 6-2,,,,,,,,,,,,,,
26-Jul-1994,Styria,3,Clay,Q1,173,,1,5,,Nadin Ercegovic,Petra Raclavska,2-6 6-3 6-4,,,,,,,,,,,,,,
19-Jul-1994,Fed Cup WG R1: BUL vs CRO,3,Clay,RR,175,32,0,,,Katerina Maleeva,Nadin Ercegovic,6-0 6-3,,,,,,,,,,,,,,
4-Jul-1994,ITF Erlangen 50K,3,Clay,R32,181,,0,,,Melanie Schnell,Nadin Ercegovic,6-2 7-6,,,,,,,,,,,,,,
13-Jun-1994,ITF Sezze 25K,3,Clay,QF,187,,0,8,,Flora Perfetti,Nadin Ercegovic,6-3 6-2,,,,,,,,,,,,,,
13-Jun-1994,ITF Sezze 25K,3,Clay,R16,187,,1,8,,Nadin Ercegovic,Silvia Ramon Cortes,6-1 6-3,,,,,,,,,,,,,,
13-Jun-1994,ITF Sezze 25K,3,Clay,R32,187,,1,8,,Nadin Ercegovic,Virag Csurgo,6-1 6-3,,,,,,,,,,,,,,
23-May-1994,Roland Garros,5,Clay,Q2,,322,0,,WC,Virginie Buisson,Nadin Ercegovic,7-5 6-1,,,,,,,,,,,,,,
23-May-1994,Roland Garros,5,Clay,Q1,,116,1,,8,Nadin Ercegovic,Jolene Watanabe Giltz,6-0 6-4,,,,,,,,,,,,,,
10-May-1994,Prague,3,Clay,Q1,191,142,0,,2,Sarah Pitkowski Malcor,Nadin Ercegovic,6-2 3-6 7-6(5),,,,,,,,,,,,,,
25-Apr-1994,Taranto,3,Clay,R16,189,64,0,,,Irina Spirlea,Nadin Ercegovic,6-1 6-1,,,,,,,,,,,,,,
25-Apr-1994,Taranto,3,Clay,R32,189,70,1,,,Nadin Ercegovic,Nicole Krijger Jagerman,7-5 6-2,,,,,,,,,,,,,,
18-Apr-1994,Barcelona,3,Clay,R32,178,56,0,,,Sandra Cecchini,Nadin Ercegovic,6-4 6-2,,,,,,,,,,,,,,
4-Apr-1994,Amelia Island,3,Clay,R64,165,144,0,,Q,Petra Pichalova Langrova,Nadin Ercegovic,6-3 1-6 6-3,,,,,,,,,,,,,,
28-Mar-1994,Hilton Head,3,Clay,Q1,121,192,0,9,,Cammy Macgregor,Nadin Ercegovic,2-6 6-2 6-3,,,,,,,,,,,,,,
21-Mar-1994,Houston,3,Clay,Q2,116,,0,5,,Mariana Diaz Oliva,Nadin Ercegovic,6-3 6-4,,,,,,,,,,,,,,
21-Mar-1994,Houston,3,Clay,Q1,116,144,1,5,,Nadin Ercegovic,Katrina Adams,6-2 6-2,,,,,,,,,,,,,,
31-Jan-1994,Auckland,3,Hard,R32,104,42,0,,3,Ginger Helgeson Nielsen,Nadin Ercegovic,6-3 6-3,,,,,,,,,,,,,,
17-Jan-1994,Australian Open,5,Hard,R64,123,85,0,,,Caroline Kuhlman,Nadin Ercegovic,7-5 4-6 6-1,,,,,,,,,,,,,,
17-Jan-1994,Australian Open,5,Hard,R128,123,122,1,,,Nadin Ercegovic,Robin White,4-6 6-3 7-5,,,,,,,,,,,,,,
25-Oct-1993,Curitiba,3,Clay,QF,126,74,0,7,3,Irina Spirlea,Nadin Ercegovic,6-3 6-0,,,,,,,,,,,,,,
25-Oct-1993,Curitiba,3,Clay,R16,126,,1,7,,Nadin Ercegovic,Susi Fortun Lohrmann,6-3 6-0,,,,,,,,,,,,,,
25-Oct-1993,Curitiba,3,Clay,R32,126,,1,7,Q,Nadin Ercegovic,Vanessa Menga,6-0 6-2,,,,,,,,,,,,,,
27-Sep-1993,Leipzig,3,Carpet,R32,136,23,0,,7,Natalia Zvereva,Nadin Ercegovic,6-2 6-3,,,,,,,,,,,,,,
30-Aug-1993,US Open,5,Hard,R128,97,127,0,,,Silke Meier,Nadin Ercegovic,6-7 6-4 6-4,,,,,,,,,,,,,,
22-Jul-1993,Fed Cup WG PO: BEL vs CRO,3,Clay,RR,100,89,0,,,Dominique Monami,Nadin Ercegovic,6-1 6-2,,,,,,,,,,,,,,
20-Jul-1993,Fed Cup WG R1: CRO vs NED,3,Clay,RR,100,27,0,,,Miriam Oremans,Nadin Ercegovic,6-1 6-1,,,,,,,,,,,,,,
12-Jul-1993,Kitzbuhel,3,Clay,R32,92,41,0,,8,Florencia Labat,Nadin Ercegovic,1-6 6-0 6-4,,,,,,,,,,,,,,
6-Jul-1993,Palermo,3,Clay,R32,73,182,0,7,,Irina Spirlea,Nadin Ercegovic,4-6 6-1 6-2,,,,,,,,,,,,,,
21-Jun-1993,Wimbledon,5,Grass,R128,69,52,0,,,Marianne Werdel Witmeyer,Nadin Ercegovic,6-3 6-3,,,,,,,,,,,,,,
24-May-1993,French Open,3,Clay,R128,61,29,0,,,Barbara Rittner,Nadin Ercegovic,6-4 6-4,,,,,,,,,,,,,,
15-May-1993,Fed Cup G1 QF: CRO vs RUS,3,Hard,RR,64,290,1,,,Nadin Ercegovic,Eugenia Maniokova,6-2 6-3,,,,,,,,,,,,,,
13-May-1993,Fed Cup G1 RRA: CRO vs MLT,3,Hard,RR,64,,1,,,Nadin Ercegovic,Carol Cassar Torreggiani,6-0 6-2,,,,,,,,,,,,,,
12-May-1993,Fed Cup G1 RRA: CRO vs TUR,3,Hard,RR,64,,1,,,Nadin Ercegovic,Gulberk Gultekin,6-4 6-3,,,,,,,,,,,,,,
11-May-1993,Fed Cup G1 RRA: CRO vs EST,3,Hard,RR,64,,1,,,Nadin Ercegovic,Ande Tulp,6-0 6-0,,,,,,,,,,,,,,
