Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
24-Oct-2005,Linz Q,3,Hard,Q3,1231,154,0,WC,,Barbora Zahlavova Strycova,Nicole Remis,6-3 6-3,,,,,,,,,,,,,,
24-Oct-2005,Linz Q,3,Hard,Q2,1231,,1,WC,WC,Nicole Remis,Barbara Schwartz,6-0 1-0 RET,,,,,,,,,,,,,,
24-Oct-2005,Linz Q,3,Hard,Q1,1231,136,1,WC,,Nicole Remis,Michaela Pastikova,7-6(3) 6-3,,,,,,,,,,,,,,
7-Feb-2005,Capriolo 25K,3,Hard,R32,382,292,0,LL,,Mariya Koryttseva,Nicole Remis,7-5 6-2,,,,,,,,,,,,,,
4-Oct-2004,Nantes 25K,3,Hard,R32,343,244,0,,3,Kathrin Woerle,Nicole Remis,7-6(0) 6-4,,,,,,,,,,,,,,
30-Aug-2004,Balashikha 25K,3,Clay,R16,359,273,0,,8,Tatsiana Uvarova,Nicole Remis,6-1 6-3,,,,,,,,,,,,,,
30-Aug-2004,Balashikha 25K,3,Clay,R32,359,276,1,,,Nicole Remis,Valentina Sassi,1-6 6-4 6-0,,,,,,,,,,,,,,
23-Aug-2004,Moscow 25K,3,Clay,QF,358,539,0,,Q,Oksana Karyshkova,Nicole Remis,7-6(3) 6-7(1) 6-4,,,,,,,,,,,,,,
23-Aug-2004,Moscow 25K,3,Clay,R16,358,640,1,,Q,Nicole Remis,Darya Kustova,6-4 7-5,,,,,,,,,,,,,,
23-Aug-2004,Moscow 25K,3,Clay,R32,358,502,1,,Q,Nicole Remis,Michaela Michalkova,4-6 6-4 6-0,,,,,,,,,,,,,,
9-Aug-2004,Martina Franca 25K,3,Clay,R16,358,274,0,LL,7,Giulia Casoni,Nicole Remis,2-6 6-2 6-3,,,,,,,,,,,,,,
9-Aug-2004,Martina Franca 25K,3,Clay,R32,358,571,1,LL,Q,Nicole Remis,Raffaella Bindi,6-3 6-1,,,,,,,,,,,,,,
5-Jul-2004,Torun 25K,3,Clay,R16,355,258,0,,5,Evie Dominikovic,Nicole Remis,4-6 7-6(8) 6-3,,,,,,,,,,,,,,
5-Jul-2004,Torun 25K,3,Clay,R32,355,648,1,,Q,Nicole Remis,Monika Schneider,6-4 6-1,,,,,,,,,,,,,,
28-Jun-2004,Vaihingen 25K,3,Clay,R32,350,447,0,Q,Q,Anne Laure Heitz,Nicole Remis,2-6 6-4 6-1,,,,,,,,,,,,,,
21-Jun-2004,Bastad 25K,3,Clay,R32,350,382,0,,,Lenka Tvaroskova,Nicole Remis,6-0 6-2,,,,,,,,,,,,,,
26-Apr-2004,Coatzacoalcos 25K,3,Hard,QF,337,823,0,,Q,Jessica Nguyen,Nicole Remis,1-6 6-3 6-3,,,,,,,,,,,,,,
26-Apr-2004,Coatzacoalcos 25K,3,Hard,R16,337,738,1,,WC,Nicole Remis,Erika Clarke Magana,6-4 7-5,,,,,,,,,,,,,,
26-Apr-2004,Coatzacoalcos 25K,3,Hard,R32,337,263,1,,2,Nicole Remis,Seda Noorlander,7-6(0) 6-3,,,,,,,,,,,,,,
29-Mar-2004,Napoli 10K,3,Clay,R32,339,614,0,4,Q,Mandy Minella,Nicole Remis,4-6 6-1 6-1,,,,,,,,,,,,,,
22-Mar-2004,Athens 25K,3,Hard,R32,339,256,0,Q,LL,Maria Vanina Garcia Sokol,Nicole Remis,6-3 6-4,,,,,,,,,,,,,,
1-Mar-2004,Buchen 10K,3,Carpet,R32,312,308,0,,8,Alberta Brianti,Nicole Remis,6-4 6-1,,,,,,,,,,,,,,
16-Feb-2004,Redbridge 25K,3,Hard,R32,329,254,0,Q,WC,Amanda Keen,Nicole Remis,6-4 2-6 6-4,,,,,,,,,,,,,,
9-Feb-2004,Warsaw 25K,3,Carpet,R16,330,570,0,Q,Q,Klaudia Jans Ignacik,Nicole Remis,0-6 6-4 6-3,,,,,,,,,,,,,,
