Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
12-Jun-2017,Prerov $15K,3,Clay,QF,845,1225,0,,WC,Aneta Kladivova,Nicole Rottmann,6-2 6-1,,,,,,,,,,,,,,
12-Jun-2017,Prerov $15K,3,Clay,R16,845,,1,,WC,Nicole Rottmann,Denisa Hindova,2-6 6-3 6-4,,,,,,,,,,,,,,
12-Jun-2017,Prerov $15K,3,Clay,R32,845,662,1,,7,Nicole Rottmann,Pernilla Mendesova,2-6 7-6(3) 6-2,,,,,,,,,,,,,,
5-Dec-2016,Tel Aviv Ramat Gan $10K,3,Hard,R16,815,378,0,,2,Marta Paigina,Nicole Rottmann,7-5 6-1,,,,,,,,,,,,,,
5-Dec-2016,Tel Aviv Ramat Gan $10K,3,Hard,R32,815,953,1,,,Nicole Rottmann,Sofia Dmitrieva,6-2 3-0 RET,,,,,,,,,,,,,,
28-Nov-2016,Tel Aviv Ramat Gan $10K,3,Hard,R16,832,559,0,,8,Miriam Kolodziejova,Nicole Rottmann,7-6(2) 6-1,,,,,,,,,,,,,,
28-Nov-2016,Tel Aviv Ramat Gan $10K,3,Hard,R32,832,1093,1,,,Nicole Rottmann,Valeria Nikolaev,6-7(2) 7-6(4) 6-1,,,,,,,,,,,,,,
21-Nov-2016,Heraklion $10K,3,Hard,R16,829,367,0,,1,Cristiana Ferrando,Nicole Rottmann,6-4 6-2,,,,,,,,,,,,,,
21-Nov-2016,Heraklion $10K,3,Hard,R32,829,1093,1,,,Nicole Rottmann,Ioana Ivan,7-5 6-3,,,,,,,,,,,,,,
14-Nov-2016,Heraklion $10K,3,Hard,QF,829,834,0,,,Sarah Beth Askew,Nicole Rottmann,7-5 6-3,,,,,,,,,,,,,,
14-Nov-2016,Heraklion $10K,3,Hard,R16,829,1063,1,,,Nicole Rottmann,Michaela Boev,7-6(4) 7-5,,,,,,,,,,,,,,
14-Nov-2016,Heraklion $10K,3,Hard,R32,829,551,1,,2,Nicole Rottmann,Despina Papamichail,7-6(5) 6-4,,,,,,,,,,,,,,
26-Sep-2016,Santa Margherita Di Pula $10K,3,Clay,QF,848,583,0,Q,,Alice Balducci,Nicole Rottmann,6-7(3) 6-3 6-1,,,,,,,,,,,,,,
